"word"
"james baldwin"
"patrick radden keefe"
"tayari jones"
"roxane gay"
"zora neale hurston"
"langston hughes"
"edgar allan poe"
"suzanne collins"
"f scott fitzgerald"
"jk rowling"
"lemony snicket"
"jane austen"
"charles dickens"
"victor hugo"
"charlotte bronte"
"stephanie meyer"
"v.e. schwab"
"dostoyevsky"
"kafka"
"james patterson"
"ernest hemingway"
"william shakespeare"
"c s lewis"
"bronte sisters"
"gabrielle zevin"
"john green"
"hanya yanagihara"
"rick riordan"
"nathaniel hawthorne"
"j d salinger"
"emile zola"
"sinclair lewis"
"erin hunter"
"brandon sanderson"
"george r r martin"
"naomi novik"
"emily bronte"
"mary shelley"
"anne frank"
"evelyn waugh"
"wilkie collins"
"michelle zauner"
"tan twan eng"
"asako serizawa"
"neal shusterman"
"primo levi"
"harriet beecher stowe"
"thomas jefferson"
"benjamin franklin"
"alexander hamilton"
"dave pilkey"
"ralph waldo emerson"
"thoreau"
"abraham lincoln"
"stephen king"
"j.k. rowling"
"dan brown"
"bell hooks"
"stuart gibbs"
"kurt vonnegut"
"ray bradbury"
"louise erdrich"
"j.r.r. tolkien"
"george r.r. martin"
"senlinyu"
"carlos ruiz zafon"
"sylvia plath"
"shel silverstein"
"shakespeare"
"mary shelly"
"agatha christie"
"gary shteyngart"
"fyodor dostoevsky"
"j.d. salinger"
"john williams"
"tolkien"
"cs lewis"
"frank herbert"
"isaac asimov"
"donna tartt"
"oscar wilde"
"leo tolstoy"
"nabokov"
"michael crichton"
"robin wall kimmerer"
"stephenie meyer"
"max weber"
"dennis cooper"
"david sedaris"
"amy sedaris"
"david levithan"
"dr. seuss"
"tj klune"
"alice oseman"
"rudyard kipling"
"madeleine l'engle"
"louisa may alcott"
"roald dahl"
"charlotte bronte"
"emily bronte"
"f. scott fitzgerald"
"lisa kleypas"
"martha waters"
"elena armas"
"patty blount"
"abby jimenez"
"sarah j. maas"
"marissa meyer"
"uzma jalaluddin"
"s. k. ali"
"shannon chakraborty"
"hala alyan"
"rainbow rowell"
"martin"
"henry wadsworth longfellow"
"william wordsworth"
"bronte sisters"
"franz kafka"
"mull"
"morgan"
"eoin colfer"
"a. a. milne"
"miller"
"toni morrison"
"s. e. hinton"
"mark twain"
"peter michaelson"
"kristy dallas alley"
"richard alley"
"bronte"
"abu-lughod"
"colleen hoover"
"emily henry"
"michelle obama"
"judith lorber"
"kazuo ishiguro"
"leigh bardugo"
"c. s. lewis"
"savannah brown"
"kate elizabeth russell"
"jung"
"campbell"
"freud"
"murakami"
"sayaka murata"
"octavia butler"
"albert camus"
"george orwell"
"jazz jennings"
"ruth olujobi"
"dickens"
"timothy gallwey"
"anne bonte"
"charlotte bonte"
"kiera cass"
"emily bonte"
"barack obama"
"khalid rashidi"
"noam chomsky"
"rushworth kidder"
"daniel nayeri"
"rebecca stead"
"lord byron"
"arthur conan doyle"
"timothy zahn"
"ralph ellison"
"thomas aquinas"
"samuel johnson"
"mala"
"emily dickinson"
"bronte"
"bret easton ellis"
"kevin wilson"
"nora roberts"
"upton sinclair"
"sarah lawrence"
"marcus aurelius"
"sankofa"
"karl marx"
"vladimir lenin"
"mao zedong"
"joseph stalin"
"adolf hitler"
"donald trump"
"andrew wakefield"
"j. k. rowling"
"karen m. mcmanus"
"rachel reid"
"freida mcmannon"
"tim o'brien"
"kate o'hearn"
"william faulkner"
"j. r. r. tolkien"
"khaled hosseini"
"holly jackson"
"martha stewart"
"matt craig"
"gillian mcallister"
"stuart turton"
"virginia woolf"
"james joyce"
"jane eyre"
"abveh kahbar"
"r. j. shine"
"malala yousafzai"
"john steinbeck"
"nicholas sparks"
"maaj"
"john lewis"
"george r. r. martin"
"margaret atwood"
"ottessa moshfegh"
"patti smith"
"c.s. lewis"
"julian barnes"
"paulo coelho"
"ocean vuong"
"haruki murakami"
"barbara kingsolver"
"jon meacham"
"maya angelou"
"richard wright"
"susan collins"
