a. a. milne,abby jimenez,abraham lincoln,abu-lughod,abveh kahbar,adolf hitler,agatha christie,albert camus,alexander hamilton,alice oseman,amy sedaris,andrew wakefield,anne bonte,anne frank,arthur conan doyle,asako serizawa,barack obama,barbara kingsolver,bell hooks,benjamin franklin,brandon sanderson,bret easton ellis,bronte,bronte sisters,brontë,brontë sisters,c s lewis,c. s. lewis,c.s. lewis,campbell,carlos ruiz zafón,charles dickens,charlotte bonte,charlotte bronte,charlotte brontë,colleen hoover,cs lewis,dan brown,daniel nayeri,dave pilkey,david levithan,david sedaris,dennis cooper,dickens,donald trump,donna tartt,dostoyevsky,dr. seuss,edgar allan poe,elena armas,emile zola,emily bonte,emily bronte,emily brontë,emily dickinson,emily henry,eoin colfer,erin hunter,ernest hemingway,evelyn waugh,f scott fitzgerald,f. scott fitzgerald,frank herbert,franz kafka,freida mcmannon,freud,fyodor dostoevsky,gabrielle zevin,gary shteyngart,george orwell,george r r martin,george r. r. martin,george r.r. martin,gillian mcallister,hala alyan,hanya yanagihara,harriet beecher stowe,haruki murakami,henry wadsworth longfellow,holly jackson,isaac asimov,j d salinger,j. k. rowling,j. r. r. tolkien,j.d. salinger,j.k. rowling,j.r.r. tolkien,james baldwin,james joyce,james patterson,jane austen,jane eyre,jazz jennings,jk rowling,john green,john lewis,john steinbeck,john williams,jon meacham,joseph stalin,judith lorber,julian barnes,jung,kafka,karen m. mcmanus,karl marx,kate elizabeth russell,kate o'hearn,kazuo ishiguro,kevin wilson,khaled hosseini,khalid rashidi,kiera cass,kristy dallas alley,kurt vonnegut,langston hughes,leigh bardugo,lemony snicket,leo tolstoy,lisa kleypas,lord byron,louisa may alcott,louise erdrich,maaj,madeleine l'engle,mala,malala yousafzai,mao zedong,marcus aurelius,margaret atwood,marissa meyer,mark twain,martha stewart,martha waters,martin,mary shelley,mary shelly,matt craig,max weber,maya angelou,michael crichton,michelle obama,michelle zauner,miller,morgan,mull,murakami,nabokov,naomi novik,nathaniel hawthorne,neal shusterman,nicholas sparks,noam chomsky,nora roberts,ocean vuong,octavia butler,oscar wilde,ottessa moshfegh,patrick radden keefe,patti smith,patty blount,paulo coelho,peter michaelson,primo levi,r. j. shine,rachel reid,rainbow rowell,ralph ellison,ralph waldo emerson,ray bradbury,rebecca stead,richard alley,richard wright,rick riordan,roald dahl,robin wall kimmerer,roxane gay,rudyard kipling,rushworth kidder,ruth olujobi,s. e. hinton,s. k. ali,samuel johnson,sankofa,sarah j. maas,sarah lawrence,savannah brown,sayaka murata,senlinyu,shakespeare,shannon chakraborty,shel silverstein,sinclair lewis,stephanie meyer,stephen king,stephenie meyer,stuart gibbs,stuart turton,susan collins,suzanne collins,sylvia plath,tan twan eng,tayari jones,thomas aquinas,thomas jefferson,thoreau,tim o'brien,timothy gallwey,timothy zahn,tj klune,tolkien,toni morrison,upton sinclair,uzma jalaluddin,v.e. schwab,victor hugo,virginia woolf,vladimir lenin,wilkie collins,william faulkner,william shakespeare,william wordsworth,zora neale hurston
0.014368443,0.021952681,-0.017834514,0.05854335,-0.013872566,0.0018576838,-0.030083563,0.045574605,-0.016904755,-0.045347646,0.014189165,-0.034425095,0.041151017,-0.021604702,-0.053167827,0.05478438,-0.03409904,-0.000249936,0.01986783,-0.0150345005,-0.017301016,-0.00789662,0.009205035,0.031093668,-0.03392906,0.038162295,0.03189971,0.03189971,0.02530868,-0.00052055897,0.0055968813,-0.04774686,-0.00077846757,-0.040692825,-0.0297577,-0.041727502,0.02530868,-0.03156508,-0.005911055,0.010770659,-0.0052748127,0.008441276,0.025634117,-0.042687953,-0.02485957,0.014771211,-0.04775381,0.0091179535,0.047244538,-0.025574176,0.033313688,0.021786712,0.02232065,0.012939811,0.050100774,0.013115354,-0.0036600279,-0.041175656,0.02470819,-0.012727025,0.038623396,0.038623396,-0.0014624379,-0.0036979828,0.024621632,0.06968055,0.060498822,-0.027879136,-0.021722505,0.018629674,-0.02039017,-0.02039017,-0.050657604,0.011147191,0.034127608,0.07857939,0.0136740785,0.03342452,0.069513924,-0.03258534,0.0029959609,0.019761013,0.0032228525,0.030947162,0.03989318,-0.017625732,0.03512014,0.048183322,0.031098954,-0.021742169,0.0134255905,0.004784865,0.027609712,-0.017625732,0.018134203,-0.029710626,0.024250321,-0.047522016,-0.022632612,0.037978366,-0.02809105,-0.04901316,0.015181406,0.00043590553,0.021641623,0.05675126,0.013342663,0.041431315,0.038983177,-0.041890956,-0.053109154,0.0056189126,0.03072515,0.03513885,0.0053423373,0.028408425,0.01890379,0.03489028,0.016067773,-0.040781774,0.032353647,0.031000772,0.04442398,0.0017950063,-0.026556676,0.040542413,0.046038713,0.041742787,0.027486721,0.046646774,-0.010045686,0.057705656,0.0108228,0.04546692,-0.063007854,0.007449087,0.00031319694,-0.069025904,-0.0071008014,0.04211408,-0.05331373,0.0042407727,-0.00026669694,0.011231288,-0.026424034,0.04951509,0.023402838,0.028809296,-0.016788404,0.055565376,-0.041221663,-0.013758548,0.058948413,-0.030347627,0.008139182,0.014098219,0.00714616,-0.05053255,-0.01954373,0.013600965,0.02458761,0.0031883717,-0.05584017,0.019575415,0.030123625,0.012212663,-0.01779434,0.003133836,0.0070477864,-0.0013150321,-0.03127607,-0.057667475,-0.046781924,-0.048780013,-0.038901083,0.003952307,-0.00097077753,0.06887172,0.016863719,-0.042890046,-0.0005745885,0.0632411,0.032479696,0.065685585,0.04191084,-0.011875448,-0.006530658,0.05485528,0.033079553,0.02755958,-0.019874986,-0.010401631,0.021260498,0.025750645,-0.048788782,0.013848709,0.02346893,-0.037247617,-0.0042573996,-0.041067503,0.017162057,0.002991942,-0.010640634,0.008427492,-0.025252681,0.017917464,0.031398498,-0.03609091,-0.024937682,-0.024327587,0.026993973,-0.015794478,0.020260893,0.064949974,-0.04204139,-0.030274095,0.042311657,0.06002243,-0.008871492,0.027655134,-0.0016803143,0.02453051,0.05877461
-0.030988809,-0.033829354,-0.05129489,-0.006532646,-0.017892981,-0.009850898,-0.023445774,-0.06663556,-0.022785086,-0.02815498,0.026355637,-0.010256607,-0.04281961,-0.034445774,0.023151705,-0.067002185,-0.05730123,0.0017913033,0.010583206,0.016177038,-0.014131359,0.021145461,-0.054296523,-0.020192903,-0.033351976,0.014206996,-0.049467366,-0.049467366,0.007581508,0.018742772,-0.049666587,-0.049358558,-0.006959571,-0.04398422,-0.02828276,0.018753953,0.007581508,0.038615312,0.0048005423,0.0075677135,0.02046181,0.032822143,0.0061058328,-0.0139166,-0.035911366,-0.034027606,0.005389422,-0.00524446,0.022409258,-0.024553599,0.03478531,0.02946276,-0.018063394,-6.692557e-05,-0.02612258,0.014681842,-0.018709937,-0.023270244,-0.044235434,0.020989576,0.013034798,0.013034798,-0.00094917126,0.02366061,-0.05102588,0.052762654,-0.04283243,-0.04305631,0.032167982,-0.017140076,-0.013752037,-0.013752037,-0.055019785,0.05006121,0.0697068,-0.014431556,0.002109781,0.001901679,0.029709002,-0.0091159195,-0.03871838,-0.021867525,-0.043900926,-0.0007484524,0.013778312,-0.033005487,0.0008468184,0.01141097,0.0022539708,-0.02023376,-0.036376316,-0.044840194,-0.024908628,-0.033005487,-0.032379612,0.018960316,-0.028903583,-0.046008922,-0.017048215,-0.010221354,-0.036723685,-0.0050681923,-0.011789668,0.0034311758,0.01589037,-0.06478837,-0.012138957,0.03253506,-0.026811974,-0.00321519,-0.024968395,-0.065052636,0.007688379,0.018249137,-0.02601637,-0.005072773,0.020128999,0.024602711,-0.027708841,0.046203144,0.011180009,-0.0030030315,-0.02880852,-0.002068335,0.0098624015,-0.022811579,-0.07619506,-0.06841088,-0.019978138,-0.047283538,-0.03734084,-0.015967635,-0.0010321052,-0.020955907,-0.049293168,0.0035166037,0.0003401341,-0.044839423,-0.037495144,-0.067253426,0.034368154,0.036913756,0.02674557,-0.039441846,-0.04236985,0.001699415,0.02822139,-0.0032526287,-0.000103670835,0.022555118,-0.0013608768,-0.0048823515,-0.032253,-0.03860001,0.0073313084,-0.024068022,-0.020689432,0.009523687,0.0048062433,-0.0037059418,-0.041353412,-0.04499472,-0.044829383,-0.030462092,-0.0068061324,0.0075976234,-0.02072855,-0.017098662,0.005004035,-0.00866897,-0.006492847,0.050620217,0.020537524,-0.04198929,0.05071796,0.05197409,0.016945565,-0.029995833,-0.007119768,-0.05477707,0.012412028,-0.03999231,-0.041542083,-0.017728431,-0.015227451,-0.046991196,-0.0250276,-0.061498582,-0.007545586,-0.007854217,0.013072683,0.016124642,0.009761992,0.025184616,-0.023090743,-0.0053129382,-0.061502986,-0.0259747,-0.053872332,-0.0306553,0.018281905,0.04348179,-0.028679889,-0.016294625,-0.009434695,-0.062006682,-0.014182744,0.05496991,0.025845814,0.036441594,-0.013281514,-0.054267623,0.040666565,-0.015372734,-0.06920273,-0.0059077987,-0.020136802,-0.01963895,-0.04955101,0.021441938,-0.0028305587,-0.0040400936,-0.004474997
0.02485883,0.044055335,0.06849917,0.050882358,0.0637453,0.065366715,-0.017644662,0.02120015,0.06680966,0.055878077,0.0715716,0.031480577,0.08241861,0.07208911,-0.027271371,0.0410801,0.038301606,0.05634773,0.052209392,0.020650698,0.06683758,0.054111622,0.004317441,-0.010816083,-0.016267298,-0.008615881,0.08106321,0.08106321,0.08163706,-0.05937593,0.004798783,0.041022617,0.070136085,0.047134873,0.06639126,0.009622767,0.08163706,0.07343016,0.039752383,0.08992936,0.088717364,0.08220844,0.01203114,0.012565865,0.040087137,0.06208255,0.07597165,0.045596816,0.054699305,-0.015876627,0.012625075,0.06072682,0.05182648,0.0625654,0.07028939,0.040915187,0.059385333,-0.01078125,0.03853698,0.07556557,0.021140847,0.021140847,0.040095236,0.047744565,0.030391855,-0.041069098,0.006017835,0.050899338,-0.0008652464,0.017957361,0.083567075,0.083567075,0.076185524,0.04745694,0.007645591,-0.03374122,0.053803444,0.075507835,0.014119039,0.07836456,0.025879323,0.082320794,0.054086313,0.075778075,0.045216464,0.06592266,0.0750551,-0.022344988,0.062055267,0.057884175,0.0017713882,0.042781774,0.07803623,0.06592266,0.044718545,0.064521454,0.050353184,0.07678073,-0.013057928,-0.024715662,0.019337475,0.069359034,0.05874935,0.012456058,-0.038239725,-0.014919519,-0.054142367,0.03891714,0.0728519,0.037797447,0.077492245,0.036307473,0.03960228,0.010697183,0.0661352,0.062558495,0.0319903,0.040403705,0.05865586,0.048356198,0.069272354,0.043707814,-0.00064474193,0.049857855,0.06377876,0.04315321,0.02950221,0.031194001,-0.0011140736,-0.02991391,0.028152645,0.044147957,0.06379335,0.058619257,0.06385527,0.028946398,0.00086518476,-0.036074806,0.025846284,0.016670078,0.0345015,0.03727455,0.049788326,0.052364063,-0.046456695,0.040526606,0.07442211,0.06689091,0.0831152,0.04889189,0.07217143,0.0711852,0.065794304,0.06439278,0.05368052,0.04582424,0.062510215,0.0563622,0.08506588,0.08111591,0.06914163,0.068129435,0.08026323,0.04838531,0.03713425,0.05473562,0.07436164,0.03915717,-0.012635042,0.034207933,0.037582304,0.07656896,0.0721893,0.049274746,0.07017046,0.06034125,0.07133195,0.06595094,-0.012346647,0.034809377,0.08300757,0.04994278,0.041420538,0.0873947,0.012890083,0.07437658,0.032911565,0.0492149,0.05317122,0.07343447,0.048189167,0.07799321,0.066909224,0.07396247,0.07064046,0.06418655,0.029759698,0.04356247,0.027112091,0.06494565,0.036357827,0.0065805935,0.05313231,0.06628007,0.06563038,0.06434227,0.032606736,0.032149967,0.034737453,0.06602047,0.073889375,0.07692499,0.028578885,-0.034854263,0.042954125,-0.034213997,0.034161728,0.01223478,0.010720099,0.04704651,0.06880395,0.054268423,0.010455924
-0.017501969,0.051244576,-0.034282446,0.051885035,-0.012026709,0.009166509,-0.024967387,-0.040525686,-0.03813727,-0.027480988,-0.03534469,-0.05584727,0.02499453,0.009135285,-0.05946864,0.048696116,-0.043156598,0.023333097,-0.046269875,-0.041064277,-0.055886317,-0.023269124,-0.037492763,-0.032790236,0.01448135,-0.042016443,-0.0098040365,-0.0098040365,-0.006355496,-0.051986534,0.03582141,0.013487367,-0.027514925,-0.055760056,-0.05281499,-0.037933085,-0.006355496,-0.03788436,-0.029809644,0.0003198119,-0.04438958,-0.049197137,-0.0248564,0.0509581,-0.0356731,-0.018742789,0.005291324,-0.029502518,-0.041105725,0.037545662,-0.021653702,0.00069011725,-0.019128922,0.016039602,-0.021847041,0.06263097,0.017492624,0.01499101,-0.018736897,-0.026913121,-0.03063456,-0.03063456,0.05359267,-0.01070078,0.04753907,0.004174431,-0.039839458,-0.0013388775,0.034568626,-0.032378502,-0.010478115,-0.010478115,0.010071581,-0.04412593,0.028415434,0.021153966,-0.045252137,-0.035108145,0.0007838135,-0.008119995,-0.013133225,-0.031499956,-0.011653259,-0.027742323,-0.014393608,-0.01092026,-0.03358107,-0.048120268,-0.001760175,-0.07047455,-0.061844625,-0.058953453,-0.05770038,-0.01092026,0.00269312,0.007386434,0.020734845,-0.012769082,-0.0050483714,-0.014550626,0.00039118127,-0.005494877,-0.029197602,-0.01415661,-0.00270718,0.058147833,0.0004692359,-0.044847537,-0.0042829365,0.0031957785,0.056844473,0.053566165,0.052159064,-0.06505117,-0.056468707,-0.004599706,-0.020360423,-0.053240716,-0.061544564,-0.04358842,-0.062426668,-0.023261184,0.02779338,0.08008799,0.007599317,0.013941399,-0.047730934,0.025412528,-0.06681266,-0.057905655,-0.048998456,-0.055152234,-0.027325299,-0.01067109,0.028124822,-0.050332468,-0.032040615,0.0035154524,-0.040381603,-0.060294244,-0.00631547,-0.043283522,-0.05363234,0.050329905,-0.012674328,-0.026346466,-0.023224728,-0.028285634,0.045081597,-0.041725636,-0.009918274,0.0027470493,-0.049823347,-0.0522361,-0.008351659,-0.051915634,-0.062341243,-0.018899169,-0.0786612,-0.025666606,0.0064536682,-0.04310198,-0.018132193,0.013751268,-0.009711109,-0.018795092,-0.033728503,-0.020640621,-0.021202512,-0.048425872,0.049252905,-0.021157186,0.013589752,-0.049039766,0.0035322132,0.006811927,0.022216925,-0.060138416,-0.011501002,0.004268575,-0.026041906,0.007942611,-0.05379603,0.04227001,-0.06115479,0.01801361,0.030448958,0.0047346377,0.061159052,-0.05326577,-0.058017332,-0.022161473,-0.0017100701,-0.060521953,-0.0030162062,-0.064160705,-0.046374623,-0.016252896,-0.015154794,-0.03876483,-0.06682122,0.009307648,-0.04109618,-0.057888262,-0.000504435,-0.00686186,-0.025051877,0.017574362,-0.01262834,0.0027505446,-0.039627437,-0.00643501,-0.0016410453,-0.01167537,-0.018541025,0.0199192,-0.050506536,-0.010470451,-0.030753668,-0.039615218,-0.04173896,-0.030598477,-0.03881132
-0.037122916,-0.027117735,0.021216242,0.0032501416,0.065906264,0.0033181305,0.04153221,-0.026151843,0.0012749865,-0.04173245,-0.011303566,0.0024745646,0.043748792,0.010721538,0.033347208,0.021505456,-0.014439927,-0.05142646,0.0040041995,-0.03729385,-0.047922656,-0.03690579,-0.035504088,-0.008732544,-0.010568426,0.027964087,-0.019771535,-0.019771535,-0.0039489307,-0.038306154,0.008513244,-0.035722435,0.000118621174,-0.021439113,-0.013154631,-0.044478018,-0.0039489307,0.016536113,-0.056150198,-0.030447038,-0.037365403,-0.02042823,0.005775974,0.009344273,-0.021132816,0.04385193,0.023201788,-0.017759735,0.051869895,0.00020026253,-0.052022338,-0.026602685,-0.019787649,-0.02333779,0.04554495,-0.048991412,-0.05782244,0.04403163,-0.04022869,-0.00017446176,0.06587942,0.06587942,-0.031190071,0.0010857481,0.005769277,-0.030073557,0.026890313,-0.009004899,-0.06694459,0.010780463,0.05761025,0.05761025,0.04340823,-0.011325926,0.007786216,0.04066969,-0.008219009,0.011273149,-0.028050926,0.014484271,-0.0262151,0.00608156,0.039836377,0.05167083,0.022704314,0.011315271,-0.0366116,0.01138518,-0.004033731,0.006976337,0.012959439,-0.02953576,-0.037813973,0.011315271,-0.040880136,-0.014871065,-0.008140766,-0.005788152,-0.046900444,0.03389391,-0.02395696,-0.029112598,-0.065379836,0.008958994,0.04007429,-0.024424247,0.056749374,0.04861106,-0.02091786,0.012187286,-0.013024632,0.040835332,-0.017913189,0.0057302155,-0.010578526,0.010518821,0.019466145,0.015039368,-0.0032693367,-0.0051555713,-0.02256422,-0.019569734,-0.04322749,-0.020370578,-0.06395977,0.053747963,-0.060357064,-0.025228554,0.017760653,0.016356895,0.00025855078,-0.021414455,0.032079343,0.052996155,-0.013040292,0.040737025,0.044166625,0.027116043,-0.018744048,0.043797582,-0.049546964,0.034374192,0.058940645,-0.0402437,-0.06388963,-0.05539332,-0.016352527,-0.07623155,0.03394872,0.011679463,0.0060550217,-0.02753305,-0.03728488,-0.025286911,0.036915697,0.05106698,-0.028045043,-0.014288529,-0.015213327,0.03257807,-0.01165908,-0.003854345,-0.06741261,0.0059991176,0.07497288,0.06434941,0.028578298,-0.051135775,-0.011575388,-0.027072797,-0.010295422,0.032609932,0.019437207,-0.0445587,-0.06995545,-0.042811032,0.04378546,-0.059404846,0.04570089,-9.823899e-05,-0.06736077,0.029014472,-0.0032705108,-0.051285263,0.063434266,0.0037286174,-0.014580534,0.016850205,-0.0065769176,0.010214054,-0.034653205,-0.043426406,-0.052231923,0.00679632,-0.027963007,0.019039935,-0.0237699,0.02239697,0.023085853,0.028901873,-0.009324542,0.07809949,-0.033313997,-0.047305495,-0.028131848,0.031516034,0.01978169,-0.08280846,-0.07232961,-0.016869389,0.005201257,-0.010935584,-0.065831974,0.03090472,-0.0072418745,0.017504686,0.040131155,-0.027656725,-0.030770399,0.0055144723,-0.006051648,-0.017351609,0.016138254
0.05735059,0.039817378,-0.031550176,-0.016043743,0.0039275084,-0.025118131,-0.06492825,-0.065833524,0.071626864,-0.043217055,-0.0063519687,0.06339966,-0.05734791,-0.045113705,-0.0073857047,-0.020056425,0.089614905,-0.009560947,-0.060752682,0.06446458,-0.0087080905,0.024923757,0.006616213,-0.023060987,-0.00028565785,0.0063100797,-0.05541986,-0.05541986,-0.040717527,0.02757417,0.023028502,-0.05791549,0.002885645,0.040910162,0.02294815,0.0023978972,-0.040717527,-0.053918924,-0.038032178,0.009795772,-0.00088607863,0.0020372237,-0.076953284,0.004727463,-0.0059742434,0.019185636,0.016963428,0.018625103,-0.074172236,-0.0007001564,0.007009573,-0.0814131,-0.056505542,-0.062662594,-0.074804425,-0.06968902,-0.020035861,-0.01836862,-0.03998323,-0.059254684,0.032816585,0.032816585,-0.034130663,0.058821924,-0.047710888,-0.02372996,-0.011125957,-0.029093599,-0.010431898,0.055628918,-0.05734276,-0.05734276,-0.073843725,-0.047421865,0.01336025,0.035639074,-0.032418758,0.030812314,-0.05540982,0.024533557,-0.07348197,0.0775048,-0.058389936,-0.054672357,0.062340368,-0.037458558,-0.033804797,-0.032582134,0.056794822,-0.020286137,0.050993256,0.06184789,0.057406146,-0.037458558,0.061082523,0.031517424,0.043209374,-0.046010092,0.019167926,-0.017871574,-0.06693147,0.052297615,0.056973506,-0.019325847,0.03661432,0.05343496,0.024351116,0.06405876,0.017872406,0.04695191,0.051318265,0.0014817346,-0.0653547,-0.06898082,-0.06272779,0.028293395,-0.04535288,-0.0484942,0.023170417,-0.06677642,-0.0021495668,-0.010666877,-0.006973122,0.06379747,-0.04899736,0.02219089,-0.004430785,-0.058894236,-0.041920803,-0.03021505,-0.0076624393,-0.0035935214,0.046138365,0.07232075,0.02143691,0.0012699125,-0.053637158,0.01557926,-0.057426732,0.024534965,0.051424745,0.07595342,0.0508895,-0.031165909,-0.06466255,-0.05723235,0.02516407,0.045189794,-0.040288486,0.0106214825,-0.023516366,0.07167884,-0.0007350333,0.0049557234,0.033847462,-0.04366805,-0.015403759,-0.006197924,-0.010079428,0.025306553,0.0486279,-0.020927014,0.044237062,-0.0020533202,-0.0481641,-0.008509971,-0.0034812842,0.04402788,-0.039125625,-0.06302619,0.06698611,-0.07388164,-0.03455635,0.012877994,0.031774905,-0.0053699026,0.021314906,0.044232953,-0.046412952,-0.045090847,0.071478866,-0.032875087,0.024563206,0.06457928,-0.079487644,-0.02768774,-0.016967308,-0.03612247,-0.051875126,-0.028719999,-0.07338051,0.031310722,0.065885015,0.0183445,-0.073990725,0.035249658,-0.0070160246,0.04305721,-0.039031487,-0.0069014644,-0.029823449,-0.06893486,0.04535781,0.00930407,0.051797383,0.01936275,-0.052820936,-0.014242049,-0.038130037,0.01262117,-0.044033606,0.024985516,0.07452414,0.032004718,0.018318066,0.06740455,-0.06837315,0.056390427,-0.051416352,0.026694324,-0.018806314,0.030890021,0.02697395
0.03920346,-0.02888911,0.038415972,-0.01927843,0.0015705938,0.006164085,0.024976121,-0.0398534,-0.0060393815,-0.027147682,0.0076615736,0.055099607,0.059850406,0.020820968,-0.060755394,0.025604391,0.0031957603,-0.024556728,0.0604757,-0.059423212,0.0743586,0.051794153,0.019911079,0.0129272435,0.021763567,0.024535147,0.05255141,0.05255141,0.06668759,0.07491623,-0.045042716,-0.047714807,0.056849785,0.055437874,0.057319533,-0.030758139,0.06668759,0.008456432,-0.06527036,0.049614865,0.04515675,0.04673826,0.0024550867,-0.032716893,0.059370317,-0.021546574,-0.005729767,-0.067894705,0.029721025,0.06501235,-0.0135572795,0.022239137,0.0069903047,0.008851236,0.035778254,-0.03718677,0.056690544,0.01931009,0.012138684,0.052746262,-0.06770029,-0.06770029,0.05044365,-0.0005567742,-0.0057359287,-0.031292174,-0.020804042,0.030559612,0.033918224,-0.01823287,0.0011793419,0.0011793419,0.04141206,0.027476504,-0.0116462605,-0.0375554,0.033049226,-0.023156013,-0.06420295,-0.0024600574,0.043075927,-0.016895235,-0.019822773,-0.033804215,-0.055620417,-0.044332724,-0.029521583,0.057777863,0.03380435,0.0675904,-0.006905816,0.035606824,-0.014113907,-0.044332724,-0.04464682,0.032862306,-0.073238686,0.059335425,-0.040373623,-0.012551966,-0.031872645,-0.014959935,-0.03857723,-0.018272884,0.0150762955,0.05472485,0.020371662,0.011530484,-0.040347874,0.03248857,0.027313849,-0.004407957,0.04189469,0.044809002,-0.025503164,-0.02419473,0.04948194,-0.004232505,-0.06773684,0.059254464,0.048013046,0.00021985066,0.03085965,-0.039940827,-0.0062434454,-0.046046678,0.0019668678,-0.005791454,0.0732458,-0.0487689,0.012571353,-0.03267758,-0.07485949,-0.043723073,0.00815503,0.03881762,0.03698277,0.05231459,0.047803774,-0.070685014,0.040021665,-0.06142425,-0.073552765,-0.052583277,-0.038988672,0.023432491,-0.03478323,-0.012954777,-0.059220053,0.022938728,0.002795402,0.05007488,-0.028922062,-0.0026520898,0.026742825,0.021791494,-0.050310545,-0.028170388,0.06333867,0.004408953,-0.0104444,0.030172264,0.0050917985,0.044336017,-0.056382004,-0.038468797,0.026649682,0.037500083,0.05378428,0.010715486,0.060214337,0.07253161,0.041637793,0.07228498,-0.014557361,-0.027257986,-0.04463492,0.02256294,-0.009783306,-0.010188558,0.008730288,0.051494583,0.06889209,-0.03137289,0.03114418,0.057621676,-0.0038595432,0.01216534,-0.03532942,0.008714455,0.018037688,-0.04926889,0.042949997,0.056287903,0.06416306,0.024339292,-0.03509845,-0.0425853,-0.011347025,0.017146064,-0.03478309,-0.0728766,-0.050204504,-0.021837974,-0.024691604,0.013402124,0.044039767,0.04297416,0.051091753,-0.072756276,-0.005556836,0.030751647,-0.046309855,-0.025285846,-0.01348624,0.0037495443,0.009422711,0.025767226,0.0092331795,0.057397168,0.02491853,0.02996379,0.030325308
-0.02113405,0.013797946,-0.047776897,-0.04797983,0.020630602,-0.052702773,-0.013101832,-0.05099306,-0.03780443,-0.011127168,-0.054032475,-0.061263196,-0.02162857,-0.045396455,-0.06204088,0.003490004,-0.027759762,-0.053515702,-0.0070024426,-0.057890356,-0.068127126,-0.07133735,-0.068377465,-0.06530444,-0.015046593,-0.05786266,-0.05259528,-0.05259528,-0.06843481,-0.0490253,-0.023935197,-0.046270885,-0.019401899,-0.059297908,-0.056579158,-0.06666927,-0.06843481,-0.050908383,-0.04972945,-0.025228381,-0.055555686,-0.065393284,-0.07035825,-0.04970055,-0.06160897,-0.054004345,-0.06642665,0.040580507,0.0011185927,-0.056704674,-0.050837904,0.0054675885,-0.046291,-0.043012284,-0.03307223,-0.04296964,-0.08673153,-0.059411544,-0.033423875,-0.04180652,-0.04638334,-0.04638334,-0.067237824,-0.05728973,-0.05077379,-0.038479026,-0.054836504,-0.0104450835,-0.0441221,0.0038893104,-0.068583,-0.068583,-0.0678445,-0.061861224,-0.04101801,-0.046244018,-0.065919265,-0.06541821,-0.008069281,-0.0043878737,-0.033723805,-0.034449555,-0.05581189,-0.04272787,-0.031396322,-0.059222504,-0.05397001,-0.021003509,-0.029844934,-0.052602764,-0.058849428,-0.04465278,-0.051539253,-0.059222504,-0.061397966,-0.06464768,-0.070042156,-0.06063244,-0.08001174,-0.03816791,-0.046325207,-0.059018765,-0.0060009602,-0.068337746,-0.03726023,-0.05962486,-0.053740427,-0.02619623,-0.07245231,-0.060576547,-0.06504151,-0.08039332,-0.045995805,-0.018754715,-0.033915814,-0.002489858,-0.014555873,-0.06671183,-0.061419412,-0.07398939,3.210091e-05,-0.041317154,-0.018311687,-0.042857897,-0.0374465,-0.036593664,-0.008144215,-0.06812251,-0.045013778,-0.042269416,-0.06336782,-0.034155197,-0.020939339,-0.013467763,-0.057944465,-0.037653897,-0.05818795,0.031647645,-0.051716365,-0.013074669,-0.071916975,-0.053104,-0.07037263,-0.033509027,-0.05795409,-0.037581485,-0.07570206,-0.08368144,-0.028888691,-0.053560615,-0.08291302,-0.031841833,-0.0027335542,-0.04833979,-0.055974286,-0.0048746066,-0.029212302,-0.023041498,-0.035332922,-0.07044656,-0.039808173,-0.026369432,-0.054856677,-0.05590079,-0.003874811,-0.013330564,-0.008845918,-0.065065004,0.0056746434,-0.048593085,-0.033683266,-0.019844221,-0.027901586,-0.052163884,-0.033398297,-0.024217602,-0.082587,0.0056855003,-0.010751892,-0.029918747,-0.057640746,-0.04203771,-0.04375687,-0.020587249,-0.067652576,-0.0626953,-0.028035201,0.03229032,-0.0595995,-0.054910254,-0.04827151,-0.004174217,-0.072358705,-0.0629036,-0.06997029,-0.058727223,-0.03554501,-0.06536985,-0.03834371,-0.06709545,-0.0154577335,-0.00020947117,-0.046978455,-0.06881548,-0.05503954,-0.058216684,-0.038713988,0.0202179,-0.056585155,-0.049086012,-0.06521473,-0.067273654,-0.04971626,-0.051071614,-0.028836843,-0.015769534,-0.066935524,-0.048642803,-0.039015163,-0.058928672,-0.061808895,-0.044872627,0.00015079875
