,james baldwin,patrick radden keefe,tayari jones,roxane gay,zora neale hurston,langston hughes,edgar allan poe,suzanne collins,f scott fitzgerald,jk rowling,lemony snicket,jane austen,charles dickens,victor hugo,charlotte bronte,stephanie meyer,v.e. schwab,dostoyevsky,kafka,james patterson,ernest hemingway,william shakespeare,c s lewis,bronte sisters,gabrielle zevin,john green,hanya yanagihara,rick riordan,nathaniel hawthorne,j d salinger,emile zola,sinclair lewis,erin hunter,brandon sanderson,george r r martin,naomi novik,emily bronte,mary shelley,anne frank,evelyn waugh,wilkie collins,michelle zauner,tan twan eng,asako serizawa,neal shusterman,primo levi,harriet beecher stowe,thomas jefferson,benjamin franklin,alexander hamilton,dave pilkey,ralph waldo emerson,thoreau,abraham lincoln,stephen king,j.k. rowling,dan brown,bell hooks,stuart gibbs,kurt vonnegut,ray bradbury,louise erdrich,j.r.r. tolkien,george r.r. martin,senlinyu,carlos ruiz zafÃ³n,sylvia plath,shel silverstein,shakespeare,mary shelly,agatha christie,gary shteyngart,fyodor dostoevsky,j.d. salinger,john williams,tolkien,cs lewis,frank herbert,isaac asimov,donna tartt,oscar wilde,leo tolstoy,nabokov,michael crichton,robin wall kimmerer,stephenie meyer,max weber,dennis cooper,david sedaris,amy sedaris,david levithan,dr. seuss,tj klune,alice oseman,rudyard kipling,madeleine l'engle,louisa may alcott,roald dahl,charlotte brontÃ«,emily brontÃ«,f. scott fitzgerald,lisa kleypas,martha waters,elena armas,patty blount,abby jimenez,sarah j. maas,marissa meyer,uzma jalaluddin,s. k. ali,shannon chakraborty,hala alyan,rainbow rowell,martin,henry wadsworth longfellow,william wordsworth,brontÃ« sisters,franz kafka,mull,morgan,eoin colfer,a. a. milne,miller,toni morrison,s. e. hinton,mark twain,peter michaelson,kristy dallas alley,richard alley,bronteÌ,abu-lughod,colleen hoover,emily henry,michelle obama,judith lorber,kazuo ishiguro,leigh bardugo,c. s. lewis,savannah brown,kate elizabeth russell,jung,campbell,freud,murakami,sayaka murata,octavia butler,albert camus,george orwell,jazz jennings,ruth olujobi,dickens,timothy gallwey,anne bonte,charlotte bonte,kiera cass,emily bonte,barack obama,khalid rashidi,noam chomsky,rushworth kidder,daniel nayeri,rebecca stead,lord byron,arthur conan doyle,timothy zahn,ralph ellison,thomas aquinas,samuel johnson,mala,emily dickinson,bronte,bret easton ellis,kevin wilson,nora roberts,upton sinclair,sarah lawrence,marcus aurelius,sankofa,karl marx,vladimir lenin,mao zedong,joseph stalin,adolf hitler,donald trump,andrew wakefield,j. k. rowling,karen m. mcmanus,rachel reid,freida mcmannon,tim o'brien,kate o'hearn,william faulkner,j. r. r. tolkien,khaled hosseini,holly jackson,martha stewart,matt craig,gillian mcallister,stuart turton,virginia woolf,james joyce,jane eyre,abveh kahbar,r. j. shine,malala yousafzai,john steinbeck,nicholas sparks,maaj,john lewis,george r. r. martin,margaret atwood,ottessa moshfegh,patti smith,c.s. lewis,julian barnes,paulo coelho,ocean vuong,haruki murakami,barbara kingsolver,jon meacham,maya angelou,richard wright,susan collins
0,0.04818333,-0.019543715,-0.010640611,-0.00097077905,0.058774594,0.028408397,0.04724454,-0.041067503,0.038623396,-0.017625734,0.03489028,0.013425607,-0.047746867,-0.03027408,-0.040692836,0.025750654,-0.04204139,-0.047753822,0.00043588635,-0.021742161,0.024708174,-0.0016802959,0.03189971,0.031093655,-0.027879138,0.018134201,0.078579396,-0.048780024,0.05556537,0.019760987,0.03331367,0.021260465,-0.04117565,-0.017301003,-0.02039017,-0.01678842,0.02232067,0.0074490756,-0.02160469,-0.012727034,-0.008871499,-0.0002666976,0.0029919448,0.05478435,-0.041221667,0.01957543,0.013674081,-0.025252685,-0.015034489,-0.01690477,0.010770659,0.0070477817,0.017917424,-0.017834505,-0.04878879,-0.017625734,-0.031565063,0.019867836,0.023468908,0.005342335,-0.0013150275,0.044423975,0.035120144,-0.050657593,0.033079516,0.01720951,0.017162066,-0.010401617,0.02755958,0.00031320917,-0.03008356,-0.021722486,0.060498804,0.0398932,-0.04752203,0.026993992,0.025308661,-0.0014624022,0.0029959604,0.014771225,0.0071461825,0.016067795,0.028809305,-0.053313736,0.003952338,0.013848696,-0.007100793,0.025634144,0.0084412955,0.014189173,-0.0052748094,0.00911795,-0.024327602,-0.045347653,0.068871714,-0.026556667,0.031000746,-0.038901083,0.00774618,0.024697844,0.038623396,-0.040781774,0.04546694,-0.025574174,0.024587635,0.021952683,0.041910823,-0.010045688,0.064949974,0.0632411,-0.019874986,0.03412761,-0.017794345,-0.063007854,0.06951393,0.024530513,0.051833015,-0.0036979802,0.049515083,-0.026424019,-0.0036600514,0.014368459,0.011231293,-0.015794478,-0.0005745944,0.057705656,-0.055840172,0.035138845,-0.057667486,0.025062144,0.05854331,-0.04172749,0.013115367,0.0042407783,-0.028091028,0.038983203,0.018903786,0.03189971,-0.0065306476,0.013342665,0.0151813915,-0.00052051886,0.06968055,0.023402832,0.054855272,0.014098199,0.04557461,0.018629668,0.027609702,-0.04289006,-0.042687953,-0.036090937,0.041151002,-0.00077843363,0.030725157,0.021786684,-0.034099035,0.005618914,0.05894842,0.016863713,-0.0059110164,-0.031276092,0.03235366,-0.05316783,-0.024937697,0.003133849,0.008427507,0.0324797,0.04054242,0.050100792,0.009205029,-0.007896624,-0.041890953,-0.03034762,0.020260893,-0.011875448,0.02748672,0.065685555,0.056751277,0.060022436,0.041742783,0.037978377,0.001857696,-0.024859589,-0.0344251,0.003222871,0.021641597,0.0122126555,0.024621613,0.031398494,0.04143132,0.027655132,0.030947171,-0.053109147,-0.03258534,0.010822784,-0.069025904,0.01114717,-0.03724764,0.042311646,0.031098941,0.00478486,-0.013872577,0.030123625,0.04603871,0.024250327,-0.013758542,0.0017950113,-0.029710608,-0.02039017,0.046646774,-0.050532546,0.013600962,0.025308661,-0.04901317,0.0031883502,0.008139195,0.033424526,-0.00024995528,-0.022632595,0.042114083,-0.04678192,-0.004257418
1,0.011410972,0.004806244,-0.028679889,0.016945546,-0.004475012,-0.005072793,0.022409253,-0.0306553,0.013034791,-0.03300549,0.024602719,-0.036376324,-0.049358554,-0.005907802,-0.04398422,0.02518461,-0.06920273,0.005389422,0.0034311756,-0.02023377,-0.044235434,-0.0028305517,-0.04946737,-0.020192888,-0.04305631,-0.03237962,-0.014431576,-0.041989304,0.022555107,-0.021867514,0.034785308,0.009761991,-0.023270234,-0.014131347,-0.013752018,-0.000103702805,-0.018063396,0.0035166086,-0.034445807,0.02098959,-0.04955101,0.026745599,0.043481775,-0.06700217,-0.0013608644,-0.03046209,0.0021097858,-0.009434689,0.01617705,-0.022785062,0.007567712,0.0050040465,-0.06200667,-0.051294878,-0.023090744,-0.03300549,0.038615324,0.010583205,-0.061502993,-0.02601639,-0.008668975,-0.028808514,0.0008468114,-0.055019774,-0.0075455825,-0.03534183,0.018281898,0.01612463,-0.00785423,0.0003401537,-0.023445783,0.03216799,-0.04283243,0.013778322,-0.046008926,-0.013281526,0.0075815283,-0.0009491624,-0.038718376,-0.034027603,-0.020689439,-0.027708849,-0.0032526292,0.034368172,0.051974107,-0.005312931,-0.037495147,0.006105832,0.032822136,0.026355667,0.020461837,-0.005244465,0.036441576,-0.028154988,-0.029995829,0.009862405,-0.003003031,0.050717954,0.0029599972,0.03714234,0.013034791,0.046203144,-0.020955898,-0.024553604,-0.04135342,-0.03382934,-0.0152274575,-0.037340842,-0.015372737,-0.039992306,0.013072686,0.06970679,-0.020728532,-0.049293168,0.029709002,-0.004040089,-0.011217959,0.023660606,0.0016994008,-0.042369846,-0.018709948,-0.030988827,-0.03944186,-0.054267637,0.012412021,-0.01596763,-0.044829383,0.018249145,0.050620217,-0.054311275,-0.006532668,0.018753944,0.014681853,0.03691375,-0.036723673,-0.026811974,0.020129016,-0.04946737,-0.025027614,-0.012138976,-0.011789686,0.018742787,0.05276266,0.028221399,-0.061498582,-0.024068013,-0.066635564,-0.017140104,-0.024908636,-0.054777067,-0.013916592,0.05496991,-0.04281961,-0.0069595827,0.007688379,0.029462768,-0.057301223,-0.065052636,-0.032252997,-0.0071197627,0.0048005483,-0.0064928443,0.011180014,0.02315171,0.02584579,-0.017098662,-0.01629465,-0.04154209,-0.022811564,-0.026122564,-0.05429654,0.021145444,-0.003215199,-0.03860002,0.04066657,-0.046991196,-0.019978141,-0.01772844,-0.06478837,-0.019638946,-0.06841088,-0.010221363,-0.009850893,-0.035911396,-0.010256588,-0.04390094,0.015890388,0.00759761,-0.05102588,-0.014182744,0.032535076,0.021441938,-0.00074844604,-0.024968382,-0.009115933,-0.0010320946,-0.044839423,0.05006122,-0.025974711,-0.020136792,0.0022539662,-0.044840194,-0.017893018,-0.0068061324,-0.07619506,-0.028903574,-0.0048823683,-0.0020683475,0.01896031,-0.013752018,-0.047283534,0.009523665,-0.0037059572,0.0075815283,-0.005068183,-0.044994734,0.007331322,0.0019016939,0.0017912978,-0.017048227,-0.067253426,0.02053754,-0.053872332
2,-0.02234501,0.08506588,0.05313231,0.07133194,0.010455948,0.06255849,0.0546993,0.06494565,0.021140838,0.06592266,0.040403698,0.0017713839,0.0410226,-0.034214,0.047134858,0.07396247,0.04295413,0.07597164,0.012456044,0.057884175,0.03853698,0.068803966,0.081063226,-0.010816114,0.050899327,0.044718545,-0.033741217,0.049274746,0.04889189,0.08232079,0.012625093,0.06690922,-0.01078123,0.06683758,0.08356708,0.0831152,0.05182648,0.028946415,0.07208911,0.07556557,0.010720089,0.04978831,0.006580601,0.04108008,0.07217143,0.048385303,0.053803444,0.06563038,0.020650689,0.06680967,0.08992936,-0.01263504,0.06434226,0.06849917,0.07064046,0.06592266,0.07343016,0.052209403,0.029759694,0.06613521,0.03420791,-0.00064475025,0.07505511,0.07618551,0.053171214,0.015791008,0.03635784,0.0779932,0.07343447,0.0008651883,-0.01764465,-0.00086524803,0.0060178395,0.045216464,0.07678074,0.073889375,0.08163707,0.04009524,0.025879314,0.062082548,0.062510215,0.058655873,0.066890925,0.0345015,0.060341254,0.06418654,0.025846286,0.012031131,0.08220845,0.0715716,0.088717364,0.045596834,0.066020474,0.05587808,0.06595094,0.06377876,0.04370782,0.070170455,0.07581924,0.064526774,0.021140838,0.048356198,0.058619253,-0.015876628,0.06914163,0.044055335,0.012890087,0.02815263,-0.03485427,0.04994278,0.048189167,0.0076456117,0.07436163,0.06385525,0.014119032,0.05426842,0.005056539,0.047744565,0.0405266,-0.0464567,0.059385344,0.024858825,0.05236405,0.07692499,0.08300757,0.044147965,0.080263235,0.010697171,0.07656896,0.032836366,0.050882325,0.009622755,0.04091519,0.03727455,0.019337468,0.07285189,0.03199029,0.081063226,0.03291158,-0.054142367,0.058749337,-0.059375934,-0.041069105,0.074422106,0.049214903,0.045824245,0.02120017,0.017957348,0.07803622,0.034809362,0.01256587,0.032149967,0.08241861,0.07013607,0.039602272,0.060726825,0.038301636,0.03630747,0.065794304,-0.012346651,0.03975236,0.03758232,0.069272354,-0.027271368,0.034737468,0.03915716,0.06628007,0.04142054,0.04315323,0.07028939,0.004317438,0.054111626,0.037797462,0.06439279,0.028578896,0.07437658,-0.0011141007,0.08739469,-0.0149195045,0.012234775,0.031194007,-0.024715666,0.065366715,0.040087137,0.031480588,0.054086316,-0.038239725,0.05473562,0.030391864,0.032606732,0.038917135,0.047046524,0.07577807,0.077492245,0.07836455,0.063793354,-0.036074832,0.04745695,0.043562476,0.03416171,0.06205527,0.04278176,0.063745305,0.037134252,0.029502202,0.050353177,0.0711852,0.049857832,0.06452146,0.08356708,-0.029913906,0.05636221,0.081115924,0.08163707,0.06935903,0.068129435,0.05368052,0.075507835,0.056347728,-0.013057902,0.016670085,0.072189294,0.027112104
3,-0.048120275,-0.0786612,-0.04109619,0.022216927,-0.03881132,-0.0045997347,-0.041105717,-0.038764834,-0.030634562,-0.010920268,-0.053240716,-0.06184463,0.013487382,0.019919189,-0.055760067,-0.060521945,-0.018541032,0.005291321,-0.014156615,-0.07047456,-0.018736888,-0.041738965,-0.009804093,-0.03279021,-0.001338904,0.00269313,0.021153968,-0.049039774,-0.041725613,-0.031499956,-0.021653678,-0.0017100697,0.014991041,-0.05588632,-0.010478115,0.0450816,-0.019128915,-0.05033247,0.009135282,-0.026913138,-0.030753642,-0.053632326,0.00930766,0.048696127,-0.009918277,0.0137512665,-0.04525213,-0.000504435,-0.041064277,-0.038137276,0.0003198203,-0.021202555,-0.006861859,-0.034282457,-0.0030162153,-0.010920268,-0.03788436,-0.046269864,-0.046374626,-0.056468718,-0.04842587,0.027793378,-0.033581078,0.010071589,0.061159022,0.02601894,-0.06682122,-0.02216147,-0.05326577,-0.03204061,-0.024967384,0.034568626,-0.039839458,-0.014393606,-0.012769072,-0.039627437,-0.0063554863,0.053592682,-0.013133203,-0.018742796,-0.06234125,-0.06154457,-0.028285688,-0.006315472,0.006811947,-0.06416069,-0.040381607,-0.024856415,-0.049197134,-0.035344694,-0.044389587,-0.029502522,0.0027505446,-0.027481016,-0.060138408,0.0075993016,-0.023261188,0.0035322101,-0.038208365,-0.02128837,-0.030634562,-0.04358842,-0.010671073,0.037545677,0.0064536594,0.05124458,-0.061154786,-0.048998456,-0.0116753625,0.007942613,-0.058017317,0.028415434,-0.033728506,0.02812483,0.00078381103,-0.030598512,0.004500373,-0.010700779,-0.026346449,-0.012674324,0.017492613,-0.017501978,0.050329916,-0.00643501,-0.02604192,-0.05515225,-0.018132191,-0.06505115,-0.0211572,-0.011349093,0.051885083,-0.037933093,0.06263097,-0.04328353,0.0003911621,-0.004282949,-0.02036044,-0.009804093,0.030448927,0.0004692404,-0.029197594,-0.05198654,0.004174422,-0.023224734,0.00473465,-0.051915623,-0.040525682,-0.03237848,-0.057700384,0.0042685885,0.05095809,0.017574375,0.024994526,-0.027514903,0.05215907,0.0006900974,-0.043156605,0.053566158,-0.049823362,-0.011500981,-0.029809646,0.049252912,-0.06242668,-0.059468657,-0.012628364,-0.02064062,-0.057888262,-0.053796027,0.013941402,-0.02184705,-0.03749276,-0.02326914,0.0031957843,-0.052236114,-0.0016410593,0.018013595,-0.06681266,0.042269997,0.058147844,-0.010470446,0.025412511,-0.014550619,0.009166491,-0.03567311,-0.05584727,-0.01165327,-0.002707184,-0.018795064,0.04753908,-0.02505187,-0.04484751,-0.039615214,-0.027742317,0.056844477,-0.008119958,-0.027325284,0.0035154442,-0.044125944,-0.016252896,-0.05050654,-0.0017601373,-0.058953453,-0.012026742,-0.009711125,-0.047730915,0.020734837,0.0027470668,0.08008801,0.0073864367,-0.010478115,-0.057905663,-0.018899154,-0.025666624,-0.0063554863,-0.00549487,-0.043101985,-0.008351683,-0.03510818,0.023333112,-0.0050483504,-0.060294237,0.013589747,-0.0151548
4,0.011385173,-0.015213364,-0.033313967,0.043785434,0.016138272,0.010518811,0.0518699,0.028901864,0.06587944,0.011315254,0.015039375,0.01295945,-0.035722442,0.017504659,-0.02143909,0.0067963367,-0.007241861,0.023201741,0.008958999,0.0069763428,-0.040228702,-0.006051663,-0.019771527,-0.008732529,-0.009004915,-0.04088014,0.04066969,-0.044558745,0.011679462,0.0060815644,-0.052022357,-0.05223191,0.044031642,-0.047922652,0.057610255,0.0339487,-0.019787662,0.04073704,0.010721513,-0.00017445919,-0.03077041,0.058940638,0.0780995,0.021505445,0.006055044,0.005999105,-0.008219014,-0.028131837,-0.037293825,0.0012749732,-0.030447057,-0.011575372,0.031516008,0.021216251,-0.02796301,0.011315254,0.016536135,0.0040042,-0.02376988,-0.010578546,-0.027072802,-0.043227468,-0.036611587,0.043408222,-0.0065769698,0.008883362,-0.009324569,-0.043426387,0.010214054,0.044166625,0.041532215,-0.066944614,0.026890328,0.022704326,-0.0057881707,0.0052012755,-0.003948975,-0.031190103,-0.026215106,0.043851897,-0.028045034,-0.0032693085,-0.07623155,-0.049546976,-0.04281102,0.019039907,-0.018744076,0.0057759923,-0.02042823,-0.011303566,-0.03736539,-0.01775975,-0.0168694,-0.041732464,-0.05940484,-0.06395977,-0.019569766,-0.069955446,-0.03738144,-0.029236564,0.06587944,-0.0051555634,0.052996162,0.00020032648,-0.011659098,-0.027117724,0.063434266,0.00025855078,0.030904751,0.029014448,-0.03465321,0.0077862367,0.028578293,-0.013040287,-0.02805093,-0.017351627,0.05532952,0.0010857622,-0.05539331,-0.06388962,-0.05782244,-0.03712288,-0.04024369,-0.010935541,-0.06736075,-0.021414453,-0.067412615,0.005730234,0.03260993,-0.07434635,0.0032501908,-0.04447802,-0.048991416,0.034374166,-0.023956945,-0.020917863,0.01946612,-0.019771527,-0.014580505,0.056749366,-0.06537982,-0.038306132,-0.030073557,-0.016352491,0.016850216,0.051066972,-0.02615185,0.010780463,-0.03781397,-9.824954e-05,0.009344268,-0.08280845,0.043748774,0.00011862901,-0.017913174,-0.026602667,-0.014439928,0.04083535,-0.03728488,0.045700874,-0.05615018,-0.010295432,-0.022564258,0.033347216,-0.07232962,-0.051135767,-0.04730552,-0.0032704943,0.053747956,0.045544975,-0.035504054,-0.03690579,0.012187286,-0.02528692,-0.06583197,0.0037285797,0.017760642,-0.051285263,-0.024424242,-0.027656725,-0.025228523,0.03389389,0.003318155,-0.02113282,0.0024745825,0.0398364,0.0400743,0.064349405,0.005769264,0.019781685,0.048611045,0.005514494,0.051670823,-0.01302462,0.014484264,0.032079335,0.027116071,-0.011325932,0.022396928,0.040131174,-0.0040337523,-0.02953575,0.06590627,0.07497289,-0.060357068,-0.008140761,-0.027533036,-0.020370606,-0.01487106,0.057610255,0.01635688,-0.014288537,0.032578062,-0.003948975,-0.029112585,-0.003854326,0.036915693,0.011273168,-0.051426433,-0.046900444,0.043797564,0.019437239,0.023085838
5,-0.03258213,-0.010079429,0.04535781,0.021314902,0.026973957,0.0282934,-0.074172236,-0.0069014635,0.03281657,-0.037458565,-0.04849419,0.050993245,-0.05791549,0.067404546,0.04091017,0.018344501,0.018318066,0.016963439,-0.019325854,-0.020286124,-0.039983217,-0.018806318,-0.055419847,-0.023060968,-0.029093605,0.06108252,0.03563908,0.012877976,0.010621471,0.077504784,0.007009554,0.06588499,-0.0183686,-0.00870808,-0.057342745,-0.040288463,-0.056505542,0.0012699043,-0.0451137,-0.059254713,-0.051416367,0.050889477,-0.06893487,-0.020056413,-0.023516372,-0.0020533202,-0.032418765,0.05179737,0.064464584,0.071626864,0.0097957635,-0.039125625,0.019362738,-0.031550176,-0.07399072,-0.037458565,-0.053918935,-0.060752682,-0.0070160036,-0.06272778,-0.06302618,-0.006973126,-0.03380479,-0.07384372,-0.05187511,0.052353565,-0.029823419,0.03131075,-0.02871997,-0.053637154,-0.06492825,-0.010431902,-0.0111259725,0.062340375,-0.046010114,-0.044033606,-0.040717527,-0.034130674,-0.07348197,0.019185599,-0.0154037895,0.023170395,0.045189787,0.05142474,-0.0053699,0.035249647,-0.057426732,-0.076953284,0.002037221,-0.0063519664,-0.00088606076,0.018625097,0.012621187,-0.043217048,0.04423295,-0.04899737,-0.010666895,0.031774905,0.024757436,-0.0701241,0.03281657,-0.06677642,0.07232075,-0.0007001609,0.0486279,0.039817367,-0.079487644,-0.0076624365,0.03200472,-0.03287511,-0.07338051,0.013360267,-0.0034812656,0.021436896,-0.055409826,0.030890042,-0.03505926,0.058821928,-0.057232343,-0.06466256,-0.02003585,0.05735055,-0.031165889,0.024985543,0.07147885,-0.0035935398,0.044237066,-0.06898082,-0.07388163,0.099202976,-0.016043741,0.0023979007,-0.06968902,0.07595342,-0.06693147,0.0178724,-0.045352843,-0.055419847,-0.016967319,0.024351139,0.056973495,0.02757418,-0.023729948,0.025164042,-0.036122452,-0.043668043,-0.06583352,0.055628914,0.05740615,-0.04509083,0.0047274577,-0.014242033,-0.057347905,0.0028856327,-0.0653547,-0.0814131,0.089614905,0.0014817286,-0.0007350489,-0.04641297,-0.03803216,0.066986114,-0.0021495675,-0.007385684,-0.038130052,0.044027884,0.009304063,0.024563199,0.022190884,-0.074804425,0.0066161864,0.024923762,0.046951894,0.0049557067,0.074524134,-0.027687749,-0.041920803,0.06457926,0.053434968,0.056390435,-0.058894243,-0.017871568,-0.025118146,-0.005974254,0.06339966,-0.058389936,0.036614295,-0.008509959,-0.04771087,-0.052820947,0.06405875,0.026694309,-0.054672353,0.051318258,0.024533559,0.04613836,0.0155792665,-0.04742186,0.043057196,-0.06837315,0.056794826,0.061847895,0.0039275084,-0.04816409,-0.004430781,0.043209367,0.07167883,0.06379747,0.03151743,-0.057342745,-0.030215036,-0.006197895,0.025306556,-0.040717527,0.052297607,-0.020927006,0.03384745,0.030812304,-0.009560952,0.019167937,0.024534956,-0.034556355,-0.03903149
6,0.057777867,0.06333867,-0.050204497,-0.0446349,0.030325308,-0.024194745,0.029721027,0.017146036,-0.0677003,-0.04433271,-0.004232489,-0.0069058365,-0.0477148,0.003749553,0.055437867,0.056287903,-0.013486252,-0.0057297605,-0.018272903,0.06759041,0.012138716,0.024918534,0.05255142,0.012927249,0.030559612,-0.044646822,-0.037555385,0.07228497,0.022938725,-0.016895218,-0.01355726,0.04294998,0.019310102,0.074358605,0.0011793327,-0.059220046,0.0069903177,0.03881762,0.020820951,0.052746262,0.009233153,-0.07355276,-0.07287661,0.025604406,0.0027953926,0.04433602,0.03304921,-0.02469161,-0.059423216,-0.0060393736,0.04961487,0.05378429,0.013402145,0.038415972,0.06416307,-0.04433271,0.008456444,0.060475692,-0.03509844,-0.025503153,0.01071548,0.03085967,-0.029521586,0.041412067,-0.035329405,-0.036691003,-0.034783073,-0.049268894,0.008714445,0.03698276,0.024976129,0.033918217,-0.020804053,-0.055620432,0.05933544,-0.0055568265,0.066687584,0.050443646,0.043075927,-0.021546582,-0.05031055,-0.067736834,-0.012954788,0.040021658,-0.027257986,0.02433929,0.047803774,0.0024550627,0.04673826,0.0076615615,0.045156762,-0.067894705,-0.07275627,-0.02714768,0.022562942,-0.0062434645,0.0002198591,-0.01455737,0.055115264,0.017634401,-0.0677003,0.059254453,-0.043723073,0.06501235,-0.010444413,-0.028889103,0.031144187,0.012571359,-0.025285859,0.051494583,0.018037675,-0.011646244,0.026649648,0.008154997,-0.06420294,0.029963786,0.02133383,-0.00055676367,0.023432504,-0.03898867,0.056690544,0.039203476,-0.052583277,0.030751627,0.008730288,-0.032677572,0.0050918064,0.044809006,0.07253161,-0.069232605,-0.019278359,-0.030758113,-0.03718677,-0.06142425,-0.031872656,-0.040347874,0.04948195,0.05255142,-0.0038595381,0.02037168,-0.03857722,0.07491623,-0.03129217,-0.034783214,0.012165337,0.021791492,-0.039853398,-0.01823287,-0.014113896,-0.010188554,-0.03271689,0.042974144,0.059850413,0.05684981,0.041894685,0.022239106,0.0031957738,-0.0044079605,-0.028922062,-0.009783315,-0.065270364,0.06021434,0.048013046,-0.060755406,0.05109174,0.037500076,-0.02183798,0.06889209,-0.046046697,0.03577826,0.01991108,0.051794134,0.032488577,-0.002652085,-0.046309866,0.057621665,0.0732458,-0.031372905,0.054724865,0.025767226,-0.0057914676,-0.012551969,0.006164092,0.059370317,0.0550996,-0.019822776,0.015076293,-0.038468804,-0.0057359505,0.04403976,0.011530495,0.05739718,-0.03380423,0.027313853,-0.0024600597,-0.07485949,0.052314594,0.027476508,-0.0425853,0.009422705,0.033804357,0.035606824,0.0015706251,-0.056382023,0.0019668678,-0.073238686,0.05007488,-0.039940793,0.032862294,0.0011793327,-0.04876891,-0.028170388,0.004408963,0.066687584,-0.014959908,0.030172257,0.026742857,-0.023156025,-0.024556737,-0.040373623,-0.07068502,0.041637804,-0.011347002
7,-0.021003516,-0.035332926,-0.04697844,-0.082587,0.00015078792,-0.0024898702,0.0011185849,-0.06709546,-0.046383347,-0.059222516,-0.06671182,-0.058849435,-0.04627089,-0.015769506,-0.059297908,-0.062903605,-0.028836848,-0.066426665,-0.06833774,-0.052602764,-0.03342387,-0.06180889,-0.052595288,-0.06530444,-0.010445069,-0.061397977,-0.046243988,-0.05216389,-0.05356062,-0.03444955,-0.050837908,-0.07235869,-0.059411556,-0.068127126,-0.068583004,-0.028888691,-0.046290997,-0.037653904,-0.04539646,-0.041806515,-0.03901516,-0.07037263,-0.00020948003,0.0034899907,-0.08291302,-0.055900794,-0.065919265,-0.055039536,-0.057890356,-0.03780443,-0.025228353,0.005674655,-0.058216672,-0.047776897,-0.06997029,-0.059222516,-0.05090839,-0.007002435,-0.035545014,-0.033915803,-0.04859309,-0.018311687,-0.05397001,-0.067844495,-0.059599496,-0.00057488214,-0.015457738,-0.004174232,-0.05491026,-0.05818794,-0.013101827,-0.044122107,-0.054836504,-0.031396333,-0.06063244,-0.06521474,-0.06843481,-0.06723782,-0.033723813,-0.05400435,-0.029212302,-0.061419412,-0.08368145,-0.071916975,-0.024217606,-0.058727212,-0.051716357,-0.07035824,-0.06539328,-0.05403248,-0.05555568,0.040580507,-0.049086004,-0.011127157,0.005685495,-0.037446503,-0.04131715,-0.033398293,-0.058622137,-0.018404594,-0.046383347,-0.07398939,-0.013467765,-0.056704674,-0.03980818,0.013797948,-0.06765259,-0.06336782,-0.0510716,-0.042037718,-0.048271496,-0.041017987,-0.008845928,-0.057944477,-0.008069269,-0.04487263,-0.023124931,-0.05728974,-0.03758147,-0.05795409,-0.08673154,-0.021134038,-0.033509027,-0.067273654,-0.057640746,-0.03415519,-0.05485669,-0.018754715,-0.019844232,-0.102579124,-0.04797984,-0.06666928,-0.042969637,-0.053104006,-0.046325203,-0.07245232,-0.014555871,-0.052595288,-0.028035179,-0.053740427,-0.006000968,-0.049025305,-0.03847903,-0.07570205,0.032290317,-0.0048745987,-0.050993066,0.0038893232,-0.051539246,-0.02991874,-0.04970053,0.020217882,-0.02162859,-0.019401897,-0.04599579,0.0054676076,-0.027759751,-0.080393314,-0.0027335535,-0.010751904,-0.04972945,-0.033683263,3.210578e-05,-0.062040895,-0.05658516,-0.065065,-0.06881546,-0.043756858,-0.036593664,-0.033072233,-0.068377465,-0.071337335,-0.06057654,-0.048339784,-0.049716257,-0.0626953,-0.04501377,-0.020587234,-0.059624866,-0.048642807,-0.06812251,-0.03816792,-0.05270278,-0.061608974,-0.06126319,-0.055811893,-0.037260234,-0.013330565,-0.0507738,-0.03871399,-0.026196223,-0.058928672,-0.04272787,-0.06504151,-0.0043878905,-0.020939345,0.031647637,-0.061861232,-0.06536984,-0.066935524,-0.029844943,-0.04465278,0.020630602,-0.0038748062,-0.008144211,-0.07004215,-0.03184184,-0.042857908,-0.06464768,-0.068583004,-0.04226943,-0.023041498,-0.07044657,-0.06843481,-0.05901876,-0.026369428,-0.05597428,-0.06541821,-0.0535157,-0.08001174,-0.013074664,-0.027901564,-0.03834372
