subject,response,entry_number,response_times,domain
21466,dog,1,2451.9,animals
21466,cat,2,923.9,animals
21466,wolf,3,1541.8,animals
21466,hyena,4,1416.5,animals
21466,beaver,5,1457.4,animals
21466,aardvark,6,2116.5,animals
21466,pencil,1,2239.7,classroom-items
21466,desk,2,1491.5,classroom-items
21466,computer,3,2075.1,classroom-items
21466,whiteboard,4,2218.6,classroom-items
21466,shirt,1,2029.7,clothes
21466,pants,2,2072.2,clothes
21466,blouse,3,2201.8,clothes
21466,jacket,4,1410.4,clothes
21466,puffer,5,1805.4,clothes
21466,apple,1,2510.5,foods
21466,cherry,2,1416.1,foods
21466,cookie,3,1232.7,foods
21466,tofu,4,2016.7,foods
21466,lemon,5,1264.8,foods
21466,pop,1,1952.3,music-genres
21466,rock,2,3478.6,music-genres
21466,indie,3,1279.9,music-genres
21466,metal,4,1803.4,music-genres
21466,doctor,1,3955.6,occupations
21466,physician,2,4591.8,occupations
21466,volleyball,1,3753.8,sports
21466,soccer,2,1390.5,sports
21466,baseball,3,2213.2,sports
21466,hammer,1,6465.1,tools
21466,screwdrive,2,2159.9,tools
24628,Bat,1,6377,animals
24628,Cat,2,3347,animals
24628,Dog,3,2557,animals
24628,mouse,4,2365,animals
24628,bear,5,3822,animals
24628,tiger,6,3004,animals
24628,lion,7,2477,animals
24628,goat,8,5686,animals
24628,sheep,9,3065,animals
24628,cow,10,1539,animals
24628,horse,11,2092,animals
24628,whale,12,4090,animals
24628,shark,13,3383,animals
24628,dolphin,14,5771,animals
24628,fly,15,4660,animals
24628,bird,16,1938,animals
24628,bee,17,1279,animals
24628,squirrel,18,6840,animals
24628,turtle,19,6635,animals
24628,zebra,20,3274,animals
24628,ox,21,3366,animals
24628,dinosaur,22,8964,animals
24628,knat,23,16225,animals
24628,cougar,24,12398,animals
24628,deer,25,2940,animals
24628,eagle,26,4072,animals
24628,finch,27,3535,animals
24628,fish,28,3296,animals
24628,horse,29,8776,animals
24628,kangaroo,30,13601,animals
24628,lima,31,4041,animals
24628,lynx,32,4072,animals
24628,monkey,33,5960,animals
24628,himan,34,1993,animals
24628,moose,35,12128,animals
24628,Pencil,1,8126,classroom-items
24628,Pens,2,3454,classroom-items
24628,computer,3,4493,classroom-items
24628,chairs,4,2463,classroom-items
24628,pictures,5,6342,classroom-items
24628,lights,6,4090,classroom-items
24628,windows,7,2904,classroom-items
24628,walls,8,1639,classroom-items
24628,floor,9,2916,classroom-items
24628,heating units,10,8855,classroom-items
24628,plants,11,1938,classroom-items
24628,chalk,12,6472,classroom-items
24628,dry erase markers,13,6763,classroom-items
24628,dry erase board,14,6343,classroom-items
24628,bookshelf,15,4377,classroom-items
24628,closet,16,5434,classroom-items
24628,coat rack,17,5256,classroom-items
24628,floor mat,18,5794,classroom-items
24628,speakers,19,7397,classroom-items
24628,projector,20,4469,classroom-items
24628,water bottles,21,8805,classroom-items
24628,paper,22,9542,classroom-items
24628,color pensils,23,10957,classroom-items
24628,tape,24,1457,classroom-items
24628,tabs,25,4739,classroom-items
24628,scanners,26,8484,classroom-items
24628,doors,27,2527,classroom-items
24628,hat,1,5738,clothes
24628,scarf,2,4220,clothes
24628,ear muffs,3,4429,clothes
24628,shirt,4,11359,clothes
24628,blouse,5,2325,clothes
24628,t-shirt,6,5617,clothes
24628,dress,7,5186,clothes
24628,coat,8,2692,clothes
24628,pants,9,1655,clothes
24628,shorts,10,5061,clothes
24628,socks,11,2187,clothes
24628,shoes,12,2207,clothes
24628,slippers,13,8713,clothes
24628,pajamas,14,6734,clothes
24628,gloves,15,5568,clothes
24628,raincoat,16,19658,clothes
24628,panties,17,8896,clothes
24628,bra,18,3002,clothes
24628,vest,19,2953,clothes
24628,boxers,20,4341,clothes
24628,tights,21,10409,clothes
24628,stockings,22,3054,clothes
24628,boots,23,8543,clothes
24628,tofu,1,6364,foods
24628,peas,2,2932,foods
24628,rice,3,1783,foods
24628,beef,4,2524,foods
24628,pork,5,3226,foods
24628,lettuce,6,5150,foods
24628,spinach,7,13350,foods
24628,broccoli,8,5089,foods
24628,avocado,9,4002,foods
24628,tomato,10,3277,foods
24628,ocra,11,1704,foods
24628,basil,12,8524,foods
24628,thyme,13,1907,foods
24628,sage,14,3334,foods
24628,squash,15,3623,foods
24628,garlic,16,6194,foods
24628,ginger,17,2952,foods
24628,pasta,18,8888,foods
24628,flour,19,9631,foods
24628,sugar,20,8918,foods
24628,pepper,21,2557,foods
24628,banana,22,8456,foods
24628,grapes,23,2263,foods
24628,apple,24,13046,foods
24628,strawberry,25,4550,foods
24628,kiwi,26,3359,foods
24628,fish,27,4593,foods
24628,eggroll,28,7300,foods
24628,egg,29,1533,foods
24628,ham,30,2460,foods
24628,cheese,31,4651,foods
24628,ice cream,32,7537,foods
24628,walnuts,33,4686,foods
24628,pineapple,34,5492,foods
24628,cranberry,35,3637,foods
