 tyler the creator,*nsync,2pac,41,a$ap rocky,adam levine,adele,ado,adrianne lenker,after 7,aimee mann,albert ayler,alex turner,amber riley,amy winehouse,andrew bird,arca,arctic monkeys,aretha franklin,ariana grande,aurora,ava max,avicii,avril lavigne,azealia banks,bach,bad bunny,bandalos chinos,bazzi,beach boys,beach house,becky g,beethoven,ben gibbard,benny blanco,benson boone,berlinist,beyoncé,billie eilish,billy joel,billy ray cyrus,blackpink,blue smiley,bob dylan,bob seger,bobby shmurda,bohm,bono,bop kosher,boygenius,brahms,brian butcher,bridgit mendler,bruno mars,bts,caamp,caleb,camila cabello,cardi b,carrie underwood,casadesus,cat stevens,central cee,chance the rapper,chapel roan,chappell roan,charli xcx,charlie p,charlie parker,charlotte sands,cher,cher lloyd,chinese football,chopin,chris martin,circusp,clairo,coldplay,conan gray,copland,corelli,couch,crab b,cupcakke,dababy,dacelynn,daft punk,damon albarn,dance gavin dance,david bowie,david gray,david kushner,debussy,deftones,del water gap,demi lovato,destroy lonely,dj khaled,doja cat,dolly parton,dominic fike,don omar,don toliver,donny hathaway,drake,dua lipa,duke ellington,ed sheeran,el alfa,ella langley,elliott smith,elton john,elvis,elvis costello (elo unclear; kept as provided),elvis presley,eminem,esdeekid,esha tewari,eve,fabvl,fall out boy,fauré,faye webster,fetty wap,finneas,finneas o'connell,fleetwood mac,florence + the machine,foster the people,frank iero,frank ocean,frank sinatra,freddie armstrong,future,gayle,gel,george harrison,gerard way,gershwin,gigi perez,gladys knight,glass animals,gracie abrams,green day,grohl,gucci mane,gza,haim,halsey,handel,harry styles,haydn,hiroyuki sawano,hozier,imagine dragons,j. cole,j. lo,jack johnson,james taylor,janet jackson,jay-z,jeff buckley,jhayco,jhene aiko,jid,jimi hendrix,joan baez,joe hisaishi,johann sebastian bach,john legend,john lennon,johnny cash,jon bellion,jonathan gross,joni mitchell,julian casablancas,justin bieber,kacey musgraves,kali uchis,kanye,kanye west,karol g,kathleen edwards,katy perry,keith richards,kelly clarkson,kelly rowland,kelsea ballerini,kendrick,kendrick lamar,kenshi yonezu,kesha,kevin mchale,kevin penkin,khalid,korn,kurt cobain,lady gaga,lai michale,lake street dive,lamp,lana del rey,laufey,led zeppelin,lenny kravitz,lewis capaldi,liam gallagher,liam payne,lil baby,lil nas x,lil pump,lil tecca,lil uzi vert,lil wayne,lil yachty,liszt,liz mcalpine,lizzy mcalpine,lord huron,lorde,los ángeles azules,louis armstrong,lucy dacus,ludwig van beethoven,luke combs,macklemore,madonna,magdalena bay,major lazer,maluma,mariah carey,maroon 5,maroon five,masego,me,megan moroney,megan tra,melt,mendelssohn,method man,michael jackson,michael stipe,michelle zauner,mick jagger,miles davis,miley cyrus,mitski,morgan wallen,motley crue,mozart,mt. joy,my chemical romance,myke towers,nas,neil armstrong,neil halstead,nelly,nicki minaj,nirvana,noah kahan,norah jones,noriel,oasis,of monsters and men,olivia dean,olivia rod,olivia rodrigo,one direction,onerepublic,oxis,ozzy osbourne,p!nk,p. diddy,panic at the disco,panic! at the disco,partynextdoor,patrick stump,paul mccartney,perry,philip glass,phoebe bridgers,pink floyd,pinkpantheress,pinocchiop,pitbull,playboi carti,pollini,pop smoke,prince,queen,rachmaninoff,radiohead,rauw alejandro,red velvet,redman,rihanna,ringo starr,robin skinner,role model,ronnie singer,rosalía,rosé,rustage,ryan gosling in la la land,ryan lewis,sabrina carpenter,sam barber,sammy copley,sammy rae,sammy rae & the friends,sarah mclachlan,schubert,schumann,scott martin,selena gomez,shakira,shawn mendes,sia,sierra ferrell,silvestre y la naranja,snoop dogg,sombr,sosa,stapleton,stevie wonder,stig,sting,strauss,stromae,sumbuck,surfaces,sza,tagabow,tame impala,tate mcrae,taylor swift,tchaikovsky,thalía,the backseat lovers,the beach boys,the beatles,the chicks,the eagles,the goo goo dolls,the jonas brothers,the kid laroi,the killers,the notorious b.i.g.,the rolling stones,the smashing pumpkins,the strokes,the weeknd,tim hecker,tove lo,trap capos,travis scott,tricot,twenty one pilots,twice,twoset violin,tyla,usher,vacations,van cliburn,vince di martino,vivaldi,weldon irvine,whiplash kid,whitney houston,win butler,wolfgang amadeus mozart,wolfgang amadeus mozart (assumed),yana,yeet,ynw melly,yo-yo ma,yorushika,young thug,zach bryan,zayn malik,zutomayo
0.013462978,0.027706008,-0.010132409,0.015546539,0.049795978,-0.026018873,-0.052887436,0.012775897,-0.005914733,-0.0013148558,0.0042096777,0.007785382,0.018973308,-0.01145707,-0.005550233,-0.04385661,0.004892394,-0.0019925607,0.0040384596,-0.024843458,-0.009614381,-0.04708525,0.011817311,-0.035755005,0.01102946,0.009477155,-0.048198603,-0.0024131231,-0.016760794,-0.039729055,-0.040918414,0.056287847,-0.005911695,-0.043939345,-0.038735516,0.0073286863,-0.05398011,0.0150953885,0.0049794456,-0.008028363,0.033843353,0.02414951,0.06107717,0.015153346,0.047021814,-0.0361603,0.040160976,0.028955849,-0.035674408,0.06061393,0.010771453,0.010397049,0.051876117,-0.05806555,0.032043755,-0.013122944,-0.0112973815,0.038751654,0.036268394,-0.02152097,-0.04368048,-0.055674754,-0.04616644,0.0037315208,0.05353855,0.01753159,0.027191924,0.013201394,-0.043678947,-0.020113474,-0.04426593,-0.015930912,-0.019400438,0.01254279,-0.06632617,-0.02663226,-0.015659293,0.014998357,-0.04407251,-0.040969055,0.0063651097,-0.05537708,0.054640587,-0.007481529,-0.005724241,0.008449133,-0.0018244993,0.052524954,0.0012204404,-0.005554867,-0.019705335,0.024906257,0.002982011,-0.02636468,0.05896929,0.014277934,0.040598623,-0.026862908,-0.027403818,-0.028588757,0.006826884,0.01556596,-0.03963023,0.061773144,-0.034551382,0.043005425,0.009081569,0.0033761268,-0.004677508,-0.059206728,-0.01200109,-0.040484466,-0.06274551,-0.05925891,-0.058826815,-0.024902891,0.08829178,0.051294394,-0.058158774,-0.016260928,0.024698881,0.037962988,0.022012211,0.02870017,-0.028409354,0.059861895,0.0437445,-0.005816343,0.021497034,0.0036871326,-0.028857794,-0.04745978,-0.04215747,-0.043646272,0.00026632033,-0.013187144,-0.017699435,0.022634463,-0.045775596,-0.031924177,-0.020362522,0.009358273,-0.035996392,0.011924853,0.024174059,0.042078417,0.050488196,0.031454183,0.0015278521,0.028282665,-0.020483896,0.0014600919,-0.016042551,-0.022229472,-0.0022222418,0.04700315,0.028696585,-0.044881836,-0.023366628,0.029449524,0.01746598,-0.03691304,0.02243049,0.02635044,-0.030745897,0.03970394,0.01992475,0.0013072041,-0.0030821052,0.0055399328,0.020243524,-0.031017242,-0.02796372,-0.014370566,-0.0058915243,-0.0047492017,-0.041348983,-0.0046551637,-0.035866804,-0.038745653,-0.036621597,0.04374035,0.035016637,0.028940065,-0.04809325,-0.03727922,0.011695365,0.025405547,0.0073584705,0.009516343,-0.011033231,0.022453435,-0.05723243,-0.017663952,-0.00087634864,0.007969188,0.011917397,-0.030721484,-0.0023182442,-0.0018345442,0.021421531,0.037465286,0.040256534,0.026753318,0.027994344,-0.04883161,0.022887906,0.019061571,-0.02575708,-0.017933032,-0.01992581,-0.0115908235,0.03192867,-0.032705154,0.008448279,0.018958913,0.06341376,0.048235673,0.054746076,0.015631923,0.006662303,-0.01178728,-0.03800223,0.045724496,0.03975641,-0.0036051078,-0.02291707,-0.06932843,-0.06281122,0.01913323,-0.008187501,0.012598382,-0.0034867136,-0.023693845,0.056750838,-0.041299175,-0.06993544,0.012336697,-0.023973577,0.010121912,-0.056027334,0.04347446,-0.00026669694,0.0626323,-0.059298173,0.021266192,-0.04600017,0.0016705183,0.004067938,-0.016615542,0.014299906,0.023321839,-0.028353471,-0.025325112,-0.02682868,0.018759517,-0.02641852,0.0047338842,0.022167219,-0.052372895,-0.035036117,0.0053031743,-0.0015986757,-0.050927777,-0.020287875,0.025673386,-0.020986997,0.0484104,-0.04319318,0.024018336,-9.900023e-05,-0.018080398,0.04261468,0.009953024,0.009953024,0.010234218,-0.01880731,-0.0172504,-0.04086316,-0.01695161,0.015126989,0.020556804,0.00188208,-0.029926324,0.027785406,0.02891716,-0.020508165,-0.010335783,-0.020804439,-0.029229505,-0.0029069472,0.00015447468,0.0138201825,0.04729189,0.058070865,-0.0029913853,-0.040078953,0.016771534,-0.0061124875,0.009180589,0.008658295,-0.013696147,-0.02877913,-0.008417164,-0.061158206,-0.01998339,0.05578761,-0.019891424,-0.032251835,-0.01663729,0.023830617,-0.036981396,0.050061613,-0.048117127,-0.021649966,0.023525873,-0.008400485,-0.024919992,0.008989571,0.047427133,-0.027048906,-0.06050776,-0.024576914,-0.006471029,0.027626563,-0.03703169,-0.016057083,-0.012811469,-0.0070685516,0.047962338,-0.0282326,0.012980058,-0.04156564,0.020914616,0.0011865421,-0.03631495,0.030987548,-0.056969285,0.01694669,-0.024814283,-0.020834923,-0.013834441,0.055798292,0.015695147,0.0070240074,-0.017341265,0.028817894,-0.008733779,-0.022899095,0.0127354665,0.0094596045,-0.016602004,0.0034400667,0.020642232,0.020530088,-0.030493457,-0.019217761,0.008311082,0.038660817,-0.002969827,-0.0074358173,0.037067235,-0.03694944,-0.036264822,-0.05015735,-0.0065385015,-0.030711131,-0.020805033,0.009719581,-0.044537447,-0.014140902,-0.010538619,0.026012296,-0.0069381706,0.04250973,0.0040694918,0.040351544,0.028985228,0.025990767,0.037985135,-0.014031869
0.04176232,-0.040222224,0.0043494883,-0.038728792,0.024336684,-0.0029208392,-0.04209919,-0.01603761,-0.04815264,-0.08379136,-0.013443807,-0.03254278,-0.053689003,0.02894016,0.0040275413,0.035429914,-0.029415507,-0.02634935,-0.011555505,0.012241749,-0.023593988,-0.05918478,-0.003939481,0.008898128,0.013744308,-0.022930108,-0.0140242465,0.0057645924,-0.001716415,0.02999165,0.03692827,-0.024709936,-0.005015054,-0.004879118,0.05334878,0.018677609,-0.042230174,-0.027001543,0.018463297,-0.020114364,0.027602982,-0.057855822,0.01289596,-0.021672234,-0.044958275,0.03807812,-0.0052462155,-0.050908923,0.026866546,-0.0605225,0.0017467645,0.015964322,-0.046161447,-0.03238654,-0.0034249185,-0.02938714,0.013223108,-0.052105676,-0.06631259,-0.050406534,-0.024136795,0.029166054,-0.007169688,-0.03782111,0.013089276,-0.06482432,-0.04517451,-0.019371698,0.00066110835,-0.016174603,-0.07219267,-0.04220036,-0.01577141,-0.032819267,-0.027760673,0.036010932,-0.042414527,-0.04684825,-0.00721492,-0.02748744,-0.03678207,0.05994083,-0.055934556,-0.045360617,-0.039404955,-0.025842989,-0.029904025,0.009071961,0.016357986,-0.016684365,-0.02290607,0.04030951,0.010350042,0.014597251,0.023935204,-0.049173187,-0.0635086,-0.03396557,-0.022749657,-0.021313472,-0.0039193984,-0.012550736,-0.007995367,-0.02800802,-0.00896934,0.00677002,-0.006418572,0.02652645,-0.014335342,0.034534313,-0.017363613,-0.0020248855,0.0071128886,0.012919615,0.010925279,0.020094043,-0.07444671,-0.060034316,-0.023277296,0.011501027,0.010384582,0.020416465,0.027553765,0.023149459,-0.0046335813,0.04182836,-0.017100325,-0.029982755,-0.044653673,-0.0068871845,-0.002909824,0.004011009,0.016489405,-0.0850041,-0.05574539,0.0019265226,0.022253051,0.026570363,-0.031400215,-0.027803019,0.032268237,0.03849964,0.00049801834,-0.03346652,-0.016297717,-0.032291975,-0.041595727,-0.02318002,0.0018689588,-0.04419368,0.017463302,-0.02676526,-0.032406997,-0.0388903,-0.048636824,-0.042740658,-0.059593137,-0.026466768,0.0046324492,-0.00018872709,-0.016809234,0.017369831,-0.034839194,0.011558403,0.002885061,0.016415711,-0.021764636,-0.01255807,0.049551018,-0.042789657,-0.034244094,-0.028548963,-0.047330085,0.05388833,0.0122519415,-0.013594195,-0.012099391,-0.0496022,0.017416436,-0.0063893436,-0.017046494,-0.070644215,0.026724003,0.019712,0.017431855,-0.042226862,0.02241011,0.018834576,-0.0478451,-0.028822944,-0.01924862,-0.0084506795,0.0004162514,0.021672094,-0.041364003,0.0028883512,0.0050094738,-0.01765349,0.044503376,0.053617705,0.03745496,-0.016490834,-0.03845417,0.008539314,0.004151956,-0.040616732,0.028920209,0.0006827358,0.016993795,-0.02727281,0.0021823791,0.01482682,-0.032481443,0.021429364,0.007904745,-0.010671719,0.008620386,-0.040041037,-0.04954104,0.0063156583,0.05759883,0.018510597,-0.010209788,0.031392563,-0.0031353822,-0.009891778,0.0017018687,0.0684021,-0.014559068,-0.045739375,-0.015744776,-0.050604086,-0.06838288,-0.0098740915,-0.087997325,-0.026085937,-0.030548863,0.052731372,0.010530846,-0.054203562,-0.014497698,-0.001235769,0.02674557,0.021251787,0.0068635717,0.0014265538,0.013300696,-0.06956708,-0.003083516,0.0009941102,-0.024857553,-0.027720535,0.014596858,-0.06750333,-0.008912352,-0.021804608,-0.024858108,0.01392614,-0.040585708,0.0068749823,0.009847872,0.008805959,-0.007954813,0.0005602302,0.016169023,0.008974611,0.018157829,-0.033707853,-0.058906835,-0.032731894,-0.0034728516,-0.065329425,-0.029584648,-0.009608799,-0.009608799,-0.038785204,-0.01139607,-0.029361578,-0.0011157821,0.039542817,-0.029752094,-0.01692074,-0.030041873,0.021754637,-0.03797578,-0.04282843,-0.0023807036,0.059403583,0.0019862466,-0.059425693,-0.029379904,-0.00093019905,-0.027412944,0.021833487,-0.070145264,0.019421373,0.01038415,0.04054796,-0.059954785,-0.04257869,-0.028829874,-0.03551381,-0.0033426525,0.023607679,-0.056454755,0.01997975,-0.048482753,0.038028352,0.022096898,0.018117484,-0.04230346,-0.04583637,-0.026259277,0.0006139383,-0.0122507755,-0.010225883,0.01204307,-0.017320905,0.009424859,0.009271616,-0.03155766,-0.028360903,-0.032870784,0.018273318,0.030219035,0.00033782664,0.009265258,0.0057028304,-0.012200625,-0.07231776,0.042258404,-0.04903181,0.01693693,0.018460175,-0.036454074,-0.010951871,0.030184181,-0.04222296,0.014865428,0.0035031273,-0.025675576,-0.036286496,-0.041640967,-0.012768148,-0.012579589,0.015282297,-0.06571706,-0.027925927,-0.03689869,-0.04891641,-0.04710557,0.00439539,0.012283121,-0.0126598375,-0.0019932606,-0.03029353,0.0059939995,-0.057802532,-0.07946279,0.008689908,-0.050235316,-0.014394626,-0.057653315,-0.004502135,0.029030142,0.03901791,-0.014193282,0.0048026918,-0.052103464,-0.0836246,0.014277844,0.03219007,0.019923734,-0.02316113,-0.015031976,-0.04161743,-0.040470608,-0.039670102,-0.022487994,0.008950815,0.024423597
0.08303961,0.08364227,0.078828886,0.05704656,0.08085867,0.07704628,0.078935154,0.07781108,0.03885788,0.028523827,0.08645705,0.026541114,0.07660839,0.0106180245,0.0748073,0.08132925,0.0020921007,0.078171864,0.07832368,0.076266125,0.058570776,0.054469608,0.08768522,0.07666426,0.0855841,0.085087076,0.027873283,0.03473272,0.052183643,0.0830722,0.08243505,0.06333534,0.081079334,0.0770586,0.06382123,0.038645115,0.034613095,0.08049383,0.089089565,0.07715426,0.07868118,0.09714774,0.05600452,0.078041784,0.081112474,0.08309638,0.011044958,0.07816133,0.0757286,0.030612705,0.09730558,0.07433215,0.086169206,0.076103926,0.07389577,0.02406859,-0.04865355,0.08292877,0.088634595,0.07816241,0.04735604,0.0794792,-0.04857496,0.080287375,0.039328575,0.008600687,0.098277,0.076746196,0.073053926,0.067574576,0.094165266,0.07903914,-0.0662114,0.07729846,0.07905515,0.072642185,0.09644949,0.076060556,-0.013808453,0.111416206,0.08381346,-0.05643106,0.00998792,0.10690056,-0.01661979,0.07547522,0.07582459,0.07874547,0.077294074,0.07863667,0.0828206,0.07372982,0.08667478,0.0787228,0.027738778,0.07489952,-0.021167552,0.07419912,0.028088093,0.0770765,-0.0020986532,0.073867135,-0.01852553,0.041192345,0.0735807,0.073633246,0.07606204,0.0746325,-0.0128149735,0.06457912,0.078023784,0.08024023,0.07679908,0.08848461,0.07573006,0.077575915,0.025939615,0.053634506,0.07795794,0.05615644,0.08355939,-0.025337743,-0.0039800047,0.08444882,0.03317582,0.025787307,0.08046042,0.078260414,0.06341475,0.07940965,0.078683816,0.07550138,0.07408285,-0.013060674,0.04714225,-0.0014335766,0.07777507,0.07830017,0.1099363,0.0668406,0.07084952,0.08284301,0.050959583,0.080870375,0.090724036,0.07461611,0.0868001,0.102024704,0.09101204,0.087739445,0.07649817,0.09241334,0.104843475,0.10670551,0.07632711,0.075953245,0.082790524,0.07630662,0.0830945,0.07995566,0.078888334,0.07685673,0.004050106,0.09603994,0.020598702,0.07996916,0.08239306,0.08078428,0.07686462,0.042049892,0.079655126,0.0754614,0.078513354,0.005866834,0.08148944,0.078911714,0.083805494,0.10274446,0.051410705,0.070870064,0.07616392,0.03003338,0.01928369,0.07662848,0.076923124,0.07447065,0.07666109,0.06788626,0.07293093,0.07418409,-0.026546398,0.07873792,0.0736778,0.049948897,0.055549916,0.08028929,0.075034544,0.08168667,0.094455466,0.049719166,0.07292191,0.078572415,0.039809957,0.078822926,0.082457654,0.071497835,0.07324985,0.06239835,0.024073953,0.08677961,0.0629892,0.08145522,0.076360054,0.07797798,0.07595639,0.09001464,-0.03394557,-0.033521324,0.07213663,0.08218692,0.04522355,0.075404994,0.0744262,0.07686958,0.04359829,0.076540254,0.07649061,0.07267627,0.08632229,0.07363915,0.078530215,0.07749892,0.061007656,-0.031040424,0.046453778,-0.0061874986,0.021105742,0.045167238,0.102182835,0.085704595,0.08360052,0.08168137,0.049788326,0.073386185,0.07409425,0.08067017,0.03059402,-0.030082067,0.08221484,0.08135705,-0.011003706,0.082623616,0.08855533,0.08420419,0.044398878,0.08483009,0.08034696,0.0773008,0.07620316,0.068638936,0.08010303,0.050591156,0.078640096,0.081771925,0.07161464,0.05470352,0.067763776,0.08531109,0.09555354,0.07108167,0.080433086,0.11257937,0.068941906,0.08213801,0.08213801,0.11306619,0.06548577,0.0787767,0.046372127,0.052919447,0.043514345,0.07878263,0.012380768,-0.021296173,0.07391364,0.08966161,0.08985242,0.06813968,0.06989627,0.06915886,0.09855118,0.073100835,0.07229684,0.037386358,0.07543365,0.07542307,0.07640089,-0.00050936907,-0.02778323,0.08116188,0.035882015,0.0235301,-0.003099191,0.07158674,0.06654307,0.046154004,0.064046845,0.06140884,0.082526065,0.080726266,0.08121461,0.09292996,0.0909796,0.065387726,0.077622674,0.0766045,0.06953698,0.07370296,-0.04367086,-0.047797102,0.07436205,0.025230432,0.081624284,0.10847511,0.07864097,-0.0191412,0.08224047,0.0644812,0.09303996,0.08053469,-0.0004267164,0.10029649,0.05867933,0.078454435,0.0565201,0.08135857,0.09292961,0.053812593,0.005421409,0.08522128,0.08300326,0.050983716,0.07448942,0.084826335,0.08361696,-0.0041642883,0.08063572,0.08589662,0.08636144,0.08171401,0.083661444,0.08103077,0.08763451,0.1020563,0.08717601,0.075916186,0.031308874,0.08332102,0.0018428082,0.08344055,0.046385653,0.081691824,0.055111773,0.057084147,0.076534055,0.08434601,0.06676738,0.07517715,0.07549027,-0.0031873947,0.072162315,0.07579547,0.04244534,0.0018894334,0.041629802,0.051796842,0.037804056,0.07939056,0.07456857,0.07119533,0.057890434
-0.010496134,0.017807448,-0.014052522,0.034569345,-0.018529713,0.004402927,0.0119432295,-0.0046160473,-0.021491831,-0.036330722,-0.038914345,-0.0394653,-0.045526635,0.06016031,-0.013341293,0.006372492,-0.032913543,-0.046862256,-0.0053384784,-0.022773512,0.032960434,0.06353264,-0.04383207,-0.00011185075,-0.014865041,-0.04549008,-0.011972367,-0.010089603,0.007780021,-0.007060926,-0.054363955,0.048923876,-0.0014796704,-0.0052122483,-0.042515546,-0.052548643,0.029484633,-0.027958589,0.028520688,-0.028116738,-0.056341056,0.0026654117,0.038785297,-0.039455086,-0.059550904,0.00032381082,-0.007630907,0.037066326,-0.010118743,0.08308443,-0.009518748,0.009004226,-0.043265555,-0.012363368,0.03181539,0.028549856,0.050528698,0.019653082,0.02148652,-0.026008159,0.05334624,0.03723708,0.072416596,-0.03244248,-0.007065356,-0.015625939,-0.004526698,-0.034321453,-0.010336687,-0.044004,0.050485514,-0.020310974,0.021595707,-0.05994431,-0.0073005664,0.06344533,-0.017157428,-0.019613026,-0.03331109,-0.022860987,0.02316169,0.03703433,-0.02603047,0.010214925,0.04566227,0.028681273,-0.049538314,-0.023073982,0.0040829172,-0.019279758,-0.043809988,0.034145925,-0.027134039,-0.064639784,-0.017252624,-0.050158057,-0.008126483,0.034506153,0.038987815,-0.05827291,0.05830914,0.007861096,-0.025167212,-0.020461025,-0.0010179203,-0.04471063,-0.02227516,-0.011375661,0.061966915,0.033612993,-0.03541519,0.021540789,-0.018115021,-0.06859182,-0.050394695,-0.03438335,0.008976131,0.094807886,-0.018881671,0.03838277,-0.058705382,0.061107844,-0.04184133,-0.015861193,0.058617026,0.004213548,-0.02791925,-0.053903315,-0.07441529,-0.0027044513,0.029800858,-0.018474696,-0.036353633,-0.047585346,-0.0025930502,0.019239726,-0.034832418,-0.056754544,-0.025796223,-0.02076496,-0.048842747,-0.021563176,-0.038763225,-0.03474859,-0.01041274,-0.039189517,-0.037237022,-0.05744651,-0.03836603,0.02386865,-0.016871894,0.031249084,-0.025610188,-0.060864937,0.037827138,-0.038101185,-0.032408796,-0.06663663,-0.04760584,-0.031826798,-0.013863804,-0.054577455,0.017161436,-0.022472091,0.038480245,-0.058933407,-0.052692387,-0.044526827,-0.013884956,-0.02657088,0.033455428,-0.04533493,-0.029695211,-0.0024914595,-0.06550687,-0.036646936,-0.009051259,-0.01683612,-0.040365685,0.05662125,0.011974744,0.048310604,-0.060672753,0.011058351,0.0020120991,-0.0014746764,-0.023236765,0.023365958,0.039259586,-0.011240173,0.020546159,0.022132603,0.002150708,0.021572642,0.026371513,0.00303825,-0.039444152,-0.029994123,0.01411664,-0.04931824,0.061195526,-0.05481488,0.036047406,-0.017138088,-0.039778955,0.045703493,0.009956153,0.05010508,0.023056993,-0.040399536,-0.00577078,-0.030264681,0.018964462,-0.020497756,-0.014180285,-0.005529228,-0.021159759,-0.011680365,-0.03475606,0.027827336,0.023915477,-0.023628721,-0.018990496,0.028842516,-0.042990606,0.016328715,-0.016982652,0.0263634,-0.0047351234,0.02343306,-0.029124184,-0.059378494,-0.038606767,0.06654892,0.025198115,0.008873215,0.025028516,0.0030990748,-0.028512299,-0.010014962,-0.010778551,0.011802632,-0.05363234,0.015686281,-0.057694294,-0.044064414,0.02101979,-0.023549255,-0.048164405,-0.025957426,-0.0066077546,-0.05809154,0.028442064,-0.020476373,-0.020111779,-0.0061788247,-0.004254311,-0.010036404,-0.028706156,0.051858243,-0.044200316,0.032045398,0.013862759,-0.03697448,0.021863548,0.009982922,0.010931324,0.039831117,-0.04128788,-0.013933054,-0.0022373854,-0.0073311133,-0.02883372,-0.046789765,-0.046789765,-0.0021795642,-0.057712175,-0.0010618636,0.01844943,-0.010006664,-0.0027643067,0.0024012355,0.029390618,0.06765306,-0.004802959,0.0064095035,0.024847642,0.042321324,0.019953253,-0.023049116,-0.0155671965,-0.061284702,0.037302405,0.006201593,-0.00829292,-0.0055404725,-0.0153152365,-0.031570707,0.024472322,0.030937627,0.0069429856,0.04880431,0.048734978,-0.051999643,-0.014416675,0.0403078,0.012907198,0.02910591,-0.0034073642,-0.05492756,-0.027470827,-0.026544122,-0.009651194,-0.017258042,-0.0465352,-0.041378677,-0.032788686,-0.047911204,-0.04112484,0.03417843,0.0040601646,0.068913914,0.050063457,0.02689097,-0.046553303,-0.007941451,-0.0349297,-0.019766744,-0.039757617,-0.011205309,-0.0016244648,-0.043981984,0.049784742,-0.021942707,-0.033696506,0.012874792,-0.015029812,0.05661804,0.01725815,-0.028326327,-0.013663031,-0.024427073,-0.036384027,-0.018765215,-0.058936916,-0.0024627952,-0.052362055,-0.04327212,-0.01883124,-0.06645678,-0.036770012,-0.03854208,-0.015521946,-0.061994024,-0.053762786,-0.012485552,0.03379243,-0.040668387,0.003216391,0.03857522,0.10183506,-0.032430835,-0.037877485,0.01667608,0.017369114,-0.034922346,0.006825636,0.004077075,0.02435605,-0.016172348,-0.024843363,-0.02491718,0.086644284,0.06490366,0.05565863,-0.010066108,0.00092264375,0.029820295,-0.029899428,0.03153046,0.015927877
