,hozier,andrew bird,sabrina carpenter,taylor swift,chris martin,tame impala,katy perry,olivia rodrigo,rihanna,conan gray,harry styles,selena gomez,gracie abrams,sarah mclachlan,lorde,esha tewari,gayle,lana del rey,frank sinatra,jeff buckley,jhene aiko,the weeknd,ariana grande,miley cyrus,demi lovato,cher lloyd,miles davis,me,wolfgang amadeus mozart,ludwig van beethoven,vince di martino,olivia dean,noah kahan,lizzy mcalpine,jon bellion,benson boone,zayn malik,lewis capaldi,avicii,avril lavigne,kesha,beyoncÃ©,bruno mars,panic! at the disco,nirvana,lady gaga,chappell roan,green day,imagine dragons,benny blanco,bad bunny,deftones,korn,fabvl,rustage,gladys knight,amy winehouse,sza,drake,sia,adele,jay-z,kanye west,dacelynn,the strokes,the killers,julian casablancas,ben gibbard,phoebe bridgers,lucy dacus,michelle zauner,magdalena bay,oxis,pinocchiop,circusp,ado,lamp,daft punk,michael jackson,louis armstrong,kanye,kendrick,grohl,future,j. cole,ryan gosling in la la land,whiplash kid,gza,redman,method man,playboi carti,blue smiley,elliott smith,the rolling stones,young thug,tagabow,gel,gucci mane,destroy lonely,arca,tim hecker,george harrison,john lennon,billie eilish,alex turner,win butler,adam levine,cher,kali uchis,noriel,silvestre y la naranja,bandalos chinos,doja cat,trap capos,maluma,el alfa,mitski,justin bieber,billy joel,pinkpantheress,boygenius,rauw alejandro,jhayco,myke towers,rosalÃ­a,karol g,becky g,jid,esdeekid,queen,gerard way,panic at the disco,patrick stump,maroon five,halsey,onerepublic,one direction,twenty one pilots,florence + the machine,lord huron,of monsters and men,elvis presley,david kushner,johann sebastian bach,mozart,beethoven,neil armstrong,charlie parker,david gray,robin skinner,kathleen edwards,aimee mann,led zeppelin,lil wayne,lil pump,nicki minaj,cardi b,bop kosher,luke combs,p. diddy,j. lo,yeet,kendrick lamar,frank ocean,fleetwood mac,james taylor,chance the rapper,bts,elton john,shawn mendes,camila cabello,bridgit mendler,travis scott,snoop dogg,motley crue,my chemical romance,the beatles,los Ã¡ngeles azules,don omar,pitbull,shakira,dance gavin dance,thalÃ­a,the kid laroi,ava max,dolly parton,central cee,eminem,lil yachty,lil baby,dababy,dua lipa,blackpink,twice,don toliver,masego,bobby shmurda,lil tecca,the backseat lovers,caleb,finneas,haim,the jonas brothers,yana,the goo goo dolls,perry,amber riley,kevin mchale,lai michale,jonathan gross,role model,ed sheeran,caamp,sumbuck,mt. joy,sammy rae & the friends,lake street dive,couch,melt,sierra ferrell,bach,strauss,debussy,vivaldi,philip glass,tchaikovsky,mendelssohn,twoset violin,whitney houston,stevie wonder,prince,the eagles,*nsync,major lazer,lil uzi vert,the chicks,41,pop smoke,ynw melly,sammy rae,del water gap,morgan wallen,stapleton,sam barber,bob dylan,liszt,bob seger,johnny cash,paul mccartney,cat stevens,lenny kravitz,pink floyd,jack johnson,oasis,madonna,after 7,aretha franklin,stromae,mariah carey,the beach boys,rosÃ©,coldplay,the smashing pumpkins,david bowie,john legend,fall out boy,macklemore,ryan lewis,glass animals,kurt cobain,charlotte sands,brian butcher,frank iero,billy ray cyrus,neil halstead,adrianne lenker,radiohead,sammy copley,carrie underwood,kelly clarkson,lil nas x,sosa,chopin,joan baez,ringo starr,yo-yo ma,surfaces,liz mcalpine,vacations,duke ellington,albert ayler,donny hathaway,ronnie singer,weldon irvine,freddie armstrong,ozzy osbourne,nelly,kelly rowland,nas,bazzi,dominic fike,ella langley,kelsea ballerini,clairo,foster the people,zach bryan,megan moroney,a$ap rocky,kacey musgraves,brahms,casadesus,corelli,bohm,rachmaninoff,pollini,gershwin,copland,haydn,handel,faurÃ©,schubert,schumann,sting,sombr,jimi hendrix,fetty wap,maroon 5,beach house,charlie p,megan tra,tate mcrae,tove lo,olivia rod,kenshi yonezu,eve,yorushika,zutomayo,hiroyuki sawano,kevin penkin,berlinist,laufey,faye webster,finneas o'connell,aurora,khalid,scott martin,arctic monkeys,stig,partynextdoor,tyla,crab b,usher,elvis costello (elo unclear; kept as provided),cupcakke,joe hisaishi,tricot,chinese football,wolfgang amadeus mozart (assumed), tyler the creator,chapel roan,beach boys,elvis,red velvet,dj khaled,charli xcx,norah jones,azealia banks,janet jackson,the notorious b.i.g.,2pac,damon albarn,liam gallagher,p!nk,van cliburn,mick jagger,joni mitchell,gigi perez,bono,keith richards,michael stipe,liam payne
0,-0.02222946,-0.043856613,-0.019983407,-0.036314934,-0.066326186,0.020914607,0.028940074,-0.020987006,-0.0029913695,-0.044072516,-0.0204839,-0.02164993,-0.03599638,0.023830594,0.015631912,0.05129439,0.0002663255,0.037465278,-0.04745978,-0.036913026,0.026350463,-0.016601998,-0.02484348,0.021266188,0.014277954,-0.015930904,-0.059298176,0.056750834,-0.0141408965,0.045724504,-0.05015734,-0.020287884,-0.052372895,0.048235677,-0.027963737,0.0073287077,0.03798513,-0.048831604,0.011817333,-0.035755023,0.022453422,0.0166391,-0.058065545,0.009953028,0.022167193,-0.03072146,0.017531583,0.011924864,-0.0022222372,-0.038735524,-0.04819862,-0.02636468,0.007969205,-0.01626097,-0.028779145,-0.02036254,-0.005550231,0.012980054,-0.03455139,-0.024919992,-0.052887443,0.017466007,-0.036621597,0.008449147,0.009459584,0.02881791,-0.004749207,-0.043939345,0.015126997,-0.038002234,-0.0002666976,-0.06932843,0.024018351,-0.029926274,-0.026632246,0.012775897,0.021421537,-0.0018245159,-0.05602734,-0.0117872935,-0.038745675,0.007358464,0.024174066,-0.04364627,0.04700316,-0.008417137,-0.020805009,0.050488204,0.05807088,0.010121931,0.028917143,0.061077178,-0.012001107,-0.022899088,0.028985247,-0.041565657,-0.013187152,0.042078417,0.040598627,0.00489242,0.0034400802,-0.017699426,0.020243527,0.004979438,0.018973287,-0.04453744,-0.026018877,-0.044265926,-0.035866804,0.0053031645,0.047427133,-0.0024131644,-0.027403807,0.020530075,0.019133214,-0.0046774866,-0.046000183,-0.041348975,-0.00802837,0.0018821266,0.060613927,0.01382019,0.022430478,-0.028353445,-0.029951617,0.043740343,0.056287847,-0.030745925,0.08829177,-0.029229498,0.02263447,0.009953028,-0.018807305,-0.003486711,0.0015278604,-0.043193173,0.0484104,0.008311099,-0.0058163377,0.054746084,-0.050927788,-0.058826815,0.024906252,-0.0030821008,-0.01661554,-0.005911717,-0.02682868,-0.043678954,-0.019705296,0.016771555,0.03501661,0.004209689,0.026753291,-0.032705136,-0.019925822,0.0047338884,0.036268394,-0.035674416,0.039756414,0.042614672,0.028696598,-0.0069381744,0.009516334,-0.028857797,0.043744493,-0.023366647,0.0037315257,0.032043736,-0.04048447,-0.008400486,0.038751666,0.05187612,-0.03049347,-0.02704891,0.004067935,0.02332184,-0.020834923,-0.011259044,0.015565973,0.027785404,0.02352588,0.0012204207,0.016881436,-0.01734127,-0.04708525,-0.028588757,-0.046166454,-0.024902891,0.008448284,-0.0257571,-0.0057242457,0.043005433,0.024149483,0.03866082,-0.039630212,-0.023693852,-0.036160287,-0.011590804,0.016946696,-0.011297382,-0.028409295,0.031454183,0.0070240074,0.026012292,0.01569512,-0.040863156,-0.011457073,-0.057232436,-0.0023182507,-0.014370555,-0.0061125117,0.0033761445,-0.01312295,0.04796234,0.014299883,-0.016637307,-0.0018345318,-0.0553771,0.01233672,0.008989581,0.0094771655,-0.012811465,0.0029819778,-0.0065384926,-0.0169516,0.030987533,-0.02397356,-0.0029698259,0.009719602,0.02762658,-0.020804465,0.0557983,0.027705997,-0.06281123,0.031928673,-0.013834443,0.015546542,-0.010335774,0.042509742,-0.03225182,0.058969285,0.0016705132,-0.0064710225,0.055787608,0.0151533475,0.018958924,0.047021832,-0.031017242,-0.017250387,-0.05567476,0.02799436,0.020556804,-0.044881824,-0.0015986805,-0.022917071,-0.0013148711,0.0040384587,-0.007068539,-0.008187523,-0.024814269,-0.010958828,0.014998373,0.012735463,-0.0055548646,0.00553993,0.024698885,-0.0036050887,-0.061158214,0.009358267,0.011917362,-0.020113476,0.010397049,0.0036871396,0.033843353,0.01875955,-0.005914736,0.00015448393,-0.019891433,-0.021520985,-0.037279222,-0.01793303,-0.024576897,0.012542797,0.01992477,-0.040078968,0.0040694885,-0.028232608,0.06341376,-0.036949452,0.009081593,0.0077853985,0.061773144,0.00918059,-0.03071114,-0.042157467,-9.902188e-05,-0.026418518,0.01169535,-0.025325114,-0.016760807,0.00682687,-0.05920672,0.025405565,-0.015659256,0.021497024,0.025990767,-0.041299198,0.04979599,-0.004655139,0.010771453,-0.043680474,0.006365048,0.040160995,-0.0029069553,-0.020508189,-0.045775604,-0.040969055,0.0014600919,0.028282657,-0.010369884,-0.0369814,0.050061632,-0.016057108,-0.060507745,0.039703943,0.028700195,0.01259839,-0.040918443,0.013201399,-0.069935426,0.00118653,0.020642228,0.025673382,-0.01103325,-0.05815877,0.040351544,-0.014031861,-0.01604255,-0.017663946,-0.053980134,0.040256478,0.0220122,0.059861913,-0.0096143605,-0.00087634125,-0.048117127,-0.001992549,-0.03703169,0.010234201,-0.0074358103,0.054640587,0.037067227,-0.059258904,-0.0074815215,0.0013071966,-0.019217756,-0.019400425,-0.010538606,0.013462978,0.05353854,-0.03972905,-0.06274552,0.04729189,-0.0268629,0.02719192,-0.035036117,0.011029454,0.029449517,-0.008733802,-0.010132408,0.052524965,0.022887899,-0.018080443,-0.036264826,0.06263231,-0.0058915243,-0.0319242,0.02895586,-0.048093256,0.043474473,0.019061588
1,-0.038890313,0.03542992,0.01997973,-0.010951871,-0.027760683,0.018460166,0.019712009,0.018157836,0.019421356,-0.007214934,0.017463325,-0.012250764,0.00049803837,-0.042303447,0.0063156383,-0.060034327,-0.055745374,-0.016490815,0.004011007,0.017369838,0.011558403,0.0043953937,0.012241768,0.0014265586,-0.04917319,-0.042200357,0.0068635456,-0.087997325,0.014277841,0.031392578,0.029030137,0.016169032,0.0068749636,-0.040041044,-0.047330108,0.01867759,0.008950802,-0.04061675,-0.003939497,0.008898124,-0.00845067,0.033765215,-0.032386556,-0.009608796,-0.040585704,-0.017653493,-0.06482431,-0.033466533,-0.048636816,0.053348776,-0.014024215,0.014597215,0.0028883512,0.011501037,-0.0033426178,0.032268245,0.004027541,-0.04903181,-0.008969361,-0.017320886,-0.04209918,-0.016809244,-0.017046506,-0.025842981,-0.04710555,-0.06571706,-0.013594204,-0.0048791124,-0.029752105,-0.010209807,0.026745599,0.0684021,-0.03273188,0.021754675,0.036010932,-0.016037585,0.037454966,-0.029904034,-0.014497681,0.018510586,-0.0063893357,-0.047845088,-0.016297705,-0.085004106,-0.04274064,0.023607666,0.0048026918,-0.041595723,-0.07014526,-0.05420355,-0.042828433,0.012895957,-0.017363615,-0.03689869,-0.039670102,0.016936945,0.0019265224,-0.03229197,-0.06350862,-0.029415501,0.0122831045,0.02225305,-0.03424406,0.018463284,-0.053689003,-0.083624594,-0.0029208553,-0.072192684,0.017416451,0.008805954,0.009271623,0.005764594,-0.022749677,-0.0019932634,-0.045739368,-0.014335349,0.013300677,-0.012099387,-0.020114373,-0.030041888,-0.060522508,-0.027412929,-0.034839194,0.014596883,0.012670454,-0.07064421,-0.024709953,0.0028850653,-0.07444668,-0.0594257,0.026570372,-0.009608796,-0.01139607,-0.0683829,0.0018689588,-0.058906846,-0.033707865,-0.057802536,-0.02998275,-0.049541038,0.0005602262,0.01092527,0.040309522,0.04955102,0.0009941029,-0.005015068,-0.00891236,0.00066109915,-0.022906104,0.040547963,0.026723983,-0.0134438295,0.008539295,0.021429364,0.0021823714,0.013926152,-0.06631259,0.026866535,-0.0031353822,-0.029584648,-0.05959313,-0.023161119,-0.028822938,-0.002909824,-0.017100325,0.0046324288,-0.03782111,-0.003424916,-0.0020248808,0.012043077,-0.05210568,-0.04616142,-0.03029354,-0.03155768,-0.0030835306,-0.027720543,-0.025675572,0.011416269,-0.012550742,-0.03797578,-0.010225878,0.016357986,-0.029281026,0.015282318,-0.05918478,-0.021313466,-0.007169666,0.020094037,0.007904747,0.016993813,-0.039404977,0.006770002,-0.057855822,-0.079462804,-0.007995398,-0.009874046,0.038078118,0.01482682,0.014865429,0.013223119,-0.0046335864,-0.02318001,-0.012579596,0.019923707,-0.012768148,-0.0011157771,0.028940147,0.000416238,0.044503346,0.053888325,-0.059954777,0.026526451,-0.029387146,-0.07231779,-0.024857573,0.018117463,0.053617693,0.05994083,0.052731354,0.00942486,-0.022930112,0.0057028565,0.010350042,0.03901791,0.03954283,0.030184176,0.010530846,0.008689916,-0.052103452,0.030219039,0.0019862442,-0.041640982,-0.040222224,-0.014559063,-0.032481458,-0.03628649,-0.038728777,0.059403587,-0.015031999,0.022096898,0.023935204,-0.069567084,0.018273275,-0.048482753,-0.02167221,-0.010671714,-0.044958282,-0.028548969,-0.029361593,0.02916605,0.004151951,-0.016920753,-0.026466774,-0.007954809,0.0017018734,-0.08379135,-0.011555532,-0.012200629,-0.015744766,0.00350313,-0.028454509,-0.04684825,-0.048916418,-0.016684374,-0.04278966,0.010384581,-0.009891802,-0.05645474,0.038499635,0.005009469,-0.016174622,0.015964316,-0.0068871747,0.027602984,-0.02180459,-0.04815266,-0.0009302034,0.038028337,-0.050406557,-0.042226855,-0.027272807,-0.032870803,-0.032819256,-0.021764629,0.010384155,-0.041617434,0.042258415,0.008620386,-0.057653315,-0.006418599,-0.032542776,-0.028008047,-0.04257868,-0.01419328,0.016489396,-0.0034728276,-0.024858108,0.022410128,-0.06750333,-0.0017164326,-0.003919398,0.03453434,0.018834576,-0.042414546,-0.044653676,-0.022487996,-0.026085949,0.024336688,-0.049602218,0.0017467586,-0.024136767,-0.03678205,-0.0052461945,-0.02937989,-0.0023806812,-0.0314002,-0.02748744,-0.02676526,-0.044193704,0.024065139,-0.04583635,-0.026259277,0.009265267,-0.028360873,0.01641571,0.023149457,-0.05060407,0.036928263,-0.01937168,-0.03054887,-0.036454096,-0.012659846,0.008974622,-0.019248614,-0.023277294,-0.040470604,0.024423603,-0.032407004,0.021672077,-0.042230196,-0.038454182,0.027553765,0.04182834,-0.023594005,-0.041364,0.0006139337,-0.026349364,0.00033781692,-0.038785197,-0.05023531,-0.055934582,-0.014394611,0.012919608,-0.04536061,-0.01255805,0.0059940093,-0.015771393,0.032190073,0.041762326,0.013089266,0.029991657,0.0071129077,0.021833483,-0.03396559,-0.045174524,0.009847881,0.013744319,-0.00018874623,-0.027925922,0.0043494753,0.009071975,0.02892021,-0.065329395,-0.0045021465,0.021251796,0.012251947,-0.027803024,-0.050908938,0.017431872,-0.0012357542,0.0006827314
2,0.106705494,0.08132925,0.046154004,0.08135856,0.07905515,0.078454435,0.07662847,0.067763776,0.07542308,-0.013808447,0.07649817,0.077622674,0.0509596,0.08121461,0.08218693,0.053634506,0.047142245,0.07857242,0.07550139,0.07685673,0.096039936,0.08103077,0.07626614,0.08067017,0.07489952,0.07903914,0.074094266,0.046453793,0.072162315,0.07686958,0.07653405,0.07161463,0.068638936,-0.033521354,0.078513354,0.038645107,0.07119533,0.07149784,0.08768522,0.07666426,0.07873793,0.049387492,0.07610392,0.08213801,0.07620315,0.08168667,0.00860068,0.080870375,0.07632711,0.06382123,0.027873259,0.078722805,0.08028929,0.05615646,-0.003099185,0.070849515,0.0748073,0.100296475,0.0735807,0.07370295,0.078935154,0.07888834,0.076163925,0.07547524,0.08366144,0.08063572,0.07891173,0.0770586,0.04351434,0.0744262,0.04978831,0.07267627,0.07108166,-0.02129618,0.0726422,0.077811055,0.07292191,0.07582458,0.08360052,0.07540499,0.070870064,0.07293093,0.09072402,-0.013060671,0.075953245,0.071586736,0.07517715,0.08680008,0.07543366,0.08570459,0.08966162,0.056004528,0.07802379,0.08636144,0.07939058,0.05867933,-0.0014335715,0.07461611,-0.021167563,0.0020920918,0.08763451,0.07777507,0.07965513,0.089089565,0.07660839,-0.0031874045,0.07704629,0.094165266,0.0514107,0.050591134,-0.047797102,0.034732733,0.02808808,0.08717601,0.07363915,-0.012814977,0.03059401,0.08380547,0.07715426,0.0123807555,0.030612698,0.07229684,0.0040501026,0.08855534,0.04139427,0.03003338,0.06333534,0.020598678,0.025939615,0.06915887,0.07830017,0.08213801,0.06548578,0.061007667,0.09101205,0.095553525,0.08531109,0.083321035,0.0782604,0.07213663,0.081771925,0.07573007,0.07372983,0.07686462,0.08135705,0.081079334,0.044398893,0.07305394,0.08282061,-0.0005093484,0.019283677,0.08645705,0.07882291,0.07797798,0.0629892,0.077300794,0.088634595,0.075728595,0.04359828,0.06894192,0.08279052,0.0018894561,0.07418408,0.07868383,0.08046043,0.0830945,0.080287375,0.073895775,0.08024023,0.06953698,0.08292878,0.08616921,0.075916186,0.07436205,0.08221484,0.082623616,0.08300325,0.06724665,0.07386713,0.073913634,0.07660451,0.077294074,0.038127057,-0.004164299,0.054469608,0.07707649,-0.04857496,0.077575915,0.07595638,0.024073951,-0.016619774,0.07363325,0.09714774,0.0018428157,-0.018525507,-0.031040447,0.08309638,0.08145522,0.0054214294,-0.04865356,0.033175815,0.10202472,0.083616965,0.04244534,0.08482636,0.04637213,0.010618031,0.07367781,0.09445546,0.0058668507,-0.027783241,0.074632496,0.024068566,0.0805347,-0.011003706,0.08072627,0.04971917,-0.05643106,0.045167256,-0.043670878,0.085087076,0.0644812,0.08667478,0.084346004,0.052919436,0.09292961,0.102182835,0.08344055,0.07549027,0.078640975,0.06989627,0.07448942,0.083642274,0.08632229,0.07636007,0.050983723,0.057046555,0.068139695,0.041629784,0.082526065,0.027738757,-0.030082058,0.108475104,0.064046845,0.07804179,0.09001464,0.081112474,0.0754614,0.0787767,0.07947921,0.08245765,0.07878263,0.076306626,0.078640096,0.07649061,0.028523825,0.07832367,0.09303996,0.078530215,0.085221276,0.10399183,0.076060556,0.08171401,0.07863668,0.042049907,0.08355937,0.07654026,0.066543065,0.08284302,0.075034544,0.06757458,0.07433215,0.07940965,0.078681186,0.084830105,0.038857892,0.07310084,0.061408833,0.07816241,0.074470654,0.0867796,0.081624284,0.07729846,0.08239306,0.0764009,0.051796854,-0.00042670663,-0.033945553,0.055111773,0.07606206,0.026541093,0.04119235,0.08116189,0.06676737,0.07408286,0.080433086,0.08034695,0.07666108,0.084204204,0.052183647,-0.0020986362,0.06457911,0.06788624,0.096449524,0.06341476,0.07456857,-0.006187509,0.08085867,0.10274446,0.09730558,0.04735604,0.083813444,0.011044962,0.098551184,0.089852445,0.1099363,0.111416206,0.09241334,0.08773944,0.040425565,0.09292995,0.0909796,0.08224048,0.025230449,0.079969145,0.084448814,0.077498905,0.08243505,0.076746196,0.02110576,0.0565201,0.10205632,0.05470352,-0.026546417,0.07795794,0.037804045,0.057890415,0.104843475,0.049948897,0.034613084,0.039809935,-0.0039800075,0.025787279,0.058570784,0.05554992,0.065387726,0.078171864,-0.019141218,0.11306618,0.04638567,0.009987911,0.08169183,0.0884846,0.10690057,0.08078428,0.03130889,-0.0662114,0.07579549,0.08303962,0.039328594,0.08307221,0.07679909,0.03738636,0.07419912,0.098277,0.08010303,0.085584104,0.079955645,0.08589662,0.07882889,0.07874547,0.073249854,0.11257939,0.05708414,0.07338618,0.08148944,0.0668406,0.07816132,0.07692313,0.08168138,0.062398355
3,-0.060864937,0.0063725016,0.04030782,0.012874801,-0.0073005604,-0.021942718,0.011058338,0.010931321,-0.0055404697,-0.033311103,-0.016871868,-0.04653522,-0.038763236,-0.027470825,0.027827341,0.094807886,-0.002593059,-0.054814886,-0.018474702,-0.05457746,-0.022472128,-0.03854208,-0.022773512,-0.044064417,-0.050158065,-0.02031097,-0.057694294,0.02519811,-0.024843367,0.028842533,0.01736913,0.021863574,0.051858258,-0.011680351,-0.029695213,-0.052548647,0.031530444,0.045703486,-0.043832082,-0.00011182961,0.022132589,0.042727824,-0.012363361,-0.046789765,-0.02870616,-0.029994113,-0.01562595,-0.0347486,0.037827138,-0.042515546,-0.011972363,-0.064639784,0.0030382453,0.038382746,0.048735015,-0.048842747,-0.013341294,-0.043982007,-0.0010179153,-0.047911216,0.0119432155,-0.013863831,0.011974735,0.02868128,-0.036770016,-0.052362043,-0.03664696,-0.0052122544,-0.00276433,-0.018990466,-0.053632326,0.026363414,-0.013933049,0.0676531,0.06344536,-0.0046160407,0.061195537,-0.049538307,-0.010778554,-0.023628721,0.056621246,0.0392596,-0.010412739,-0.047585346,-0.038101185,-0.051999643,0.0040770783,-0.037237003,-0.008292902,-0.010014965,0.0064095114,0.038785286,-0.035415195,-0.018831234,0.02982028,0.049784753,0.019239727,-0.03918951,-0.0081264805,-0.032913543,-0.015521962,-0.034832407,0.03345543,0.028520672,-0.045526635,-0.016172342,0.004402927,0.050485484,-0.040365685,0.0320454,0.03417842,-0.010089609,0.03898782,-0.053762786,0.023433078,0.061966922,0.021019783,-0.009051254,-0.028116725,0.029390618,0.08308442,0.037302397,0.017161427,0.028442057,0.05376853,0.048310626,0.048923876,0.03848022,0.00897613,-0.023049148,-0.056754537,-0.046789765,-0.057712175,-0.03860679,-0.03836605,-0.041287888,0.039831102,-0.040668387,-0.05390333,-0.03475607,-0.036974482,-0.050394688,0.03414594,-0.0138849765,-0.025957415,-0.0014796655,-0.020111803,-0.010336704,-0.043810003,-0.031570707,-0.060672726,-0.038914345,-0.01713808,-0.02049776,-0.0057707853,-0.010036423,0.021486506,-0.010118743,-0.042990614,-0.028833712,-0.032408804,0.06490367,-0.011240178,0.029800856,-0.02791926,-0.047605805,-0.032442447,0.031815376,0.02154078,-0.03278869,0.019653087,-0.043265563,-0.012485519,0.0040601734,-0.048164405,-0.058091547,-0.013663043,0.0068362504,0.007861089,-0.0048029656,-0.04137867,0.0040829033,0.050661426,-0.0024627864,0.06353264,-0.058272917,0.072416596,-0.034383368,-0.014180285,0.023057012,0.04566226,-0.04471063,0.002665414,0.0032163935,-0.02516722,0.06654894,0.00032380823,-0.030264702,0.017258162,0.050528675,0.058616973,-0.057446525,-0.05893692,0.086644284,-0.018765217,0.01844942,0.060160317,0.0021507125,0.014116615,-0.0024914725,0.024472313,-0.011375679,0.028549844,-0.011205309,-0.006607728,-0.054927554,-0.04931824,0.03703434,0.0030990862,-0.04112484,-0.045490075,-0.01976673,-0.027134037,-0.034922354,-0.010006674,-0.015029825,-0.028512292,0.038575217,0.024356049,-0.046553303,0.019953262,-0.03638404,0.017807445,-0.0047351317,0.018964436,-0.024427067,0.034569338,0.04232133,0.055658624,-0.0034073887,-0.017252618,-0.02354925,0.02689099,0.012907208,-0.03945508,-0.005529231,-0.059550904,-0.045334917,-0.0010618684,0.037237097,-0.039778966,0.0024012383,-0.06663663,0.013862772,-0.01698267,-0.03633074,-0.0053384933,-0.03975763,-0.029124187,-0.028326327,0.049761254,-0.019613031,-0.06645678,-0.01927976,-0.026570879,-0.058705386,0.016328702,-0.014416677,-0.021563193,-0.03944415,-0.04400398,0.009004237,-0.0027044322,-0.056341052,-0.006178822,-0.02149183,-0.061284702,0.029105896,-0.026008176,-0.0014746475,-0.040399533,0.050063454,-0.059944313,-0.052692387,-0.0153152505,-0.010066115,-0.001624449,-0.021159746,-0.037877474,-0.022275131,-0.03946532,-0.020461023,0.030937627,0.0068256496,-0.03635363,-0.0022373768,-0.004254311,-0.023236759,-0.020476367,0.0077800355,0.058309138,0.03361295,0.023365939,-0.017157383,-0.07441529,-0.029899422,0.008873202,-0.018529719,-0.016836118,-0.00951875,0.053346254,0.023161726,-0.0076309196,-0.015567205,0.024847629,-0.02579622,-0.022860987,0.031249078,0.023868635,0.04126334,-0.026544133,-0.009651189,-0.034929708,0.068913914,-0.058933407,-0.015861196,-0.0593785,-0.054363947,-0.03432144,0.025028538,-0.03369652,-0.061994024,0.009982904,0.020546148,-0.018881695,0.0009226316,0.015927859,-0.025610188,0.021572638,0.029484617,0.03604738,-0.04184132,0.004213552,0.032960456,0.02637152,-0.017258052,-0.046862263,-0.00794145,-0.002179537,0.10183506,-0.026030453,-0.032430828,-0.06859182,0.010214938,-0.044526827,0.03379243,0.021595713,-0.024917176,-0.0104961395,-0.007065373,-0.0070609385,-0.018115023,0.0062016034,0.034506142,-0.00452668,-0.0442003,-0.01486504,-0.031826798,-0.043272108,-0.014052511,-0.023073988,0.009956161,-0.007331107,0.016676066,0.015686288,-0.06550687,-0.02076495,0.03706633,0.0020121203,0.011802641,0.050105084
