SID,response,entry,entry_number,response_times
5K82MZW1,oscar wilde,oscar wilde,13,3423
5K82MZW1,shakespear,shakespeare,14,2900
64LRAXDJ,Stephen King,stephen king,1,3475.1
64LRAXDJ,Michael Criton,michael crichton,2,3316.7
64LRAXDJ,Robin Kimmerer,robin wall kimmerer,3,7374.6
64LRAXDJ,James Patterson,james patterson,4,11263.4
64LRAXDJ,Stephanie Myers,stephenie meyer,5,8420
64LRAXDJ,Max Weber,max weber,6,22324
6CDVQX7L,John Green,john green,1,3502
6CDVQX7L,Dennis Cooper,dennis cooper,2,2519
6CDVQX7L,Erin Hunter,erin hunter,3,4012
6CDVQX7L,Kurt Vonnegut,kurt vonnegut,4,5745
6CDVQX7L,David Sedaris,david sedaris,5,2637
6CDVQX7L,Amy Sedaris,amy sedaris,6,5257
6CDVQX7L,David Levithan,david levithan,7,9817
6CDVQX7L,J.K Rowling,j.k. rowling,8,10093
6CDVQX7L,Dr. Seuss,dr. seuss,9,15567
6D26ZXC8,Rick Riordian,rick riordan,1,6211
6D26ZXC8,Shakespear,shakespeare,2,5646
6D26ZXC8,TJ Klune,tj klune,3,13386
6D26ZXC8,Neal Shusterman,neal shusterman,4,15748
6D26ZXC8,Alice Oseman,alice oseman,5,10081
6PJDUW9O,jk rowling,j.k. rowling,1,3123
6PJDUW9O,Stephanie meyer,stephenie meyer,2,3500
6PJDUW9O,dan brown,dan brown,3,1819
6PJDUW9O,rudyard kipling,rudyard kipling,4,3941
6PJDUW9O,dr suess,dr. seuss,5,2083
6PJDUW9O,Madeleine lenge,madeleine l'engle,6,12286
6PJDUW9O,thoreau,thoreau,7,4903
6PJDUW9O,Louisa may alcott,louisa may alcott,8,9935
6PJDUW9O,suzanne collins,suzanne collins,9,6426
6PJDUW9O,Michael crichton,michael crichton,10,7283
6VBV95IL,Anne frank,anne frank,1,8268
6VBV95IL,JK rowling,j.k. rowling,2,3953.1
6VBV95IL,rohl dahl,roald dahl,3,23481
6XD6NVVO,Edgar Allan Poe,edgar allan poe,1,8107
6XD6NVVO,Mary Shirley,mary shelley,2,10986
6XD6NVVO,Sharlote Bronte,charlotte brontë,3,9380
6XD6NVVO,Emily Bronte,emily brontë,4,4317
6XD6NVVO,Scott Fidgzerald,f. scott fitzgerald,5,9399
6XD6NVVO,LEo Tolstoy,leo tolstoy,6,5966
73N2RQWR,lisa kleypas,lisa kleypas,1,2699.4
73N2RQWR,martha waters,martha waters,2,4049.5
73N2RQWR,elena armas,elena armas,3,9407.6
73N2RQWR,patty blount,patty blount,4,3514.5
73N2RQWR,abby jiminez,abby jimenez,5,4975.4
73N2RQWR,sarah j maas,sarah j. maas,6,4235.6
73N2RQWR,marissa meyer,marissa meyer,7,4169.2
73N2RQWR,uzma jalaluddin,uzma jalaluddin,8,6046.9
73N2RQWR,sk ali,s. k. ali,9,2230.2
73N2RQWR,shannon chakraborty,shannon chakraborty,10,5170.5
73N2RQWR,hala alyan,hala alyan,11,7004.8
73N2RQWR,rainbowo rowell,rainbow rowell,12,6386.6
7SUXPU9Y,Edgar allan poe,edgar allan poe,1,4230
7SUXPU9Y,jk rowling,j.k. rowling,2,10404
7SUXPU9Y,rick riordan,rick riordan,3,8782
7SUXPU9Y,shakespeare,william shakespeare,4,7608
7SUXPU9Y,dr seuss,dr. seuss,5,9350
86EKSDZC,Martin,martin,1,2087.3
86EKSDZC,Shelley,mary shelley,2,3299.9
86EKSDZC,Longfellow,henry wadsworth longfellow,3,2297.6
86EKSDZC,Wordsworth,william wordsworth,4,2729.6
86EKSDZC,Rowling,j.k. rowling,5,1791.8
86EKSDZC,Hemingway,ernest hemingway,6,2429.9
86EKSDZC,Bronte,brontë sisters,7,4898.8
86EKSDZC,Tolstoy,leo tolstoy,8,4329.4
86EKSDZC,Kafka,franz kafka,9,2250.1
86EKSDZC,Mull,mull,10,5754.6
86EKSDZC,Sanderson,brandon sanderson,11,2078.9
86EKSDZC,Morgan,morgan,12,4163.9
86EKSDZC,Riordan,rick riordan,13,2999.2
86EKSDZC,Colfer,eoin colfer,14,5910.7
86EKSDZC,Milne,a. a. milne,15,3988.5
86EKSDZC,Miller,miller,16,2412.3
8BL6X7AX,tony morrison,toni morrison,1,19474
8BL6X7AX,sutherfordm,s. e. hinton,2,10504
8JEQ20SU,William Shakespeare,william shakespeare,1,27175.3
8JEQ20SU,Jane Austen,jane austen,2,4833.1
8JEQ20SU,Charles Dickens,charles dickens,3,4903.9
8JEQ20SU,Mark Twain,mark twain,4,5972.1
8JEQ20SU,Scott Fitzgerald,f. scott fitzgerald,5,4269.5
8JEQ20SU,Franz Kafka,franz kafka,6,7992.7
8PAKX1OM,Peter michaelson,peter michaelson,1,6369
8PAKX1OM,Agatha christie,agatha christie,2,3435
8PAKX1OM,Kristy dallas alley,kristy dallas alley,3,7955
8PAKX1OM,Richard alley,richard alley,4,2412
8PAKX1OM,poe,edgar allan poe,5,3520
8PAKX1OM,Steven king,stephen king,6,4926
8PAKX1OM,bronte,brontë,7,6281
8PAKX1OM,suzanne collins,suzanne collins,8,16333
8PAKX1OM,ray bradbery,ray bradbury,9,4135
8ZC5BFHF,roald dahl,roald dahl,1,2162.3
8ZC5BFHF,jk rowling,j.k. rowling,2,2047.5
8ZC5BFHF,shell silverstein,shel silverstein,3,3500.6
8ZC5BFHF,abu lughod,abu-lughod,4,1987.8
8ZC5BFHF,colleen hoover,colleen hoover,5,8094.5
8ZC5BFHF,emily henry,emily henry,6,3892.6
8ZC5BFHF,michelle obama,michelle obama,7,3824.5
8ZC5BFHF,bell hooke,bell hooks,8,12311
8ZC5BFHF,lorber,judith lorber,9,10755.8
97N7CQ49,Kazuo Ishigiro,kazuo ishiguro,1,4405.9
97N7CQ49,Dr. Seuss,dr. seuss,2,5550
97N7CQ49,Rick Riordan,rick riordan,3,11399.6
97N7CQ49,Leigh Bardugo,leigh bardugo,4,10923.1
97N7CQ49,JK Rowling,j.k. rowling,5,3982
97N7CQ49,C.E Lewis,c. s. lewis,6,8422.7
9KZ4Q91O,savannah brown,savannah brown,1,2318.3
9KZ4Q91O,kate elizabeth russell,kate elizabeth russell,2,4426.5
9KZ4Q91O,jung,jung,3,666.7
9KZ4Q91O,campbell,campbell,4,1700.2
9KZ4Q91O,freud,freud,5,3353.9
9KZ4Q91O,bell hooks,bell hooks,6,1733.8
9KZ4Q91O,nabokov,nabokov,7,14101.4
9KZ4Q91O,murakami,murakami,8,5486.4
9KZ4Q91O,sakaya murata,sayaka murata,9,7448.1
9KZ4Q91O,oscar wilde,oscar wilde,10,6971.7
9KZ4Q91O,anne frank,anne frank,11,9833.3
9O2ABUMY,Zora Neale Hurston,zora neale hurston,1,6068
9O2ABUMY,Bell Hooks,bell hooks,2,5958
9O2ABUMY,Toni Morrison,toni morrison,3,3679
9O2ABUMY,Octavia Butler,octavia butler,4,6116
9O2ABUMY,Dr. Suess,dr. seuss,5,9286
9O2ABUMY,Stephen King,stephen king,6,13654
A5YUTA1F,JJ Rowling,j.k. rowling,1,13430
AJVNZ9CE,albert camus,albert camus,1,3806
AJVNZ9CE,jk rowling,j.k. rowling,2,20163
AJVNZ9CE,george orwell,george orwell,3,18815.1
AWO2EA8Q,jk rowling,j.k. rowling,1,3090
AWO2EA8Q,jazz jennings,jazz jennings,2,8800
AWO2EA8Q,ruth olujobi,ruth olujobi,3,4180
B3MZX5TF,jk rowling,j.k. rowling,1,2740.2
B3MZX5TF,tolkein,j.r.r. tolkien,2,14910.7
B3MZX5TF,shakespeare,shakespeare,3,4574.6
B3MZX5TF,dickens,dickens,4,1490.7
B3MZX5TF,stephen king,stephen king,5,2333.4
B3MZX5TF,james patterson,james patterson,6,8721.2
B3MZX5TF,timothy gallwey,timothy gallwey,7,19570.8
BF3MN8ZR,Dr Seuss,dr. seuss,1,6435.2
BF3MN8ZR,JK Rowling,j.k. rowling,2,7889.2
BF3MN8ZR,Rick Riodian,rick riordan,3,6273.9
BF3MN8ZR,James Patterson,james patterson,4,3067.9
BF3MN8ZR,Stephen King,stephen king,5,3223.4
BF3MN8ZR,Toni Morrison,toni morrison,6,14877
BWQ1ZSYD,Anne Bonte,anne bonte,1,9410.5
BWQ1ZSYD,Charlotte Bonte,charlotte bonte,2,5316.5
BWQ1ZSYD,Jane Austin,jane austen,3,2516
BWQ1ZSYD,William Shakespeare,william shakespeare,4,15119.9
BWQ1ZSYD,Kiera Cass,kiera cass,5,5366.1
BWQ1ZSYD,Suzanne Collins,suzanne collins,6,14101.8
BWQ1ZSYD,Emilly Bonte,emily bonte,7,5096.3
CI6QQA2Y,rick roridan,rick riordan,1,6533
CI6QQA2Y,michelle obama,michelle obama,2,4106
CI6QQA2Y,obama,barack obama,3,5645
CI6QQA2Y,jk rowling,j.k. rowling,4,7786
CI6QQA2Y,Lemony Snicket,lemony snicket,5,12816
CI6QQA2Y,shell Silverstein,shel silverstein,6,21811
DUBYYHYX,Khalid Rashidi,khalid rashidi,1,7294.7
DUBYYHYX,JK Rowling,j.k. rowling,2,2986.9
DUBYYHYX,Noam Chomsky,noam chomsky,3,7746.7
DUBYYHYX,Rushworth Kidder,rushworth kidder,4,36453.4
EA8GWQDV,jk rowling,j.k. rowling,1,5462.7
EA8GWQDV,jane austen,jane austen,2,5690.7
EA8GWQDV,william shakespeare,william shakespeare,3,2542.2
EA8GWQDV,mary shelley,mary shelley,4,5817.1
EA8GWQDV,daniel nayeri,daniel nayeri,5,9962.1
EA8GWQDV,rebecca stead,rebecca stead,6,26911.8
ESNMRF10,lord byron,lord byron,1,8695
ESNMRF10,mary shelley,mary shelley,2,2649
ESNMRF10,arthur conan doyle,arthur conan doyle,3,7872
ESNMRF10,james baldwin,james baldwin,4,4296
ESNMRF10,timothy zahn,timothy zahn,5,11665
ESNMRF10,dostoyevsky,dostoyevsky,6,11783
FDULT82W,Ralph Ellison,ralph ellison,1,5062.1
FDULT82W,Thomas Aquainus,thomas aquinas,2,5251.6
FDULT82W,Oscar Wilde,oscar wilde,3,6509.5
FDULT82W,James Baldwin,james baldwin,4,3033.9
FDULT82W,Charlotte Bronte,charlotte brontë,5,13037.1
FJYUEQN8,Shakespeare,william shakespeare,1,3984
FJYUEQN8,agatha christie,agatha christie,2,4100
FJYUEQN8,colleen hoover,colleen hoover,3,2591
FJYUEQN8,charles dickins,charles dickens,4,3355
FJYUEQN8,jane austen,jane austen,5,20444
FJYUEQN8,emily bronte,emily brontë,6,5237
FJYUEQN8,samuel johnson,samuel johnson,7,15740
FYE2JV3H,Jk Rowling,j.k. rowling,1,6904
FYE2JV3H,Neal Shustermann,neal shusterman,2,3810
FYE2JV3H,Mala,mala,3,7725
FYE2JV3H,Obama,barack obama,4,3193
FYE2JV3H,William Shakespeare,william shakespeare,5,31689
FYE2JV3H,Colleen hoover,colleen hoover,6,5986
G8B6AJJV,jk rowling,j.k. rowling,1,2761
G8B6AJJV,Emily dickinson,emily dickinson,2,3872
G8B6AJJV,Charles dickens,charles dickens,3,4330
G8B6AJJV,bronte,bronte,4,2452
G8B6AJJV,Edgar allen poe,edgar allan poe,5,15127
G8B6AJJV,bret Easton ellis,bret easton ellis,6,6229
GNLFFB4P,sarah maas,sarah j. maas,1,2669.3
GNLFFB4P,emily henry,emily henry,2,2382.9
GNLFFB4P,kevin wilson,kevin wilson,3,3566.2
GNLFFB4P,agatha christie,agatha christie,4,4789.4
GNLFFB4P,nora roberts,nora roberts,5,4561.3
GNLFFB4P,upton sinclair,upton sinclair,6,8383
GNLFFB4P,oscar wilde,oscar wilde,7,4817.1
GNLFFB4P,suzanne collins,suzanne collins,8,16887.8
H6D2C4VR,Mark Twain,mark twain,1,2139
H6D2C4VR,Sarah Lawrence,sarah lawrence,2,2368
H6D2C4VR,Jane Austen,jane austen,3,1687
