subject,word,entry_number,x,y,domain,pair,word1,x1,y1,word2,x2,y2,euclidean_distance
00K73X1D,fox,1,0.6048721526067752,0.5243648228150206,animals,"fox, owlk",fox,0.6048721526067752,0.5243648228150206,owlk,0.7549175281117341,0.8491888462584212,0.35780478045490527
00K73X1D,owlk,2,0.7549175281117341,0.8491888462584212,animals,"owlk, elk",owlk,0.7549175281117341,0.8491888462584212,elk,0.6977111489197778,0.3561523821032597,0.49634415963812617
00K73X1D,elk,3,0.6977111489197778,0.3561523821032597,animals,"elk, pelican",elk,0.6977111489197778,0.3561523821032597,pelican,0.8225237359965833,0.9709978550496964,0.6273859557684828
00K73X1D,pelican,4,0.8225237359965833,0.9709978550496964,animals,"pelican, dog",pelican,0.8225237359965833,0.9709978550496964,dog,0.5672997522708505,0.43929186429413014,0.589788557429009
00K73X1D,dog,5,0.5672997522708505,0.43929186429413014,animals,"dog, cat",dog,0.5672997522708505,0.43929186429413014,cat,0.333849405446381,0.8511223225884414,0.4733955965272254
00K73X1D,cat,6,0.333849405446381,0.8511223225884414,animals,"cat, fish",cat,0.333849405446381,0.8511223225884414,fish,0.03300096037951104,0.08353221957040569,0.8244418434009716
00K73X1D,fish,7,0.03300096037951104,0.08353221957040569,animals,"fish, human",fish,0.03300096037951104,0.08353221957040569,human,0.9915113926046621,0.04872964563004134,0.9591420477892315
00K73X1D,human,8,0.9915113926046621,0.04872964563004134,animals,"human, turtle",human,0.9915113926046621,0.04872964563004134,turtle,0.3325259785920775,0.20147427570164045,0.6764559837099877
00K73X1D,turtle,9,0.3325259785920775,0.20147427570164045,animals,"turtle, tortoise",turtle,0.3325259785920775,0.20147427570164045,tortoise,0.3249009408150214,0.2826802815624906,0.0815632060979334
00K73X1D,tortoise,10,0.3249009408150214,0.2826802815624906,animals,"tortoise, squirrel",tortoise,0.3249009408150214,0.2826802815624906,squirrel,0.8284189019969683,0.6403734026162351,0.6176363866240341
00K73X1D,squirrel,11,0.8284189019969683,0.6403734026162351,animals,"squirrel, chimpanzee",squirrel,0.8284189019969683,0.6403734026162351,chimpanzee,0.9968995494552259,0.11640131718074986,0.5503930185636126
00K73X1D,chimpanzee,12,0.9968995494552259,0.11640131718074986,animals,"chimpanzee, koala",chimpanzee,0.9968995494552259,0.11640131718074986,koala,0.589646826119772,0.1666717017612761,0.4103436270127973
00K73X1D,koala,13,0.589646826119772,0.1666717017612761,animals,"koala, kangaroo",koala,0.589646826119772,0.1666717017612761,kangaroo,0.5852178195418669,0.23821032597202496,0.07167559454398596
00K73X1D,kangaroo,14,0.5852178195418669,0.23821032597202496,animals,"kangaroo, kiwi bird",kangaroo,0.5852178195418669,0.23821032597202496,kiwi bird,0.7387971776168601,0.9497296154194738,0.727905432376026
00K73X1D,kiwi bird,15,0.7387971776168601,0.9497296154194738,animals,"kiwi bird, panda",kiwi bird,0.7387971776168601,0.9497296154194738,panda,0.9595478570307185,0.19180689405153928,0.7894160588862225
00K73X1D,panda,16,0.9595478570307185,0.19180689405153928,animals,"panda, bear",panda,0.9595478570307185,0.19180689405153928,bear,0.8202948323343593,0.3116824265127942,0.1837431581582134
00K73X1D,bear,17,0.8202948323343593,0.3116824265127942,animals,"bear, raven",bear,0.8202948323343593,0.3116824265127942,raven,0.8342729767250875,0.8781909912087248,0.5666809882062848
00K73X1D,raven,18,0.8342729767250875,0.8781909912087248,animals,"raven, dove",raven,0.8342729767250875,0.8781909912087248,dove,0.8041536863966771,0.8105193196580164,0.07407176776852323
00K73X1D,dove,19,0.8041536863966771,0.8105193196580164,animals,NA,dove,0.8041536863966771,0.8105193196580164,NA,NA,NA,NA
00K73X1D,james baldwin,1,0.3494683253274213,0.5398326334551826,authors,"james baldwin, patrick radden keefe",james baldwin,0.3494683253274213,0.5398326334551826,patrick radden keefe,0.8429179676412148,0.5050300595148183,0.49467541747340277
