a.j. brown,3.24
aaron jones,4.11
aaron judge,4.16
aaron nola,2.97
aaron rodgers,3.67
adonai mitchell,2.25
alcaraz,1.88
alex albon,1.92
alex morgan,4.21
alex ovechkin,2.66
alex walsh,3.78
ali krieger,2.75
alisa liu,2.65
aly raisman,1.92
alysa liu,1.5
alyssa thompson,3.14
amber glenn,3.67
amen thompson,3.77
andre agassi,2.47
andy murray,4.04
angel reese,3.44
anthony davis,4.15
anthony edwards,3.89
antoine griezmann,2.55
azzi fudd,1.35
babe ruth,3.78
baker mayfield,3.05
baseball player,4.45
ben roethlisberger,2.7
bijan robinson,2.06
bilen,0.0001
bill haas,3.2
billie jean king,3.4
bob knight,4.12
brenden schooler,2.1
bronny james,1.36
bryce harper,3.41
bryson dechambeau,1.42
bukayo saka,0.0001
caitlin clark,3.27
caleb malone,3.24
cam ward,3.91
carlos alcaraz,1.88
carlos sainz jr.,2.36
cha jun-hwan,2.69
charles leclerc,2.62
chloe kim,3.69
chloe zhao,3.11
christen press,2.63
claire curzan,0.0001
coco gauff,0.0001
colin kaepernick,2.94
connor robertson,3.52
cooper flagg,2.55
cristiano ronaldo,3.2
crystal dunn,3.6
darius garland,3.13
david ortiz,3.3
derek jeter,2.96
deshaun watson,2.32
devin booker,3.09
dick butkus,2.06
diego maradona,2.75
djokovic,3.22
doug baldwin,3.59
drake maye,2.27
drew brees,2.97
"dwayne ""the rock"" johnson",3.32
dwight howard,3.67
dwyane wade,2.67
"ed reed (unclear ""ward""; best-match assumption)",3.45
edgerrin james,1.32
eileen gu,3.07
elena delle donne,2.44
elena rybakina,0.0001
eli manning,3.49
esteban ocon,1.87
evander kane,2.48
fernando alonso,3.3
fitzgerald,3.64
football player,4.85
fred couples,3.97
gabby douglas,3.12
gabby thomas,3.15
george russell,4.25
giannis antetokounmpo,2.01
giselle thompson,2.8
grant fisher,3.93
gretchen walsh,3.0
grok,1.88
guillermo ochoa,2.62
gus schumacher,3.07
gymnasts,2.74
henderson,3.93
hugo lloris,2.41
ian crocker,3.01
ilia malinin,0.0001
ilian m.,1.54
isabelle levito,0.0001
jack hughes,4.01
jackie robinson,3.77
jackson,4.58
jak hughes,2.68
jalen hurts,2.71
jalen johnson,2.72
jamal murray,3.44
james harden,3.51
james rodriguez,3.69
jannik sinner,1.81
jaxon smith-njigba,0.0001
jayden quaintance,1.37
jayson tatum,2.61
jennie finch,3.05
jeremy clarkson,3.4
jeremy lin,3.64
jessica diggins,1.97
jimmy butler,3.92
jj watt,3.36
joe burrow,3.09
joe mauer,2.35
joel embiid,2.62
johannes høsflot klæbo,0.0001
john madden,3.52
jordan chiles,2.77
jordan poole,3.31
jordan spieth,2.89
josh allen,4.06
js,3.54
judge,4.95
julia kearns,2.7
julie ertz,2.06
justin turner,3.95
kaitlyn clark,2.84
kareem abdul-jabbar,2.52
kate douglas,3.97
katie ledecky,2.08
kd,3.48
kelley o'hara,3.07
ken griffey jr.,2.46
kevin durant,3.45
kevin love,4.54
kimi antonelli,2.04
kobe bryant,3.43
kylian mbappé,1.5
kyrie,3.31
kyrie irving,3.16
lamar jackson,3.52
lamelo ball,1.55
lance stroll,3.39
lando norris,2.69
larry bird,4.12
lavar ball (zo ball unclear),2.11
leah williamson,3.23
lebron,3.91
lebron james,3.88
leo messi,3.64
leon marchand,2.78
lewis hamilton,4.09
lia thomas,2.93
lil'jordan humphrey,0.0001
lin lie,3.76
lindsey vonn,2.16
lionel messi,3.45
"lionel messi, cristiano ronaldo, neymar, kylian mbappé, erling haaland, luka modrić, zinedine zidane, david beckham, ronaldinho, pelé, diego maradona",0.96
liu (skating athlete),3.39
lochne,0.0001
luka doncic,2.04
mario andretti,2.44
marshawn lynch,2.59
marvin harrison,3.52
mary lou retton,1.57
max verstappen,2.6
mckayla skinner,1.78
mia hamm,2.86
michael jordan,4.41
michael phelps,3.54
michael porter jr.,3.85
michael schumacher,3.2
mikaela shiffrin,1.71
mike trout,3.74
mitch marner,2.19
mpj (michael porter jr.),1.48
n'golo kanté,1.31
nadia comaneci,1.51
naomi girma,1.21
naomi osaka,3.3
nathan chen,3.74
neymar,3.47
nick chubb,2.76
nico hulkenberg,2.0
nikita mazepin,0.0001
novak djokovic,2.98
oguri cap,1.37
olga korbut,1.26
olivia dunne,2.97
ollie bearman,1.69
paige bueckers,0.0001
paul pogba,3.09
pelé,2.48
peyton manning,3.4
phil mickelson,2.6
pierre gasly,1.74
pérez,2.82
quinn ewers,1.97
rafael nadal,3.18
ranger suárez,2.94
reggie wayne,3.49
richard sherman,3.8
richarlison,1.59
rob gronkowski,2.49
roger federer,3.19
rory mcilroy,2.7
russell wilson,4.12
saquon barkley,1.78
scott kingery,1.89
serena williams,3.6
shai gilgeous-alexander,0.0001
shannon boxx,1.58
shaquille o'neal,2.47
shaquille o'neal (shaq),2.39
shawn johnson,3.76
shohei ohtani,1.66
simone biles,2.3
soccer players,4.42
soto,3.02
stefon diggs,1.92
steph curry,3.33
stephen curry,3.85
sue bird,4.08
super creek,4.29
swimmer,3.49
tamamo cross,1.58
tara lipinski,2.15
tennis player,4.29
terry bradshaw,3.17
tiger woods,4.07
tim salmon,3.89
tobin heath,2.95
tom brady,3.91
tony hawk,3.75
trae young,2.43
travis kelce,2.02
troy aikman,2.44
usain bolt,2.92
valtteri bottas,2.06
venus williams,3.75
victor wembanyama,0.0001
victoria azarenka,2.32
vince young,3.89
wayne gretzky,2.79
yousef ramadan,2.55
yuki tsunoda,1.42
yuzuru hanyu,1.87
zach ertz,2.06
