,psychology,political science,history,math,chemistry,biology,physics,anthropology,french,spanish,computer science,english,art history,neuroscience,religion,economics,environmental studies,fashion design,literature,journalism,religious studies,gender studies,environmental science,geology,communications,sociology,asian studies,biochemistry,romance languages,film,government,engineering,art,music,philosophy,film production,dance,theater,astronomy,architecture,visual studies,italian,german,arabic,data science,agriculture,accounting,finance,business,criminal justice,geography,mathematics,premed,gender and sexuality studies,education,russian,earth science,visual arts,oceanography,cinema studies,hispanic,francophone,industrial design,graphic design,electrical engineering,mechanical engineering,music technology,chinese,screen writing,government and legal studies,hispanic studies,francophone studies,international relations,gender and women's studies,africana studies,japanese,classics,creative writing,human rights,latin american studies,cooking,sports management,gsws,linguistics,musical studies,medieval studies,latinx studies,legal studies,public health,language,nursing,eos,dcs,econ,gov,biochem,chem,bio,comp sci,urban studies,arctic studies,performing arts,earth and ocean studies,earth and oceanographic studies,marketing,media studies,bioinformatics,evolutionary and ecological biology,archaeology,biophysics,civil engineering,electrical and computer engineering,bioengineering,statistics,law,european history,kinesiology,theater and dance,hotel management,communication,latin,greek,pre-law,forestry,ecology,zoology,italian studies,theatre,meena,reees,digital computational studies,theology,american studies,east asian studies,middle east & north african,hater,government and law,fine arts,pre-med,neurochemistry,film studies,geophysics,bio engineering,international affairs,data and computer science,middle eastern / north african,laclas,human and organizational development,early childhood ed,secondary ed,elementary ed,special ed,women's studies,archeology
0,0.025589645,-0.032123767,-0.02360055,-0.007304207,0.025391564,0.008199408,-0.05917625,0.03957937,-0.060034614,-0.04534718,0.0016686843,-0.045458727,0.017130628,0.030877823,0.012180699,0.046086524,0.06944749,-0.0077027986,0.015685521,0.06393514,0.002916847,-0.0042650728,0.053180993,0.03700228,-0.00953118,0.044639565,0.00942668,0.021088453,-0.053035922,-0.05197055,-0.06453861,0.023393048,-0.050599184,-0.057375062,0.00672068,0.017152779,-0.07437175,-0.04433725,-0.05439758,-0.04054985,0.058856938,-0.021125356,-0.063382,0.016811227,0.014295548,-0.019727359,-0.05550321,-0.052735314,-0.08261745,0.023069214,0.0029246886,-0.021376591,-0.021239126,-0.008427677,0.012963258,0.0034704027,-0.004856977,-0.016351113,0.054862406,0.0053010746,-0.004126669,-0.04767238,0.03307464,0.014831728,0.03305198,0.023688858,-0.047185697,-0.018694486,-0.004228045,-0.04470594,0.045157976,0.0561407,0.009752552,-0.013387681,0.06763911,-0.029416874,-0.026879363,-0.04239625,-0.05882125,0.0436583,-0.065194905,-0.034628727,-0.05934816,0.012847181,0.04029544,0.03868521,0.06035464,-0.012888435,-0.026291432,-0.043161634,-0.032533057,0.00182414,-0.045651834,0.055645507,-0.05700487,0.0028867407,0.030605035,-0.02868385,0.010981313,0.070429035,0.07211752,-0.006458434,0.00340117,0.0024359634,-0.03508681,0.065750256,0.0005120379,0.022415759,-0.0003569879,0.036837045,-0.00863166,0.0069251866,0.013801844,0.005620874,-0.071551494,-0.03470462,0.002966543,-0.062915504,-0.054626636,-0.031076837,-0.017045876,-0.044902842,-0.0069580497,0.013116037,0.02058809,0.003817797,0.03935583,-0.034164734,0.052197665,-0.00073230074,0.037861265,-0.010480297,0.030886251,0.043688852,0.021218354,0.01956726,-0.08194301,-0.04770818,-0.021239126,0.019300524,0.060426235,0.051876925,0.040602308,-0.057255197,-0.023053488,0.034373794,-0.0988339,0.0076140524,0.052207574,0.007330771,-0.015762525,-0.07251956,0.01807857,-0.04036122
1,-0.052546646,-0.06769906,-0.06606494,-0.09692561,-0.06414993,-0.0690353,-0.06605217,-0.04809644,-0.06423375,-0.04053254,-0.07698677,-0.028930917,-0.054601308,-0.038219985,-0.02111785,-0.07837054,-0.036262676,-0.0366629,-0.01721402,-0.051744185,-0.018951314,-0.037910555,-0.0602222,-0.06919182,-0.012634982,-0.020753242,-0.03988633,-0.07434959,-0.016095698,0.015963612,0.017181654,-0.0671328,0.006018303,-0.005820022,-0.060428783,-0.030187132,-0.017038366,-0.0053375773,-0.06392648,-0.0228589,-0.035710953,-0.033263255,-0.05100605,-0.03705371,-0.06349478,-0.039865077,-0.07639125,-0.06046271,-0.0023489275,-0.0547356,-0.07262539,-0.08634077,-0.07520863,0.033035222,-0.068658374,0.005692261,-0.07554998,-0.03495187,-0.0616526,-0.0009501659,-0.01946805,0.011853848,0.036978703,-0.06671723,-0.075899675,-0.08104967,-0.015024882,-0.06831919,0.04271759,0.061414514,-0.030536585,0.00325971,-0.05997144,-0.005304203,-0.03671965,-0.039952654,-0.07082985,0.014302654,-0.046693627,-0.028657215,-0.021155154,0.05743036,0.003577751,-0.013158828,-0.016946847,0.015784224,-0.05943098,-0.014569967,0.05024742,0.041360065,-0.03807868,-0.040661257,0.022329662,-0.08028231,-0.01818746,-0.08217291,-0.069998704,-0.08117968,-0.086521626,0.0008725924,-0.060355473,-0.053447343,-0.009491137,-0.043719765,-0.016214658,-0.021260733,-0.08582603,-0.02359666,-0.04300481,-0.056019276,-0.06293299,-0.0642257,-0.063985616,-0.08056068,-0.015364822,-0.07405246,-0.024254056,-0.011856969,-0.02312071,0.026154518,-0.04389586,-0.030480338,-0.098391585,-0.037748214,-0.074393414,-0.054793403,-0.03697803,-0.035305493,-0.049618132,-0.023026766,-0.075164974,-0.036648646,-0.07233987,-0.020532563,-0.010532157,-0.031115934,0.025380021,-0.050602708,-0.07520863,-0.03649243,-0.0057149706,-0.08046229,-0.08163186,-0.017948946,-0.061247107,-0.016488269,-0.02835391,0.039638694,0.012186403,-0.04852578,-0.039410632,-0.045807406,-0.024366308,0.0008009039
2,-0.072613485,-0.043490198,-0.003665626,0.02920469,0.026074976,-0.021834875,-0.021242054,0.015289591,0.03331344,0.024706332,-0.021366484,0.0053475825,0.081498295,0.057253547,0.028402233,-0.0216529,-0.06442317,0.05148053,0.07529775,0.015062808,-0.0018444539,-0.05336579,-0.045055624,0.054221805,-0.02002654,-0.049136814,-0.019205311,0.021369476,-0.01760224,0.034515254,0.023711655,-0.05440667,0.088500604,0.089991644,-0.0066828458,0.033970553,0.08248038,0.08027458,0.062336423,0.027017888,0.023772478,0.021523556,0.03358007,0.041430008,-0.06273881,0.047588114,-0.011778522,0.0021104747,-0.04870956,-0.068012014,-0.019131694,0.025192864,0.039750487,-0.06542553,-0.0068722167,-0.021482527,0.013738489,0.088090524,0.037059005,0.0252624,0.0061983503,0.07563136,0.0092748245,0.04858681,0.007958852,-0.03975538,0.08665666,0.04824624,0.03039451,-0.03332475,-0.036002263,0.044083916,-0.072183385,-0.06851924,-0.015382638,-0.0027165355,0.054377932,0.044457633,0.018552817,-0.03702456,0.049906198,-0.0653074,-0.010488381,-0.040136307,0.08783106,-0.018253006,-0.033688977,-0.02535444,-0.040434025,-0.04215494,-0.011195034,-0.012407468,0.038235508,-0.015776368,0.0155594675,0.030456182,0.06266198,0.008703699,-0.0064542736,-0.032871112,-0.012806665,0.0934078,-0.04682045,-0.035547726,-0.040430684,-0.029384699,-0.02188106,-0.041569635,0.06896648,0.028488027,-0.0023186076,-0.015820274,-0.015168197,-0.030373693,0.017920408,0.031473253,-0.017262544,0.08200691,0.0076507754,0.021693198,0.04576183,0.069961876,0.04606508,0.02027726,-0.025359025,0.025675716,-0.04136057,0.08290999,0.004669244,0.06840669,-0.048597936,0.030164415,-0.047299545,0.014474289,0.05038691,0.010129913,0.022433162,0.09045076,0.039750487,0.04480625,-0.009168946,0.059796397,-0.040977966,-0.067356,-0.042950034,0.060154773,-0.050214216,-0.048995778,0.0134010315,-0.028738528,-0.010540742,-0.022191789,-0.038138825,0.077563114
3,-0.061962962,-0.01229672,0.03387349,0.03654908,0.0052627134,0.03865866,0.031819947,-0.021501517,-0.053123005,-0.054771677,0.0053248014,-0.014418761,-0.0029361628,-0.021460587,0.05087721,-0.0030701184,0.006511676,0.007620766,0.009646604,-0.0150772175,-0.04650497,-0.03392436,0.04853441,0.03586361,-0.04414776,-0.022442697,-0.007214241,0.021193378,0.0421253,0.045928877,0.03285786,0.012046559,0.028392479,0.06663463,-0.065456636,0.029679244,0.057983726,0.021286204,-0.018412791,0.0013173763,-0.00546542,-0.047172632,-0.021868808,0.00996336,0.010695353,0.04321087,-0.05133939,0.031182738,0.041623674,0.002784472,0.03457802,0.010477697,0.04927698,0.004148314,0.03498108,-0.00679411,0.013929884,0.024645621,0.022442494,-0.046662573,-0.0085935965,0.041278455,-0.0017393706,-0.0014490469,0.0137484,-0.008161129,0.023897773,0.0035930418,0.0102022765,-0.014016716,-0.02816183,-0.0047927173,-0.0047464883,-0.036613997,-0.04345993,-0.03850805,-0.037048,-0.043987345,0.059483487,-0.04564567,0.023780685,0.04695284,0.04262567,-0.05438259,0.008844485,-0.039729506,-0.035121825,-0.021570632,-0.00054083153,0.033789862,-0.04420266,-0.0165117,0.042538527,-0.0018663859,-0.0066548167,0.004297551,0.002023534,0.060736146,-0.0038737198,-0.06147102,-0.04971599,-0.014098081,-0.044588294,-0.057064015,0.048336003,0.014677775,-0.0164875,-0.010631376,-0.02679382,0.013144612,0.014258834,0.007113674,0.03213188,0.009513538,-0.023991674,0.03957573,0.00021437352,0.0020929344,0.026240405,-0.010655252,-0.052840523,-0.043197732,-0.008033663,-6.383364e-05,0.01753147,0.016962605,-0.051878754,-0.011320609,0.03462565,-0.010501707,-0.0604958,-0.035572972,-0.03656171,-0.0047412654,0.050527714,-0.015461205,-0.0037525021,-0.041240063,0.04927698,0.07692992,0.00066740386,-0.021254065,0.04117081,0.017552733,0.006560159,0.04464884,0.05353291,0.034083772,-0.013465788,-0.012101895,0.018344773,0.02025278,-0.06106363,-0.005258006
4,-0.06717911,-0.0022336517,-0.06226243,-0.04544435,-0.008881613,0.0028830566,0.0047840863,-0.015592838,-0.07865243,-0.063370846,-0.05361082,-0.046669956,-0.02707497,-0.039849564,0.033133574,0.03868596,-0.060857285,0.02658336,-0.013491107,-0.0039874744,-0.042028803,-0.020883955,-0.01805339,0.0044863797,-0.039043684,-0.05638149,-0.039318163,-0.028625332,-0.02080221,-0.011515023,-0.07331035,0.010015497,-0.013453781,-0.015163814,0.012515298,0.03131689,0.019839024,-0.010046573,0.027524307,-0.025443973,-0.069599606,-0.039397486,-0.046931174,-0.02769988,-0.028899586,-0.070176095,0.020556396,-0.04464764,-0.07564209,0.045912266,-0.019847725,-0.06437947,0.055094734,-0.017882507,-0.083145835,-0.010626979,0.01725836,-0.0341977,-0.046675175,-0.04183504,-0.028795741,-0.024902057,-0.05177708,-0.03886691,-0.0053685,0.013202616,-0.049634416,-0.0080770245,-0.045308232,-0.040503725,-0.0643067,-0.052972093,-0.04800014,-0.0174971,-0.08455085,-0.0766403,0.012019984,0.0022747098,0.03975253,-0.04116079,0.0103087835,-0.061215088,-0.006355461,-0.034559242,-0.074971914,-0.057450198,-0.07956677,-0.05838077,-0.018984213,-0.079779945,-0.01706042,-0.012968821,-0.00737969,0.048455946,-0.04889985,0.015124912,0.038198248,-0.048578758,-0.0018126535,-0.07210887,-0.064276956,0.013700346,0.009556281,-0.036950856,-0.038435787,-0.045094702,0.052039832,0.03092532,-0.044438668,-0.06656681,0.06773934,0.034155115,-0.07000291,-0.054288983,-0.05423655,-0.06968119,-0.020207828,-0.0052166753,-0.06347805,-0.002851379,-0.022255605,-0.0029887967,-0.03686587,-0.06106505,-0.009595429,-0.014191107,-0.056699306,-0.022931095,-0.036211707,0.016096344,-0.05658688,-0.0066281,-0.042880427,0.03368204,0.05637761,-0.014341737,-0.0013540118,0.0012164551,0.055094734,0.02549307,-0.04932339,-0.06077464,0.0337818,-0.06517044,-0.03976003,0.060527753,-0.06354221,0.02521781,-0.09031062,-0.04660488,-0.04518377,-0.06849368,-0.06673877,-0.03409889
5,-0.028675543,0.060019594,0.04483623,-0.020700205,0.007746661,0.062803544,0.04452821,-0.02795743,0.035873603,0.06107809,0.020698264,0.05487683,0.022373656,0.018601306,0.035496663,0.06337123,0.027410245,-0.042347185,-0.027282266,0.0016738812,0.020538297,0.060517825,0.02285504,-0.0043380423,-0.040970303,0.07317193,0.023211624,0.024419898,0.057596996,0.043617573,0.07050036,-0.03223508,0.051000636,0.032095436,0.0044632913,0.06992205,0.06029854,-0.008738289,-0.079091504,-0.014219928,-0.003511604,0.07323659,0.008575299,-0.026478318,-0.051343966,0.032781057,0.012071501,-0.05146284,0.057160806,0.060588185,0.08206617,-0.040402528,0.026411304,0.035971716,0.06347297,0.00023323573,0.02983489,0.028601963,0.02214159,0.006825243,0.010020522,0.04433098,-0.03665334,-0.011462383,-0.011650806,-0.010257603,0.03090773,-0.03368246,0.03868087,0.05096577,0.004769043,0.04408447,0.0648589,0.039165664,0.023808064,0.026574349,-0.009744178,0.066115335,0.059589718,-0.0099590635,0.062479425,0.040522985,-0.015469348,-0.033599574,0.034026813,-0.04410164,0.001628052,0.047080353,0.040137973,0.047136705,-0.0006576451,0.07445905,-0.038604893,0.057138324,0.084884085,-0.0140678985,0.019396579,-0.0067235245,-0.035218187,0.053250488,-0.010997733,0.020099543,-0.03894888,-0.050300483,0.02605109,-0.004137336,-0.05922519,0.043727595,-0.07673507,0.008806538,-0.008047465,0.022831505,-0.04385685,-0.04750974,0.042206287,0.03239204,0.059907325,0.031745695,0.06720123,0.021473998,-0.030579736,0.0059130117,0.009756278,-0.021075925,0.043467008,-0.03342224,0.065594256,-0.037574258,-0.06741789,-0.020173298,-0.04252653,0.013931106,0.025378855,0.021807468,0.024730518,0.036998034,0.06455112,-0.0003444094,0.026411304,0.012402751,0.029197725,-0.061765254,-0.06401782,0.06462853,-0.009045733,0.03317033,0.044165686,0.06830533,0.023460824,0.03153575,-0.00798726,0.04008334,0.031538226,-0.074258916
6,0.014222144,-0.0015366413,-0.020075759,-0.042188544,-0.030609045,-0.027503617,0.024896527,0.05449302,-0.08631851,-0.08229448,-0.018394496,-0.09300981,0.032192655,-0.017903795,0.042849448,-0.06095099,-0.026042173,-0.027659614,-0.057512417,0.023184536,-0.019115005,-0.015627565,-0.029592851,-0.02698938,0.054479074,-0.0017461822,0.023288732,-0.05758124,-0.079757676,-0.014435404,0.045892246,0.037565943,0.03777269,0.050566822,0.004821882,-0.061247785,-0.03711952,-0.0196412,-0.0054930532,0.025148721,-0.009779155,-0.061420158,-0.08505801,-0.07622975,-0.024805786,0.00015813907,-0.050702058,-0.027972138,-0.04817447,-0.061694115,-0.05305249,-0.040119886,0.051654115,-0.043546632,0.0031460663,-0.066562176,-0.029762061,0.004072692,-0.022457713,-0.007687275,-0.05397349,-0.08071478,-0.06368045,-0.041880216,0.035729624,-0.01921736,0.05086644,-0.038695544,-0.0061031347,0.013172658,-0.052866302,-0.07952354,-0.071391895,-0.040407866,0.01430852,-0.08119329,0.018095197,0.033279106,0.052955,-0.048018117,-0.017792404,0.056704592,-0.038676433,-0.07289886,-0.022816988,0.0395575,-0.015226043,-0.04045278,0.07569659,-0.0924369,-0.03770061,-0.042903867,-0.031288523,-0.04342173,0.031712495,-0.029218487,-0.021905122,0.026603835,0.017122677,-0.032697145,0.05653237,0.0073756245,-0.0074930335,0.0054692016,0.05679603,0.06380822,-0.01993176,-0.027596848,0.033768076,-0.022010667,0.0026379533,0.030502759,0.029573036,-0.06374407,-0.015581402,-0.032178856,0.027305614,-0.067173,0.0027486277,0.055708133,-0.06441471,-0.018800024,-0.05569572,-0.045003146,-0.0395874,-0.034567118,-0.057593197,0.0033139372,-0.07402338,0.015343463,-0.06031217,-0.0052892636,-0.056152683,0.019360228,0.077772684,-0.033226527,0.0021900653,0.06157192,0.051654115,-0.016924608,-0.021902207,-0.020281613,0.039488662,-0.065590076,-0.025562694,0.07722674,-0.061553974,-0.069303095,-0.03816728,-0.055359013,-0.02481847,-0.075483926,-0.0032385478,0.043724597
7,-0.009262344,-0.05278293,-0.029856374,-0.06389758,-0.07439496,-0.028610043,-0.025958786,-0.046087604,-0.010839745,-0.024335748,-0.04513117,-0.035999898,0.015831418,-0.049396455,-0.05495288,-0.043751318,0.017071163,0.048654713,0.023778703,0.02010018,0.004739332,-0.01062859,0.0011702062,-0.004664785,-0.005324479,0.037555993,0.00917885,-0.057960697,0.012007672,-0.019354388,-0.025931874,-0.042792644,0.041001484,-0.005641862,-0.05190338,0.025164407,-0.022722248,-0.045053344,-0.039568823,0.034217782,0.07198731,-0.014452944,-0.034595884,0.02478127,-0.0031043827,-0.06023166,-0.0393578,-0.052591942,-0.080662,0.05033143,-0.033680182,-0.06373873,-0.04963881,0.030497734,0.011635489,-0.035941307,-0.021389712,0.061484154,-0.07506742,-0.003253682,-0.023267897,-0.043181043,0.06294888,0.07803828,-0.06973675,-0.056778543,-0.00039489815,-0.043337665,0.042605054,0.011849551,0.01142433,-0.0238714,-0.06814588,0.006457763,0.030010866,0.00062191545,-0.030903254,0.030285195,0.039425533,-0.02313126,-0.055653393,0.013383337,-0.056259274,-0.011558353,0.047915287,0.028585374,0.019270632,-0.02016469,-0.024166495,-0.024510883,-0.023110772,0.022884691,-0.046297718,-0.028775362,-0.0572762,-0.0534805,-0.0749088,-0.0055119283,-0.031358402,0.016057907,0.029765766,-0.025482083,-0.0014817835,0.0132805165,-0.016486721,0.06619718,-0.052358545,-0.013202475,-0.013208744,-0.05382227,-0.029972965,-0.04385182,-0.052890886,-0.0023604291,-0.07252621,-0.021648632,-0.056225993,0.01455379,0.011439484,-0.009534088,-0.037986156,-0.03775088,-0.01647794,-0.039768774,-0.031850435,-0.0609208,0.016318696,-0.05182872,-0.055678442,-0.028370613,0.01736504,-0.050584823,-0.033426587,-0.003529957,0.033871163,-0.017116187,0.003675329,-0.010972377,-0.04963881,-0.017407332,0.050077677,-0.04334521,-0.007766549,-0.06266203,0.004391029,0.04766062,-0.04894662,-0.019309264,0.039202712,-0.009644455,-0.027623897,-0.03010258,0.0025875473,-0.0020859556
8,0.03020905,0.051983725,0.058889367,-0.0017982959,-0.003392333,0.0306354,0.0063841506,0.04406585,-0.030991418,-0.021428226,0.064894624,-0.006533497,0.06265046,0.020983808,-0.021603154,0.05107346,0.036185484,0.071689144,0.029045226,0.039405823,-0.028142335,0.037192322,0.021425452,0.00608023,-0.012823158,0.06225662,-0.039694816,-0.024428483,0.009505396,0.07466351,-0.01799897,0.04906511,0.06924575,0.0384869,0.026317583,0.0545188,-0.0066025546,0.017770147,0.0048524737,-0.028750151,-0.0033929502,0.0031603684,0.0037241091,-0.016858445,0.04757988,0.058580644,0.03744804,0.059856556,0.014970409,0.050236426,0.057114463,-0.009322423,0.013966842,0.016327484,0.05129216,-0.027558612,0.012865773,0.0080904905,0.025570534,-0.020493723,-0.032068774,-0.010179609,0.07656462,0.052586194,0.04673214,0.065947145,0.06620191,-0.04931577,0.04811934,0.0053354446,-0.033717565,0.025089497,0.044401452,0.027187925,0.028183034,-0.047815192,-0.07098472,0.03726964,-0.021250777,-0.0377821,0.012356884,0.013071396,-0.07896969,0.038470063,0.048302487,-0.006808833,-0.039641656,0.0013905863,-0.001823114,0.0032019843,0.024843533,0.014722062,-0.058278807,0.045198772,0.022512946,-0.0026396436,-0.034893166,0.011581496,-0.0018024476,-0.008312533,-0.01858071,0.039386388,0.0202412,-0.01147395,0.054116253,0.0159574,0.018325534,-0.028558878,0.0043407516,0.0066585783,0.05465974,0.046418134,0.0038886112,0.027303528,0.045440678,0.011584481,0.016698949,0.028989179,0.0039566234,0.018772244,-0.043080997,-0.024068268,-0.003621377,0.02305757,0.05363024,-0.04035012,-0.00027058754,0.0285425,0.054984022,-0.06875958,0.030124119,-0.015826557,-0.006281389,-0.02516454,0.040274944,-0.048627883,0.01747347,-0.036221623,0.013966842,0.0507179,0.05765021,0.040742207,0.0073913448,0.03616388,0.06316572,-0.027915105,-0.017254857,0.038726497,0.05826854,0.041437216,0.057801105,0.020771503,0.0131621035,-0.011038344
9,0.053385112,-0.04609128,0.011407381,0.06357999,0.047657236,0.04335023,0.061880104,-0.00076784316,0.049950905,0.040363494,-0.06456529,0.05010322,-0.05091441,-0.0513394,0.0018593358,-0.052728113,-0.05665081,-0.053328462,0.0091532245,-0.061153054,-0.02586972,-0.020005034,-0.04147901,-0.018125538,-0.074800365,0.017950073,0.004492088,-0.035172053,0.036734965,-0.007952518,-0.067174256,-0.07936539,-0.017908588,0.02839888,0.02545055,-0.050865687,0.046232846,-0.05149432,-0.029915806,-0.03051566,0.034745023,0.056771204,0.06340617,0.03411922,-0.0077413507,0.034336217,-0.078596026,-0.08111126,-0.078437015,-0.08333778,0.0016984326,0.05829022,-0.07895936,0.044234857,-0.029098382,0.053571604,0.018811762,-0.013450883,-0.0006905528,-0.0199274,0.016711086,0.048919927,-0.056182258,-0.064145006,-0.07702951,-0.070755206,-0.008492573,0.028909208,-0.04957081,-0.079904795,-0.0072624814,0.019666124,0.0028823675,-0.0056780777,-0.03280005,0.07769631,-0.03270589,0.018991109,-0.068965405,0.010335241,0.06469568,-0.07909877,0.004586051,0.04131804,-0.026254995,-0.031301115,-0.025488067,-0.09060373,-0.049376428,0.042339742,-0.0601584,0.003462535,-0.053854257,-0.05751284,-0.089105554,-0.05253483,-0.014497261,-0.03002753,-0.054854818,-0.005600445,-0.04733623,-0.054538824,-0.012662339,0.01363858,-0.06900821,-0.028796406,-0.045159474,0.04473161,-0.041501142,-0.011310119,-0.072815254,-0.07227426,-0.07705638,-0.04293417,-0.09272437,0.016809875,-0.013762309,0.011696405,-0.08326351,0.03514218,-0.004235365,0.06082857,-0.085538924,-0.061470002,0.016544139,-0.03479697,0.018575395,-0.005923238,-0.02847225,0.031082284,-0.065075226,0.019610086,-0.028710103,-0.0015366017,0.027706536,0.0747158,-0.0805721,-0.013223698,-0.07895936,0.050772034,-0.039848816,0.0015263669,-0.0790952,-0.04220916,-0.027022699,0.030610897,0.009908038,0.05890478,-0.023799649,-0.02633452,-0.0129594,-0.051906575,-0.036727306,-0.03425121
