subject,response,corrected_response,entry_number,response_times,domain,
0GMT2ITP,tiger,tiger,3,876.4,animals,
0GMT2ITP,lion,lion,4,872.8,animals,
0GMT2ITP,fish,fish,5,1210.8,animals,
0GMT2ITP,bird,bird,6,2124.6,animals,
0GMT2ITP,rabbit,rabbit,7,1372.8,animals,
0GMT2ITP,horse,horse,8,786.1,animals,
0GMT2ITP,cow,cow,9,1003.4,animals,
0GMT2ITP,sheep,sheep,10,1098.3,animals,
0GMT2ITP,chicken,chicken,11,956.7,animals,
0GMT2ITP,turkey,turkey,12,922,animals,
0GMT2ITP,elephant,elephant,13,6784,animals,
0GMT2ITP,rhino,rhino,14,968.9,animals,
0GMT2ITP,giraffe,giraffe,15,1494.9,animals,
0GMT2ITP,monkey,monkey,16,1318.6,animals,
0GMT2ITP,chimp,chimp,17,795.6,animals,
0GMT2ITP,ape,ape,18,496.9,animals,
0GMT2ITP,gecko,gecko,19,5746.1,animals,
0GMT2ITP,lizard,lizard,20,963.9,animals,
0GMT2ITP,frog,frog,21,1131.2,animals,
0GMT2ITP,toad,toad,22,692,animals,
0GMT2ITP,beaver,beaver,23,4141,animals,
0GMT2ITP,groundhog,groundhog,24,2118.9,animals,
0GMT2ITP,snowshoe hare,snowshoe hare,25,2567,animals,
0GMT2ITP,walrus,walrus,26,1448.8,animals,
0GMT2ITP,polar bear,polar bear,27,1549.6,animals,
0GMT2ITP,black bear,black bear,28,1294.4,animals,
0GMT2ITP,grizzly bear,grizzly bear,29,3869,animals,
0GMT2ITP,deer,deer,30,1415.3,animals,
0GMT2ITP,moose,moose,31,1469.3,animals,
0GMT2ITP,loon,loon,32,3879.7,animals,
0GMT2ITP,bald eagle,bald eagle,33,1152.4,animals,
0GMT2ITP,edgar allen poe,edgar allan poe,1,2788.8,authors,
0GMT2ITP,susan collins,suzanne collins,2,6423.4,authors,
0GMT2ITP,f scott fitzgerald,f scott fitzgerald,3,12411.3,authors,
0GMT2ITP,jk rowliing,jk rowling,4,27255.9,authors,
0GMT2ITP,lemony snicket,lemony snicket,5,7074.8,authors,
0GMT2ITP,biology,biology,1,1586.8,college_majors,
0GMT2ITP,pschology,psychology,2,2179,college_majors,
0GMT2ITP,english,english,3,2366.8,college_majors,
0GMT2ITP,environmental studies,environmental studies,4,2064,college_majors,
0GMT2ITP,political science,political science,5,3008.8,college_majors,
0GMT2ITP,chemistry,chemistry,6,4823.3,college_majors,
0GMT2ITP,anthropology,anthropology,7,2201.1,college_majors,
0GMT2ITP,fashion design,fashion design,8,2733,college_majors,
0GMT2ITP,literature,literature,9,5740.8,college_majors,
0GMT2ITP,journalism,journalism,10,1428.8,college_majors,
0GMT2ITP,religious studies,religious studies,11,5418.3,college_majors,
0GMT2ITP,gender studies,gender studies,12,3416.8,college_majors,
0GMT2ITP,environmental science,environmental science,13,6937.4,college_majors,
0GMT2ITP,geology,geology,14,2605.6,college_majors,
0GMT2ITP,math,math,15,3114.7,college_majors,
0GMT2ITP,physics,physics,16,4217.7,college_majors,
0GMT2ITP,taylor swift,taylor swift,1,2477.7,musicians,
0GMT2ITP,rihanna,rihanna,2,1668.8,musicians,
0GMT2ITP,conan gray,conan gray,3,2325,musicians,
0GMT2ITP,harry styles,harry styles,4,1709.9,musicians,
0GMT2ITP,selena gomez,selena gomez,5,2292.1,musicians,
0GMT2ITP,gracie abrams,gracie abrams,6,4522.5,musicians,
0GMT2ITP,sabrina carpenter,sabrina carpenter,7,2843.4,musicians,
0GMT2ITP,olivia rodrigo,olivia rodrigo,8,2268.8,musicians,
0GMT2ITP,sara mclaughlin,sarah mclachlan,9,15566.3,musicians,
0GMT2ITP,lorde,lorde,10,13536.5,musicians,
0GMT2ITP,esha tewari,esha tewari,11,3987.4,musicians,
0GMT2ITP,gayle,gayle,12,4374,musicians,
0GMT2ITP,swimmer,swimmer,1,1727.7,sportspersons,
0GMT2ITP,baseball player,baseball player,2,1917.8,sportspersons,
0GMT2ITP,football player,football player,3,2815.8,sportspersons,
0GMT2ITP,michael phelps,michael phelps,4,2629,sportspersons,
0GMT2ITP,tennis player,tennis player,5,2220.9,sportspersons,
0GMT2ITP,venus william,venus williams,6,2884.1,sportspersons,
0GMT2ITP,serena williams,serena williams,7,2944.8,sportspersons,
0GMT2ITP,travis kelce,travis kelce,8,6150.1,sportspersons,
0GMT2ITP,soccer players,soccer players,9,4263.5,sportspersons,
0GMT2ITP,gymnasts,gymnasts,10,5274.3,sportspersons,
0GMT2ITP,simone biles,simone biles,11,1924.7,sportspersons,
0GMT2ITP,ian crocker,ian crocker,12,7441.5,sportspersons,
0GMT2ITP,tom brady,tom brady,13,12435.2,sportspersons,
0GMT2ITP,grock,grock,14,3594.4,sportspersons,
0L28O7LJ,squirrel,squirrel,1,2567.5,animals,
0L28O7LJ,bear,bear,2,649.7,animals,
0L28O7LJ,dog,dog,3,790.1,animals,
0L28O7LJ,cat,cat,4,693.6,animals,
0L28O7LJ,parrot,parrot,5,3616.4,animals,
0L28O7LJ,dolphin,dolphin,6,2032.8,animals,
0L28O7LJ,whale,whale,7,1950.5,animals,
0L28O7LJ,possum,possum,8,2350.1,animals,
0L28O7LJ,raccoon,raccoon,9,2307.3,animals,
0L28O7LJ,bunny,bunny,10,2559.2,animals,
0L28O7LJ,foc,fox,11,3066.1,animals,
0L28O7LJ,fox,fox,12,1176.8,animals,
0L28O7LJ,coyote,coyote,13,2107.1,animals,
0L28O7LJ,polar bear,polar bear,14,2049.7,animals,
0L28O7LJ,brown bear,brown bear,15,1883.7,animals,
0L28O7LJ,koala,koala,16,7933.5,animals,
0L28O7LJ,peacock,peacock,17,1532.5,animals,
0L28O7LJ,flamingo,flamingo,18,2313.2,animals,
0L28O7LJ,zebra,zebra,19,3171.1,animals,
0L28O7LJ,sting ray,sting ray,20,4616.6,animals,
0L28O7LJ,seahorse,seahorse,21,4717.2,animals,
0L28O7LJ,starfish,starfish,22,1749.8,animals,
0L28O7LJ,crocodile,crocodile,23,2399.9,animals,
0L28O7LJ,alligator,alligator,24,1616.7,animals,
0L28O7LJ,jane austen,jane austen,1,3966.3,authors,
0L28O7LJ,charles dickinson,charles dickens,2,4542.2,authors,
0L28O7LJ,victor hugo,victor hugo,3,4690.7,authors,
0L28O7LJ,charlotte bronte,charlotte bronte,4,5706.9,authors,
0L28O7LJ,stephanie meyer,stephanie meyer,5,6560.4,authors,
0L28O7LJ,ve schwab,ve schwab,6,5116.8,authors,
0L28O7LJ,dostoyevsky,dostoyevsky,7,12599.7,authors,
0L28O7LJ,kafka,kafka,8,13427.2,authors,
0L28O7LJ,communications,communications,1,2820.1,college_majors,
0L28O7LJ,psychology,psychology,2,1537.1,college_majors,
0L28O7LJ,biology,biology,3,2087.5,college_majors,
0L28O7LJ,chemistry,chemistry,4,2333.4,college_majors,
0L28O7LJ,economics,economics,5,983.2,college_majors,
0L28O7LJ,sociology,sociology,6,3216.8,college_majors,
0L28O7LJ,religion,religion,7,1850.4,college_majors,
0L28O7LJ,physics,physics,8,2316.4,college_majors,
0L28O7LJ,math,math,9,583.6,college_majors,
0L28O7LJ,computer science,computer science,10,2883.5,college_majors,
0L28O7LJ,gender studies,gender studies,11,8170.7,college_majors,
0L28O7LJ,asian studies,asian studies,12,2812.3,college_majors,
0L28O7LJ,biochemistry,biochemistry,13,8817.2,college_majors,
0L28O7LJ,romance languages,romance languages,14,5882.8,college_majors,
0L28O7LJ,film,film,15,2900.3,college_majors,
0L28O7LJ,government,government,16,1049.6,college_majors,
0L28O7LJ,political science,political science,17,4900.8,college_majors,
0L28O7LJ,lana del rey,lana del rey,1,4539,musicians,
0L28O7LJ,frank sinatra,frank sinatra,2,2940,musicians,
0L28O7LJ,jeff buckley,jeff buckley,3,15722.7,musicians,
0L28O7LJ,jhene aiko,jhene aiko,4,3733.8,musicians,
0L28O7LJ,the weeknd,the weeknd,5,10660.1,musicians,
0L28O7LJ,taylor swift,taylor swift,6,3238.5,musicians,
0L28O7LJ,ariana grande,ariana grande,7,7453.6,musicians,
0L28O7LJ,miley cyrus,miley cyrus,8,6108.1,musicians,
0L28O7LJ,demi lovato,demi lovato,9,2244.1,musicians,
0L28O7LJ,cher lloyd,cher lloyd,10,2522.3,musicians,
0L28O7LJ,eileen gu,eileen gu,1,2533.8,sportspersons,
0L28O7LJ,chloe kim,chloe kim,2,2833.7,sportspersons,
0L28O7LJ,stephen curry,stephen curry,3,5366.4,sportspersons,
0L28O7LJ,jimmy butler,jimmy butler,4,5383.6,sportspersons,
0L28O7LJ,tatum,tatum,5,27000.4,sportspersons,
0L28O7LJ,alysa lui,Alysa Lui,6,12949.9,sportspersons,
0MGC7F4K,zebra,zebra,1,1370.6,animals,
0MGC7F4K,giraffe,giraffe,2,2349.9,animals,
0MGC7F4K,worm,worm,3,2898.9,animals,
0MGC7F4K,cow,cow,4,2115.7,animals,
0MGC7F4K,pig,pig,5,1680.7,animals,
0MGC7F4K,chicken,chicken,6,4468.4,animals,
0MGC7F4K,dog,dog,7,1636.8,animals,
0MGC7F4K,cat,cat,8,867.1,animals,
0MGC7F4K,hamster,hamster,9,2583.7,animals,
0MGC7F4K,guniea pig,guinea pig,10,3633.9,animals,
0MGC7F4K,squirrel,squirrel,11,7448.7,animals,
0MGC7F4K,lion,lion,12,2916.9,animals,
0MGC7F4K,deer,deer,13,3033.6,animals,
0MGC7F4K,elk,elk,14,1023.1,animals,
0MGC7F4K,moose,moose,15,925.7,animals,
0MGC7F4K,bird,bird,16,1575.4,animals,
0MGC7F4K,eagle,eagle,17,3242.4,animals,
0MGC7F4K,vulture,vulture,18,4266.3,animals,
0MGC7F4K,polar bear,polar bear,19,3532.6,animals,
0MGC7F4K,penguin,penguin,20,1430.7,animals,
0MGC7F4K,fish,fish,21,2543.9,animals,
0MGC7F4K,shark,shark,22,4074.3,animals,
0MGC7F4K,JK Rowling,J.K. Rowling,1,2960.1,authors,
0MGC7F4K,James patterson,James Patterson,2,18313.4,authors,
0MGC7F4K,Ernest Hemingway,Ernest Hemingway,3,31093.6,authors,
0MGC7F4K,Poe,Edgar Allan Poe,4,3650.1,authors,
0MGC7F4K,Shakespare,Shakespeare,5,3938.6,authors,
0MGC7F4K,Biology,Biology,1,2150.9,college_majors,
0MGC7F4K,Neuroscience,Neuroscience,2,1792.3,college_majors,
0MGC7F4K,Economics,Economics,3,2135.2,college_majors,
0MGC7F4K,Government,Government,4,2494.7,college_majors,
0MGC7F4K,Psychology,Psychology,5,4094.3,college_majors,
0MGC7F4K,Sociology,Sociology,6,1883.5,college_majors,
0MGC7F4K,Chemistry,Chemistry,7,1465.5,college_majors,
0MGC7F4K,Physics,Physics,8,1157.3,college_majors,
0MGC7F4K,Math,Math,9,851.2,college_majors,
0MGC7F4K,Environmental Studies,Environmental Studies,10,9118.3,college_majors,
0MGC7F4K,Engineering,Engineering,11,4985.4,college_majors,
0MGC7F4K,Art,Art,12,2939.1,college_majors,
0MGC7F4K,Music,Music,13,872,college_majors,
0MGC7F4K,Philosophy,Philosophy,14,6220.4,college_majors,
0MGC7F4K,Film Production,Film Production,15,6457.5,college_majors,
0MGC7F4K,Taylor Swift,Taylor Swift,1,7099.8,musicians,
0MGC7F4K,Miles Davis,Miles Davis,2,5572.4,musicians,
0MGC7F4K,Me,Me,3,8301.7,musicians,
0MGC7F4K,Mozart,Mozart,4,5242,musicians,
0MGC7F4K,Beethoven,Beethoven,5,3667.6,musicians,
0MGC7F4K,Vizutti,Allen Vizzutti,6,20249.9,musicians,
0MGC7F4K,Serena Williams,Serena Williams,1,3267.6,sportspersons,
0MGC7F4K,Travis Kelce,Travis Kelce,2,10043.8,sportspersons,
0PRAW6DO,Flamingos,Flamingos,1,3298.5,animals,
0PRAW6DO,Lion,Lion,2,2415.3,animals,
0PRAW6DO,Panda,Panda,3,2545.5,animals,
0PRAW6DO,Octopus,Octopus,4,5016.8,animals,
0PRAW6DO,Bear,Bear,5,2700.7,animals,
0PRAW6DO,Cat,Cat,6,2665.7,animals,
0PRAW6DO,Dog,Dog,7,1232.6,animals,
0PRAW6DO,Pig,Pig,8,4286.3,animals,
0PRAW6DO,Cow,Cow,9,1960.3,animals,
0PRAW6DO,Chicken,Chicken,10,2108.1,animals,
0PRAW6DO,Turkey,Turkey,11,2363,animals,
0PRAW6DO,Lizard,Lizard,12,5297.5,animals,
0PRAW6DO,Ant,Ant,13,4848.1,animals,
0PRAW6DO,Snake,Snake,14,8942.2,animals,
0PRAW6DO,Butterfly,Butterfly,15,3594.9,animals,
0PRAW6DO,Whale,Whale,16,5566.9,animals,
0PRAW6DO,C. S. Lewis,C. S. Lewis,1,7118.3,authors,
0PRAW6DO,Jane Austen,Jane Austen,2,4987.9,authors,
0PRAW6DO,Bronte sisters,Brontë Sisters,3,5487.9,authors,
0PRAW6DO,Gabrielle Zevin,Gabrielle Zevin,4,27608,authors,
0PRAW6DO,John Green,John Green,5,3304.5,authors,
0PRAW6DO,Hanya Yanagihara,Hanya Yanagihara,6,7099.6,authors,
0PRAW6DO,chemistry,Chemistry,1,3314.9,college_majors,
0PRAW6DO,math,Math,2,1550,college_majors,
0PRAW6DO,biology,Biology,3,1941.1,college_majors,
0PRAW6DO,neuroscience,Neuroscience,4,2539.5,college_majors,
0PRAW6DO,anthropology,Anthropology,5,3743.9,college_majors,
0PRAW6DO,psychology,Psychology,6,2988.6,college_majors,
0PRAW6DO,political science,Political Science,7,7057.7,college_majors,
0PRAW6DO,art,Art,8,4461.6,college_majors,
0PRAW6DO,dance,Dance,9,2547.2,college_majors,
0PRAW6DO,theater,Theater,10,1620,college_majors,
0PRAW6DO,english,English,11,8024.4,college_majors,
0PRAW6DO,spanish,Spanish,12,5280.1,college_majors,
0PRAW6DO,Olivia Dean,Olivia Dean,1,3077.2,musicians,
0PRAW6DO,Noah Kahan,Noah Kahan,2,2504.7,musicians,
0PRAW6DO,Olivia Rodrigo,Olivia Rodrigo,3,8299.1,musicians,
0PRAW6DO,Ariana Grande,Ariana Grande,4,3627.8,musicians,
0PRAW6DO,Sabrina Carpenter,Sabrina Carpenter,5,4287.6,musicians,
0PRAW6DO,Lizzy McAlpine,Lizzy McAlpine,6,6065.8,musicians,
0PRAW6DO,Miley Cirus,Miley Cyrus,7,6230.5,musicians,
0PRAW6DO,Jon Bellion,Jon Bellion,8,24331.7,musicians,
0PRAW6DO,Messi,Lionel Messi,1,14789.1,sportspersons,
0PRAW6DO,Ronaldo,Cristiano Ronaldo,2,5475.5,sportspersons,
0QPSDFM3,giraffe,giraffe,1,3041,animals,
0QPSDFM3,lion,lion,2,969.4,animals,
0QPSDFM3,bird,bird,3,1797.3,animals,
0QPSDFM3,dolphin,dolphin,4,1922.7,animals,
0QPSDFM3,whale,whale,5,960.5,animals,
0QPSDFM3,orca,orca,6,891.6,animals,
0QPSDFM3,fish,fish,7,2056.6,animals,
0QPSDFM3,goldfish,goldfish,8,2166.9,animals,
0QPSDFM3,tiger,tiger,9,3076.5,animals,
0QPSDFM3,leopard,leopard,10,3075.2,animals,
0QPSDFM3,zebra,zebra,11,2989.9,animals,
0QPSDFM3,horse,horse,12,5925.8,animals,
0QPSDFM3,rat,rat,13,3010.1,animals,
0QPSDFM3,mouse,mouse,14,3881.9,animals,
0QPSDFM3,stinkbug,stinkbug,15,3191.7,animals,
0QPSDFM3,deer,deer,16,3724.9,animals,
0QPSDFM3,bear,bear,17,2073.1,animals,
0QPSDFM3,polar bear,polar bear,18,2072.6,animals,
0QPSDFM3,elephant,elephant,19,3795.7,animals,
0QPSDFM3,cow,cow,20,5272.4,animals,
0QPSDFM3,pig,pig,21,941.4,animals,
0QPSDFM3,sheep,sheep,22,1280.5,animals,
0QPSDFM3,goat,goat,23,1508,animals,
0QPSDFM3,jk rowling,J.K. Rowling,1,2339.4,authors,
0QPSDFM3,rick riordan,Rick Riordan,2,3423.8,authors,
0QPSDFM3,nate hawthorne,Nathaniel Hawthorne,3,7317.7,authors,
0QPSDFM3,j d salinger,J.D. Salinger,4,6575,authors,
0QPSDFM3,ernest hemingway,Ernest Hemingway,5,9957.6,authors,
0QPSDFM3,emile zola,Émile Zola,6,4674.7,authors,
0QPSDFM3,charlotte bronte,Charlotte Brontë,7,10901.3,authors,
0QPSDFM3,sinclair lewis,Sinclair Lewis,8,1876.8,authors,
0QPSDFM3,gov,Government,1,1962,college_majors,
0QPSDFM3,bio,Biology,2,1341.5,college_majors,
0QPSDFM3,chem,Chemistry,3,788.7,college_majors,
0QPSDFM3,biochem,Biochemistry,4,1520,college_majors,
0QPSDFM3,english,English,5,1998.6,college_majors,
0QPSDFM3,math,Math,6,1031,college_majors,
0QPSDFM3,physics,Physics,7,2887.1,college_majors,
0QPSDFM3,astronomy,Astronomy,8,1874.2,college_majors,
0QPSDFM3,architecture,Architecture,9,2372.4,college_majors,
0QPSDFM3,art,Art,10,1351.7,college_majors,
0QPSDFM3,visual studies,Visual Studies,11,3301.2,college_majors,
0QPSDFM3,french,French,12,1093.7,college_majors,
0QPSDFM3,spanish,Spanish,13,1075.1,college_majors,
0QPSDFM3,italina,Italian,14,1500.3,college_majors,
0QPSDFM3,german,German,15,1917.1,college_majors,
0QPSDFM3,arabic,Arabic,16,1122.6,college_majors,
0QPSDFM3,comp sci,Computer Science,17,6173.5,college_majors,
0QPSDFM3,dcs,Computer Science,18,1191.3,college_majors,
0QPSDFM3,data science,Data Science,19,2717.9,college_majors,
0QPSDFM3,agriculture,Agriculture,20,1891.5,college_majors,
0QPSDFM3,accounting,Accounting,21,1457.4,college_majors,
0QPSDFM3,econ,Economics,22,790.1,college_majors,
0QPSDFM3,finance,Finance,23,933.6,college_majors,
0QPSDFM3,business,Business,24,1751.9,college_majors,
0QPSDFM3,criminal justice,Criminal Justice,25,3549.4,college_majors,
0QPSDFM3,geography,Geography,26,5799.7,college_majors,
0QPSDFM3,taylor swift,Taylor Swift,1,2683.8,musicians,
0QPSDFM3,benson boone,Benson Boone,2,2852.1,musicians,
0QPSDFM3,harry styles,Harry Styles,3,3126,musicians,
0QPSDFM3,zayn malik,Zayn Malik,4,4638.7,musicians,
0QPSDFM3,hozier,Hozier,5,2438.4,musicians,
0QPSDFM3,noah kahan,Noah Kahan,6,4361.9,musicians,
0QPSDFM3,lewis capaldi,Lewis Capaldi,7,14838,musicians,
0QPSDFM3,avici,Avicii,8,2641.4,musicians,
0QPSDFM3,avril lavinge,Avril Lavigne,9,6348.2,musicians,
0QPSDFM3,kesha,Kesha,10,6059.7,musicians,
0QPSDFM3,ariana grande,Ariana Grande,11,5504.4,musicians,
0QPSDFM3,michael phelps,Michael Phelps,1,3014.6,sportspersons,
0QPSDFM3,katie ledecky,Katie Ledecky,2,2431.1,sportspersons,
0QPSDFM3,gretchen walsh,Gretchen Walsh,3,3017.3,sportspersons,
0QPSDFM3,alex walsh,Alex Walsh,4,1549.7,sportspersons,
0QPSDFM3,kate douglas,Kate Douglas,5,1743.5,sportspersons,
0QPSDFM3,claire curzan,Claire Curzan,6,2929.1,sportspersons,
0QPSDFM3,yousef ramadan,Yousef Ramadan,7,2354.5,sportspersons,
0QPSDFM3,leon marchand,Léon Marchand,8,11141.8,sportspersons,
0QPSDFM3,simone biles,Simone Biles,9,2128.4,sportspersons,
0QPSDFM3,naomi osaka,Naomi Osaka,10,6700.9,sportspersons,
0QPSDFM3,serena williams,Serena Williams,11,8983.6,sportspersons,
0QPSDFM3,venus williams,Venus Williams,12,1975.3,sportspersons,
0QPSDFM3,andre agassi,Andre Agassi,13,2710.9,sportspersons,
18HXK612,frog,frog,1,2118.1,animals,
18HXK612,rabbit,rabbit,2,2916.8,animals,
18HXK612,cat,cat,3,2424.9,animals,
18HXK612,dog,dog,4,1288.8,animals,
18HXK612,tiger,tiger,5,1545.9,animals,
18HXK612,lizzard,lizard,6,2745.4,animals,
18HXK612,gecko,gecko,7,2970.1,animals,
18HXK612,mole,mole,8,1324.7,animals,
18HXK612,rat,rat,9,1155.2,animals,
18HXK612,mouse,mouse,10,1490.4,animals,
18HXK612,hawk,hawk,11,5498.2,animals,
18HXK612,eagle,eagle,12,4930.8,animals,
18HXK612,pidgeon,pigeon,13,2387,animals,
18HXK612,lion,lion,14,1488.6,animals,
18HXK612,jaguar,jaguar,15,2345.4,animals,
18HXK612,leopard,leopard,16,3078.8,animals,
18HXK612,hyena,hyena,17,1725.5,animals,
18HXK612,cheeta,cheetah,18,5858.2,animals,
18HXK612,lynx,lynx,19,4630.3,animals,
18HXK612,meercat,meerkat,20,3016.7,animals,
18HXK612,worm,worm,21,3670.3,animals,
18HXK612,erin hunter,Erin Hunter,1,2817.5,authors,
18HXK612,jk rowling,J.K. Rowling,2,3511.6,authors,
18HXK612,brandon sanderson,Brandon Sanderson,3,4683.1,authors,
18HXK612,george rr martin,George R. R. Martin,4,5957.1,authors,
18HXK612,rick riordan,Rick Riordan,5,7054.3,authors,
18HXK612,naomi novik,Naomi Novik,6,4522.2,authors,
18HXK612,emily bronte,Emily Brontë,7,16227.4,authors,
18HXK612,shakespeare,William Shakespeare,8,4692.2,authors,
18HXK612,pscyhology,Psychology,1,3078.1,college_majors,
18HXK612,sociology,Sociology,2,3203.9,college_majors,
18HXK612,mathematics,Mathematics,3,3146.3,college_majors,
18HXK612,enginearing,Engineering,4,3452.7,college_majors,
18HXK612,pre med,Pre-Med,5,2017.9,college_majors,
18HXK612,biology,Biology,6,2351.2,college_majors,
18HXK612,chemistry,Chemistry,7,3016.9,college_majors,
18HXK612,physics,Physics,8,2385.5,college_majors,
18HXK612,english,English,9,2825.7,college_majors,
18HXK612,history,History,10,2702.7,college_majors,
18HXK612,anthropology,Anthropology,11,3197.2,college_majors,
18HXK612,gender and sexuality studies,Gender and Sexuality Studies,12,5191.9,college_majors,
18HXK612,asian studies,Asian Studies,13,2753.1,college_majors,
18HXK612,accounting,Accounting,14,5916.7,college_majors,
18HXK612,computer science,Computer Science,15,6521.5,college_majors,
18HXK612,dcs,Computer Science,16,3884,college_majors,
18HXK612,taylor swift,Taylor Swift,1,4711.4,musicians,
18HXK612,beyonce,Beyoncé,2,2178.2,musicians,
18HXK612,bruno mars,Bruno Mars,3,2354.1,musicians,
18HXK612,olivia rodrigo,Olivia Rodrigo,4,5354.6,musicians,
18HXK612,panic at the disco,Panic! At The Disco,5,4816.3,musicians,
18HXK612,nirvana,Nirvana,6,3131.4,musicians,
18HXK612,lady gaga,Lady Gaga,7,3583.2,musicians,
18HXK612,chappell roan,Chappell Roan,8,9755.9,musicians,
18HXK612,greenday,Green Day,9,5159.5,musicians,
18HXK612,imagine dragons,Imagine Dragons,10,7166.7,musicians,
18HXK612,russel wilson,Russell Wilson,1,4315.5,sportspersons,
18HXK612,babe ruth,Babe Ruth,2,4304.7,sportspersons,
18HXK612,michael jordan,Michael Jordan,3,6618.9,sportspersons,
18HXK612,tom brady,Tom Brady,4,3998.7,sportspersons,
18HXK612,wayne gretsky,Wayne Gretzky,5,8696.8,sportspersons,
18HXK612,ronaldo,Cristiano Ronaldo,6,5072.1,sportspersons,
18HXK612,aaron rodgers,Aaron Rodgers,7,17557.3,sportspersons,
1GN1XY5J,Economics,Economics,1,3478,college_majors,
1GN1XY5J,computer science,Computer Science,2,3450,college_majors,
1GN1XY5J,data science,Data Science,3,2200,college_majors,
1GN1XY5J,billogy,Biology,4,1600,college_majors,
1GN1XY5J,chemistry,Chemistry,5,3868,college_majors,
1GN1XY5J,biochemistry,Biochemistry,6,2317,college_majors,
1GN1XY5J,criminology,Criminology,7,2933,college_majors,
1GN1XY5J,math,Mathematics,8,2434,college_majors,
1GN1XY5J,english,English,9,2017,college_majors,
1GN1XY5J,foreign language,Foreign Language,10,4168,college_majors,
1GN1XY5J,art,Art,11,1317,college_majors,
1GN1XY5J,music,Music,12,1200,college_majors,
1GN1XY5J,history,History,13,4617,college_majors,
1GN1XY5J,environmental studies,Environmental Studies,14,3751,college_majors,
1GN1XY5J,psychology,Psychology,15,6784,college_majors,
1GN1XY5J,neuroscience,Neuroscience,16,2985,college_majors,
1GN1XY5J,finance,Finance,17,9550,college_majors,
1KEVYYJ9,TIGER,Tiger,1,3266.1,animals,
1KEVYYJ9,LION,Lion,2,1281.3,animals,
1KEVYYJ9,LIGER,Liger,3,1544.6,animals,
1KEVYYJ9,PANTHER,Panther,4,1482.8,animals,
1KEVYYJ9,CAT,Cat,5,1274.3,animals,
1KEVYYJ9,DOG,Dog,6,1724.1,animals,
1KEVYYJ9,DOLPHIN,Dolphin,7,1811.1,animals,
1KEVYYJ9,WHALE,Whale,8,2036.2,animals,
